gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,direct_association.diseaseId,direct_association.score,direct_association.disease,ensembl_ID
VWF,1,LUNG,"","","","","",Orphanet_166084,0.820031639888441,Von Willebrand disease type 2A: Type 2A von Willebrand disease (type 2A VWD) is a subtype of type 2 VWD characterized by a bleeding disorder associated with a decrease in the affinity of the Willebrand factor (von Willebrand factor; VWF) for platelets and the subendothelium caused by a deficiency of high molecular weight VWF multimers.,ENSG00000110799
KLHL3,1,SPLEEN,"","","","","",Orphanet_300525,0.819024471406376,Pseudohypoaldosteronism type 2D: Any pseudohypoaldosteronism type 2 in which the cause of the disease is a mutation in the KLHL3 gene.,ENSG00000146021
GMPPB,1,COLON,"","","","","",Orphanet_363623,0.818302688569637,"Autosomal recessive limb-girdle muscular dystrophy type 2T: Autosomal recessive limb-girdle muscular dystrophy type 2T (LGMD2T) is a form of limb-girdle muscular dystrophy, that can present from birth to early childhood, characterized by hypotonia, microcephaly, mild proximal muscle weakness (leading to delayed walking and difficulty climbing stairs), mild intellectual disability and epilepsy. Additional manifestations reported in some patients include cataracts, nystagmus, cardiomyopathy, and respiratory insufficiency.",ENSG00000173540
ATP13A2,1,LUNG,"","","","","",Orphanet_306674,0.818192203473331,"Kufor-Rakeb syndrome: Kufor-Rakeb syndrome (KRS) is a rare genetic neurodegenerative disorder characterized by juvenile Parkinsonism, pyramidal degeneration (dystonia), supranuclear palsy, and cognitive impairment.",ENSG00000159363
ABCG8,1,LIVER,"","","","","",Orphanet_2882,0.817999262166344,"Sitosterolemia: A rare autosomal recessive sterol storage disease characterized by the accumulation of phytosterols in the blood and tissues. Clinical manifestations include xanthomas, arthralgia and premature atherosclerosis. Hematological manifestations include hemolytic anemia with stomatocytosis and macrothrombocytopenia. The disease is caused by homozygous or compound heterozygous mutations in ABCG5 (2p21) and ABCG8 (2p21) genes.",ENSG00000143921
NCF2,1,SMLINT,"","","","","",Orphanet_379,0.815584544282253,"Chronic granulomatous disease: Chronic granulomatous disease (CGD) is a rare primary immunodeficiency, mainly affecting phagocytes, which is characterized by an increased susceptibility to severe and recurrent bacterial and fungal infections, along with the development of granulomas.",ENSG00000116701
VWF,1,LUNG,"","","","","",Orphanet_166093,0.815529940793437,Von Willebrand disease type 2N: Type 2N von Willebrand disease (type 2N VWD) is a subtype of type 2 VWD characterized by a bleeding disorder associated with a marked decrease in the affinity of the Willebrand factor (von Willebrand factor; VWF) for factor VIII (FVIII).,ENSG00000110799
KCNT1,1,ADRNL,"","","","","",Orphanet_293181,0.814355167555282,Malignant migrating partial seizures of infancy: A very rare severe form of epilepsy with poor prognosis that usually begins within a few weeks of birth. The seizure activity can appear in multiple locations in the brain or migrate from one region to another during an episode. It results in severe developmental delay.,ENSG00000107147
GALE,1,COLON,"","","","","",Orphanet_79238,0.814085391543852,"Galactose epimerase deficiency: Galactose epimerase deficiency is a very rare, moderate to severe form of galactosemia characterized by moderate to severe signs of impaired galactose metabolism.",ENSG00000117308
CYBA,1,SPLEEN,"","","","","",Orphanet_379,0.813864390799954,"Chronic granulomatous disease: Chronic granulomatous disease (CGD) is a rare primary immunodeficiency, mainly affecting phagocytes, which is characterized by an increased susceptibility to severe and recurrent bacterial and fungal infections, along with the development of granulomas.",ENSG00000051523
ABCC9,1,HEART,"","","","","",Orphanet_1517,0.813527477079074,"Hypertrichotic osteochondrodysplasia, Cantu type: Cantu syndrome is a rare disorder characterized by congenital hypertrichosis, osteochondrodysplasia, cardiomegaly, and dysmorphism.",ENSG00000069431
SLC4A11,1,SPLEEN,"","","","","",Orphanet_98974,0.813046203818913,"Fuchs endothelial corneal dystrophy: Fuchs endothelial corneal dystrophy (FECD) is the most frequent form of posterior corneal dystrophy and is characterized by excrescences on a thickened Descemet membrane (corneal guttae), generalized corneal edema, with gradually decreased visual acuity.",ENSG00000088836
MTTP,1,COLON,"","","","","",Orphanet_14,0.812962450826747,"Abetalipoproteinemia: Abetalipoproteinemia/ homozygous familial hypobetalipoproteinemia (ABL/HoFHBL) is a severe form of familial hypobetalipoproteinemia characterized by permanently low levels (below the 5th percentile) of apolipoprotein B and LDL cholesterol, and by growth delay, malabsorption, hepatomegaly, and neurological and neuromuscular manifestations.",ENSG00000138823
IFT140,1,ADRNL,"","","","","",Orphanet_140969,0.812498922802121,Saldino-Mainzer syndrome: NA,ENSG00000187535
SLC19A2,1,ADRNL,"","","","","",Orphanet_49827,0.812160581834809,"Thiamine-responsive megaloblastic anemia syndrome: Thiamine-responsive megaloblastic anemia (TRMA) is characterized by a triad of megaloblastic anemia, non-type I diabetes mellitus, and sensorineural deafness.",ENSG00000117479
FANCD2,1,SPLEEN,"","","","","",Orphanet_84,0.811440812346578,"Fanconi anemia: Fanconi anemia (FA) is a hereditary DNA repair disorder characterized by progressive pancytopenia with bone marrow failure, variable congenital malformations and predisposition to develop hematological or solid tumors.",ENSG00000144554
EVC,1,ADRNL,"","","","","",Orphanet_289,0.811123789854771,"Ellis Van Creveld syndrome: Ellis-van Creveld syndrome (EVC) is a skeletal and ectoderlam dysplasia characterized by a tetrad of short stature, postaxial polydactyly, ectodermal dysplasia, and congenital heart defects.",ENSG00000072840
VWF,1,LUNG,"","","","","",Orphanet_166081,0.811086536807376,Von Willebrand disease type 2: Type 2 von Willebrand disease (type 2 VWD) is a form of VWD characterized by a bleeding disorder associated with a qualitative deficiency and functional anomalies of the Willebrand factor (von Willebrand factor; VWF).,ENSG00000110799
DSP,1,HEART,"","","","","",Orphanet_65282,0.809422552040368,Woolly hair-palmoplantar keratoderma-dilated cardiomyopathy syndrome: NA,ENSG00000096696
VCP,1,COLON,"","","","","",Orphanet_52430,0.809284056992654,"Inclusion body myopathy with Paget disease of bone and frontotemporal dementia: Inclusion body myopathy with Paget disease of bone and frontotemporal dementia (IBMPFD) is a multisystem degenerative genetic disorder characterized by adult-onset proximal and distal muscle weakness (clinically resembling limb-girdle muscular dystrophy); early-onset Paget disease of bone, manifesting with bone pain, deformity and enlargement of the long-bones; and premature frontotemporal dementia, manifesting first with dysnomia, dyscalculia and comprehension deficits followed by progressive aphasia, alexia, and agraphia. As the disease progresses, muscle weakness begins to affect the other limbs and respiratory muscles, ultimately resulting in respiratory or cardiac failure.",ENSG00000165280
ITPR1,1,KIDNEY,"","","","","",Orphanet_1065,0.809146617419587,"Aniridia - cerebellar ataxia - intellectual disability: Aniridia-cerebellar ataxia-intellectual disability syndrome, also known as Gillespie syndrome, is a rare, congenital, neurological disorder characterized by the association of partial bilateral aniridia with non-progressive cerebellar ataxia, and intellectual disability.",ENSG00000150995
CFH,1,COLON,"","","","","",Orphanet_93579,0.809075133340866,Atypical hemolytic-uremic syndrome with H factor anomaly: NA,ENSG00000000971
NBN,1,SPLEEN,"","","","","",Orphanet_647,0.80880656697364,"Nijmegen breakage syndrome: Nijmegen breakage syndrome is a rare genetic disease presenting at birth with microcephaly, dysmorphic facial features, becoming more noticeable with age, growth delay, and later-onset complications such as malignancies and infections.",ENSG00000104320
VWF,1,LUNG,"","","","","",Orphanet_166090,0.808688963466547,Von Willebrand disease type 2M: A subtype of type 2 VWD characterized by a bleeding disorder associated with a decrease in the affinity of the Willebrand factor (von Willebrand factor; VWF) for platelets and the subendothelium in the absence of any deficiency of high molecular weight VWF multimers.,ENSG00000110799
DNM1L,1,ADRNL,"","","","","",Orphanet_330050,0.808656060589526,Lethal encephalopathy due to mitochondrial and peroxisomal fission defect: NA,ENSG00000087470
ASAH1,1,ADRNL,"","","","","",Orphanet_333,0.808650029863909,"Farber lipogranulomatosis: A rare sphingolipid disorder characterized by a spectrum of clinical signs ranging from the classical triad of painful and progressively deformed joints, subcutaneous nodules, and progressive hoarseness (due to laryngeal involvement) that presents in infancy, to varying phenotypes with respiratory and neurologic involvement.",ENSG00000104763
KRT14,1,COLON,"","","","","",Orphanet_79396,0.808430301461197,"Epidermolysis bullosa simplex, Dowling-Meara type: A basal subtype of epidermolysis bullosa simplex (EBS) characterized by the presence of generalized vesicles and small blisters in grouped or arcuate configuration.",ENSG00000186847
LONP1,1,COLON,"","","","","",Orphanet_1458,0.808398853754386,"CODAS syndrome: Codas syndrome is a multiple congenital anomalies syndrome characterized by Cerebral, Ocular, Dental, Auricular and Skeletal anomalies.",ENSG00000196365
CTC1,1,ADRNL,"","","","","",Orphanet_313838,0.807608058425346,"Coats plus syndrome: Coats plus syndrome is a pleiotropic multisystem disorder characterized by retinal telangiectasia and exudates, intracranial calcification with leukoencephalopathy and brain cysts, osteopenia with predisposition to fractures, bone marrow suppression, gastrointestinal bleeding and portal hypertension. It is transmitted as an autosomal recessive disease.",ENSG00000178971
INF2,1,LIVER,"","","","","",EFO_0004236,0.806275082434462,"focal segmental glomerulosclerosis: A renal disorder characterized by sclerotic lesions in the glomeruli. Causes include drugs, viruses, and malignancies (lymphomas), or it may be idiopathic. It presents with asymptomatic proteinuria or nephritic syndrome and it may lead to renal failure.",ENSG00000203485
ASS1,1,LUNG,"","","","","",Orphanet_187,0.805716324283616,"Citrullinemia: Citrullinemia is an autosomal recessively inherited disorder of urea cycle metabolism and ammonia detoxification characterized by elevated concentrations of serum citrulline and ammonia. The disease presents with a large range of manifestations including neonatal hyperammonemic encephalopathy with lethargy, seizures and coma; hepatic dysfunction in all age groups; episodes of hyperammonemia and neuropsychiatric symptoms in children or adults, or, can be asymptomatic in some cases (detected in newborn screening programs). Citrullinemia is divided into two main groups that are encoded by different genes: citrullinemia type I (comprised of acute neonatal citrullinemia type I and adult-onset citrullinemia type I) and citrin deficiency (comprised of adult-onset citrullinemia type II and neonatal intrahepatic cholestasis due to citrin deficiency).",ENSG00000130707
SGCB,1,LUNG,"","","","","",Orphanet_119,0.803714502409722,"Autosomal recessive limb-girdle muscular dystrophy type 2E: Autosomal recessive limb girdle muscular dystrophy type 2E (LGMD2E) is a subtype of autosomal recessive limb girdle muscular dystrophy characterized by a childhood to adolescent onset of progressive pelvic- and shoulder-girdle muscle weakness, particularly affecting the pelvic girdle (adductors and flexors of hip). Usually the knees are the earliest and most affected muscles. In advanced stages, involvement of the shoulder girdle (resulting in scapular winging) and the distal muscle groups are observed. Calf hypertrophy, cardiomyopathy, respiratory impairment, tendon contractures, scoliosis, and exercise-induced myoglobinuria may be observed.",ENSG00000163069
ABCA3,1,ADRNL,"","","","","",Orphanet_217563,0.801996221775787,Neonatal acute respiratory distress with surfactant metabolism deficiency: NA,ENSG00000167972
PCYT1A,1,HEART,"","","","","",Orphanet_85167,0.801647579797493,"Spondylometaphyseal dysplasia - cone-rod dystrophy: Spondylometaphyseal dysplasia-cone-rod dystrophy syndrome is characterised by the association of spondylometaphyseal dysplasia (marked by platyspondyly, shortening of the tubular bones and progressive metaphyseal irregularity and cupping), with postnatal growth retardation and progressive visual impairment due to cone-rod dystrophy. So far, it has been described in eight individuals. Transmission appears to be autosomal recessive.",ENSG00000161217
KIF21A,1,LIVER,"","","","","",Orphanet_45358,0.801537680538929,Congenital fibrosis of extraocular muscles: NA,ENSG00000139116
AGL,1,HEART,"","","","","",Orphanet_366,0.800517211840972,"Glycogen storage disease due to glycogen debranching enzyme deficiency: An autosomal recessive metabolic disorder due to deficient expression of amylo-1,6-glucosidase (one part of the glycogen debranching enzyme system). The clinical course of the disease is similar to that of glycogen storage disease type I, but milder. Massive hepatomegaly, which is present in young children, diminishes and occasionally disappears with age. Levels of glycogen with short outer branches are elevated in muscle, liver, and erythrocytes. Six subgroups have been identified, with subgroups Type IIIa and Type IIIb being the most prevalent.",ENSG00000162688
SMOC1,1,ADRNL,"","","","","",Orphanet_1106,0.80014211565312,"Microphthalmia with limb anomalies: Microphthalmia with limb anomalies, also known as ophthalmo-acromelic syndrome (OAS), is a rare developmental disorder characterized by bilateral microphthalmia or anophthalmia, synostosis, syndactyly, oligodactyly and/or polydactyly.",ENSG00000198732
ANKRD11,1,SPLEEN,"","","","","",Orphanet_2332,0.799917517908548,"KBG syndrome: KBG syndrome is a rare condition characterised by a typical facial dysmorphism, macrodontia of the upper central incisors, skeletal (mainly costovertebral) anomalies and developmental delay.",ENSG00000167522
COL4A3,1,HEART,"","","","","",Orphanet_63,0.799692679798762,"Alport syndrome: A genetic syndrome usually inherited as an X-link trait. It is caused by abnormalities in the COL4A5 gene. It affects males more often than females and is characterized by hematuria, progressive renal insufficiency, hearing loss, and ocular abnormalities.",ENSG00000169031
CREBBP,1,SPLEEN,"","","","","",Orphanet_783,0.798548469180183,"Rubinstein-Taybi syndrome: Rubinstein-Taybi syndrome is a rare malformation syndrome characterized by congenital anomalies (microcephaly, specific facial characteristics, broad thumbs and halluces and postnatal growth retardation), short stature, intellectual disability and behavioural characteristics.",ENSG00000005339
KMT2B,1,SPLEEN,"","","","","",EFO_0009301,0.798401473784375,"dystonia 28, childhood-onset: Any dystonic disorder in which the cause of the disease is a mutation in the KMT2B gene.",ENSG00000272333
COL4A1,1,HEART,"","","","","",Orphanet_73229,0.797120499951824,"Autosomal dominant familial hematuria - retinal arteriolar tortuosity - contractures: Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome is characterised by the association of hematuria (without proteinuria) with extrarenal manifestations: retinal arterial tortuosities responsible for retinal haemorrhages, cardiac arrhythmia, Raynaud phenomena and congenital muscular contractures.",ENSG00000187498
C12orf57,1,ADRNL,"","","","","",Orphanet_1777,0.796167909319666,"Temtamy syndrome: Temtamy syndrome is a very rare congenital genetic neurological disorder characterized by agenesis/hypoplasia of corpus callosum with developmental abnormalities, ocular disorders, and variable craniofacial and skeletal abnormalities.",ENSG00000111678
COL4A3,1,HEART,"","","","","",Orphanet_88918,0.796163970741442,"Autosomal dominant Alport syndrome: Autosomal dominant Alport syndrome isa genetic condition characterized by kidney disease, hearing loss, and eye abnormalities. Most affected individuals experience progressive loss of kidney function, usually resulting in end-stage kidney disease. People with Alport syndrome frequently develop sensorineural hearing loss in late childhood or early adolescence. The eye abnormalities seen in this condition seldom lead to vision loss. Alport syndrome can have different patterns of inheritance.Alport syndrome has autosomal dominant inheritance in about 5 percent of cases. People with this form of Alport syndrome have one mutation in either the COL4A3 or COL4A4 gene in each cell.",ENSG00000169031
FOXP1,1,SPLEEN,"","","","","",EFO_1001500,0.794607102906062,"mental retardation with language impairment: Mental retardation with language impairment and with or without autistic features is a neurodevelopmental disorder characterized by global developmental delay with moderate to severe speech delay that particularly affects expressive speech. Most patients have articulation defects, but frank verbal dyspraxia is not observed. Common dysmorphic features include broad forehead, downslanting palpebral fissures, short nose with broad tip, relative macrocephaly, frontal hair upsweep, and prominent digit pads. Gross motor skills are also delayed. Some patients have autistic features and/or behavioral problems. All reported cases have occurred de novo (review by Le Fevre et al., 2013).",ENSG00000114861
GATA2,1,LUNG,"","","","","",Orphanet_228423,0.794401732027678,Monocytopenia with susceptibility to infections: NA,ENSG00000179348
KIF5A,1,HEART,"","","","","",Orphanet_100991,0.793978240438397,"Autosomal dominant spastic paraplegia type 10: Autosomal dominant spastic paraplegia type 10 (SPG10) is a rare type of hereditary spastic paraplegia that can present as either a pure form of spastic paraplegia with lower limb spasticity, hyperreflexia and extensor plantar responses, presenting in childhood or adolescence, or as a complex phenotype associated with additional manifestations including peripheral neuropathy with upper limb amyotrophy, moderate intellectual disability and parkinsonism. Deafness and retinitis pigmentosa were reported in one case.",ENSG00000155980
EFTUD2,1,COLON,"","","","","",Orphanet_79113,0.79377428360686,"Mandibulofacial dysostosis-microcephaly syndrome: Mandibulofacial dysostosis-microcephaly syndrome is a rare genetic multiple malformation disorder characterized by malar and mandibular hypoplasia, microcephaly, ear malformations with associated conductive hearing loss, distinctive facial dysmorphism, developmental delay, and intellectual disability.",ENSG00000108883
JAK3,1,SPLEEN,"","","","","",Orphanet_35078,0.793054226231099,"T-B+ severe combined immunodeficiency due to JAK3 deficiency: Severe combined immunodeficiency (SCID) T-B+ due to JAK3 deficiency is a form of SCID (see this term) characterized by severe and recurrent infections, associated with diarrhea and failure to thrive.",ENSG00000105639
FGG,1,LUNG,"","","","","",Orphanet_335,0.792841309012866,Congenital fibrinogen deficiency: Congenital deficiencies of fibrinogen are coagulation disorders characterized by bleeding symptoms ranging from mild to severe resulting from reduced quantity and/or quality of circulating fibrinogen. Afibrinogenemia (complete absence of fibrinogen) and hypofibrinogenemia (reduced plasma fibrinogen concentration) correspond to quantitative anomalies of fibrinogen while dysfibrinogenemia corresponds to a functional anomaly of fibrinogen. Hypo- and dysfibrinogenemia may be frequently combined (hypodysfibrinogenemia).,ENSG00000171557
MAT1A,1,LUNG,"","","","","",Orphanet_168598,0.792796832108451,Brain demyelination due to methionine adenosyltransferase deficiency: Hypermethioninemia due to methionine adenosyltransferase deficiency is a very rare metabolic disorder resulting in isolated hepatic hypermethioninemia that is usually benign due to partial inactivation of enzyme activity. Rarely patients have been found to have an odd odor or neurological disorders such as brain demyelination.,ENSG00000151224
CSTB,1,ADRNL,"","","","","",Orphanet_308,0.792642225523126,"Unverricht-Lundborg disease: Unverricht-Lundborg disease (ULD) is a rare progressive myoclonic epilepsy disorder characterized by action- and stimulus-sensitive myoclonus, and tonic-clonic seizures with ataxia, but with only a mild cognitive decline over time.",ENSG00000160213
KRT14,1,COLON,"","","","","",Orphanet_79399,0.792501774355686,"Generalized epidermolysis bullosa simplex, non-Dowling-Meara type: Non-Dowling-Meara generalized epidermolysis bullosa simplex, formerly known as epidermolysis bullosa simplex, Kobner type (EBS-K) is a generalized basal subtype of epidermolysis bullosa simplex (EBS) characterized by non-herpetiform blisters and erosions arising in particular at sites of friction.",ENSG00000186847
PNPO,1,ADRNL,"","","","","",Orphanet_79096,0.792421719480801,"Pyridoxal phosphate-responsive seizures: Pyridoxal phosphate-responsive seizures is a very rare neonatal epileptic encephalopathy disorder characterized clinically by onset of severe seizures within hours of birth that are not responsive to anticonvulsants, but are responsive to treatment with pyridoxal phosphate.",ENSG00000108439
CYP2U1,1,SPLEEN,"","","","","",Orphanet_320411,0.79149928269928,Autosomal recessive spastic paraplegia type 56: Any hereditary spastic paraplegia in which the cause of the disease is a mutation in the CYP2U1 gene.,ENSG00000155016
MASP1,1,HEART,"","","","","",EFO_1001978,0.791240413692498,3MC syndrome 1: A type of 3MC syndrome which is that has material basis in homozygous mutation in the MASP1 gene on chromosome 3q27.,ENSG00000127241
KAT6B,1,COLON,"","","","","",Orphanet_85201,0.790332152016709,"Genitopatellar syndrome: Genitopatellar syndrome is a rare congenital patellar anomaly syndrome characterized by patellar aplasia or hypoplasia associated with microcephaly, characteristic coarse facial features (microcephaly, bitemporal narrowing, large, broad nose with high nasal bridge, prominent cheeks and micro/retrognathia or prognathism), arthrogryposis of the hips and knees, urogenital abnormalities and intellectual deficiency.",ENSG00000156650
EBP,1,ADRNL,"","","","","",Orphanet_401973,0.790196000886947,MEND syndrome: NA,ENSG00000147155
SLC6A5,1,ADRNL,"","","","","",Orphanet_3197,0.7899789080843,Hereditary hyperekplexia: Hereditary hyperekplexia is a hereditary neurological disorder characterized by excessive startle responses.,ENSG00000165970
ACP5,1,LUNG,"","","","","",Orphanet_1855,0.789599222154963,Spondyloenchondrodysplasia: NA,ENSG00000102575
XPC,1,ADRNL,"","","","","",Orphanet_276255,0.789221459429419,Xeroderma pigmentosum complementation group C: An autosomal recessive inherited disorder caused by mutations in the XPC gene. This disease is characterized by increased sensitivity to sunlight with the development of carcinomas at an early age and is caused by a defect in nucleotide excision repair.,ENSG00000154767
ASAH1,1,ADRNL,"","","","","",Orphanet_2590,0.788882642863806,Hereditary myoclonus - progressive distal muscular atrophy: Spinal muscular atrophy-progressive myoclonic epilepsy syndrome is characterized by hereditary myoclonus and progressive distal muscular atrophy. Less than 10 cases have been reported. Treatment with clonazepam results in complete and lasting improvement of the myoclonus.,ENSG00000104763
RNASET2,1,ADRNL,"","","","","",Orphanet_85136,0.788672880599778,"Cystic leukoencephalopathy without megalencephaly: Cystic leukoencephalopathy without megalencephaly is characterised by non-progressive leukoencephalopathy, bilateral cysts in the anterior part of the temporal lobe, cerebral white matter anomalies and severe psychomotor impairment. Less than 50 patients have been described in the literature so far. Inheritance is most likely autosomal recessive.",ENSG00000026297
ZMPSTE24,1,ADRNL,"","","","","",Orphanet_90154,0.787938870738956,Mandibuloacral dysplasia with type B lipodystrophy: NA,ENSG00000084073
NAGS,1,SPLEEN,"","","","","",Orphanet_927,0.787153085239758,Hyperammonemia due to N-acetylglutamate synthetase deficiency: N-acetylglutamate synthase (NAGS) deficiency is a urea cycle disorder leading to hyperammonaemia.,ENSG00000161653
SKIV2L,1,ADRNL,"","","","","",Orphanet_84064,0.787052062053128,"Syndromic diarrhea: A severe congenital enteropathy manifesting as intractable diarrhea in the first month of life with failure to thrive and associated with facial dysmorphism, hair abnormalities, and, in some cases, immune disorders and intrauterine growth restriction.",ENSG00000204351
AMPD2,1,ADRNL,"","","","","",Orphanet_369920,0.786250583232538,Pontocerebellar hypoplasia type 9: Any non-syndromic pontocerebellar hypoplasia in which the cause of the disease is a mutation in the AMPD2 gene.,ENSG00000116337
GATA2,1,LUNG,"","","","","",Orphanet_3226,0.78563571775946,"Deafness - lymphedema - leukemia: Deafness - lymphedema - leukemia is a very rare, serious syndromic genetic disorder characterized by primary lymphedema, immunodeficiency, and hematological disorders.",ENSG00000179348
FGG,1,LUNG,"","","","","",Orphanet_248408,0.785251387448407,Familial hypodysfibrinogenemia: NA,ENSG00000171557
NAA10,1,ADRNL,"","","","","",Orphanet_276432,0.784561856618505,"Premature aging appearance-developmental delay-cardiac arrhythmia syndrome: Ogden syndrome is a rare, genetic progeroid syndrome characterized by a variable phenotype including postnatal growth delay, severe global developmental delay, hypotonia, non-specific dysmorphic facies with aged appearance and cryptorchidism, as well as cardiac arrthymias and skeletal anomalies. Patients typically present with widely opened fontanels, mainly truncal hypotonia, a waddling gait with hypertonia of the extremities, small hands and feet, broad great toes, scoliosis and redundant skin with lack of subcutaneous fat.",ENSG00000102030
TRNT1,1,HEART,"","","","","",Orphanet_369861,0.784252960016413,"Congenital sideroblastic anemia-B-cell immunodeficiency-periodic fever-developmental delay syndrome: Congenital sideroblastic anemia -B cell immunodeficiency- periodic fever-developmental delay syndrome is a form of constitutional sideroblastic anemia, characterized by severe microcytic anemia, B-cell lymphopenia, panhypogammaglobulinemia and variable neurodegeneration. The disease presents in infancy with recurrent febrile illnesses, gastrointestinal disturbances, developmental delay, seizures, ataxia and sensorineural deafness. Most patients require regular blood transfusion, iron chelation, and intravenous immunoglobulin (IVIG) replacement. Stem cell transplantation has been reported to be successful.",ENSG00000072756
TRPM4,1,LUNG,"","","","","",Orphanet_871,0.784039969293265,"Familial progressive cardiac conduction defect: A hereditary cardiac conduction disorder that may progress to complete atrioventricular (AV) block. The disease is either asymptomatic or manifests as dyspnea, dizziness, syncope, abdominal pain, heart failure or sudden death.",ENSG00000130529
CREBBP,1,SPLEEN,"","","","","",Orphanet_353277,0.783514419165317,Rubinstein-Taybi syndrome due to CREBBP mutations: Any Rubinstein-Taybi syndrome in which the cause of the disease is a mutation in the CREBBP gene.,ENSG00000005339
PDYN,1,ADRNL,"","","","","",Orphanet_101108,0.783401563213462,"Spinocerebellar ataxia type 23: Spinocerebellar ataxia type 23 (SCA23) is a very rare subtype of type I autosomal dominant cerebellar ataxia (ADCA type I; see this term). It is characterized by gait ataxia, dysarthria, slowed saccades, ocular dysmetria, Babinski sign and hyperreflexia.",ENSG00000101327
CYP11A1,1,ADRNL,"","","","","",Orphanet_168558,0.782862105009131,"46,XY disorder of sex development - adrenal insufficiency due to CYP11A1 deficiency: A rare, genetic, developmental defect during embryogenesis disorder characterized by severe, early-onset, salt-wasting adrenal insufficiency and ambiguous/female external genitalia (irrespective of chromosomal sex) due to mutations in the <i>CYP11A1</i> gene. Milder cases may present delayed onset of adrenal gland dysfunction and genitalia phenotype may range from normal male to female in individuals with 46,XY karyotype. Imaging studies reveal hypoplastic/absent adrenal glands and biochemical findings include low serum cortisol, mineralocorticoids, androgens, and sodium, with elevated potassium levels.",ENSG00000140459
EVC,1,ADRNL,"","","","","",Orphanet_952,0.781741643125341,"Acrofacial dysostosis, Weyers type: Acrofacial dysostosis, Weyers type (WAD) is a rare ectodermal dysplasia syndrome with bone abnormalities, characterized by postaxial polydactyly, onychodystrophy, dental anomalies, and a mild short stature associated with normal intelligence.",ENSG00000072840
LAMB2,1,HEART,"","","","","",Orphanet_2670,0.781691052750906,Pierson syndrome: Pierson syndrome is characterised by the association of congenital nephrotic syndrome and ocular anomalies with microcoria.,ENSG00000172037
TANGO2,1,HEART,"","","","","",MONDO_0018820,0.781560563467052,"recurrent metabolic encephalomyopathic crises-rhabdomyolysis-cardiac arrhythmia-intellectual disability syndrome: Recurrent metabolic encephalomyopathic crises-rhabdomyolysis-cardiac arrhythmia-intellectual disability syndrome is a rare, genetic, neurodegenerative disease characterized by episodic metabolic encephalomyopathic crises (of variable frequency and severity which are frequently precipitated by an acute illness) which manifest with profound muscle weakness, ataxia, seizures, cardiac arrhythmias, rhabdomyolysis with myoglobinuria, elevated plasma creatine kinase, hypoglycemia, lactic acidosis, increased acylcarnitines and a disorientated or comatose state. Global developmental delay, intellectual disability and cortical, pyramidal and cerebellar signs develop with subsequent progressive neurodegeneration causing loss of expressive language and varying degrees of cerebral atrophy.",ENSG00000183597
ATP13A2,1,LUNG,"","","","","",Orphanet_314632,0.781247605689322,Parkinsonism due to ATP13A2 deficiency: NA,ENSG00000159363
ABHD5,1,LUNG,"","","","","",Orphanet_98907,0.780746022876293,Dorfman-Chanarin disease: NA,ENSG00000011198
SETX,1,SPLEEN,"","","","","",Orphanet_64753,0.780313509612524,"Spinocerebellar ataxia with axonal neuropathy type 2: Spinocerebellar ataxia with axonal neuropathy type 2 or ataxia-oculomotor apraxia type 2 (AOA2) is a form of autosomal recessive cerebellar ataxia (ARCA; see this term) characterized by progressive cerebellar ataxia, axonal sensorimotor neuropathy with oculomotor apraxia, fixation instability, extrapyramidal features and an elevated serum alpha-fetoprotein level.",ENSG00000107290
DOCK8,1,SPLEEN,"","","","","",Orphanet_217390,0.7802191068817,"Combined immunodeficiency due to DOCK8 deficiency: Combined immunodeficiency due to dedicator of cytokinesis 8 protein (DOCK8) deficiency is a form of T and B cell immunodeficiency characterized by recurrent cutaneous viral infections, susceptibility to cancer and elevated serum levels of immunoglobulin E (IgE).",ENSG00000107099
FRAS1,1,KIDNEY,"","","","","",Orphanet_2052,0.779252379681805,Fraser syndrome: Fraser syndrome is a rare clinical entity including as main characteristics cryptophthalmos and syndactyly.,ENSG00000138759
GNS,1,ADRNL,"","","","","",Orphanet_79272,0.779083585361143,"Sanfilippo syndrome type D: A rare autosomal recessive lysosomal storage disease caused by deficiency of the enzyme N-acetylglucosamine-6-sulfatase. It is characterized by behavioral changes, sleep disturbances and mental developmental delays.",ENSG00000135677
DSP,1,HEART,"","","","","",MONDO_0011581,0.778810992897438,"arrhythmogenic cardiomyopathy with woolly hair and keratoderma: A cardioectodermal syndrome that is often associated with the gene DSP, encoding desmoplakin. Desmoplakin is a member of the plakin family of cell adhesion molecules that are responsible for the formation and maintenance of desmosomes. Variation in DSP is associated with cardiomyopathic manifestations that include: (1) seemingly isolated arrhythmogenic right ventricle cardiomyopathy (ARVC) that is atypical and can show left ventricle dominance, or be present in the left and right ventricle simultaneously; and (2) dilated cardiomyopathy. Cutaneous phenotypes including woolly hair and/or keratoderma can present along with the cardiomyopathy, but are noted as less penetrant features.",ENSG00000096696
MAF,1,COLON,"","","","","",EFO_0009020,0.778132082337375,"Aymé-Gripp syndrome: Ayme-Gripp syndrome is a clinically homogeneous phenotype characterized by congenital cataracts, sensorineural hearing loss, intellectual disability, seizures, brachycephaly, a distinctive flat facial appearance, and reduced growth (Niceta et al., 2015).",ENSG00000178573
