rat_ensembl_gene,ome,tissue,node,rat_gene_symbol,human_gene_symbol,human_ensembl_gene,chr,gene_start,gene_end,male.logFC,male.phenotypic_expression_Z,male.genetic_expression_Z,female.logFC,female.phenotypic_expression_Z,female.genetic_expression_Z,num_twas_hits,twas_hits
ENSRNOG00000037402,TRNSCRPT,BLOOD,8w_F1_M1,Cops9,COPS9,ENSG00000172428,chr2,240126563,240136807,1.03592780866548,4.73217549395216,,0.432065765877804,1.52796924220108,,0,""
ENSRNOG00000037540,TRNSCRPT,BLOOD,8w_F1_M1,Tmem256,TMEM256,ENSG00000205544,chr17,7402975,7404137,1.31274873989548,5.28806737660389,,0.443794892056978,1.45912147063478,,0,""
ENSRNOG00000037580,TRNSCRPT,BLOOD,8w_F1_M1,Psmd8,PSMD8,ENSG00000099341,chr19,38374536,38383824,0.917233902022224,4.54687121060522,,0.389760879075059,1.42489556145393,,1,Astle_et_al_2016_Monocyte_count
ENSRNOG00000037607,TRNSCRPT,BLOOD,8w_F1_M1,Rplp2,RPLP2,ENSG00000177600,chr11,809754,812880,0.941611619057289,4.08131974737105,,0.170042338942766,0.582161362481683,,2,"BCAC_Overall_BreastCancer_EUR, PGC_ADHD_EUR_2017"
ENSRNOG00000037768,TRNSCRPT,BLOOD,8w_F1_M1,Rab43,RAB43,ENSG00000172780,chr3,129087569,129122801,1.0274269627029,4.13097499319526,,0.390628694040222,1.22342164060912,,5,"Astle_et_al_2016_Eosinophil_counts, Astle_et_al_2016_Neutrophil_count, Astle_et_al_2016_Sum_basophil_neutrophil_counts, Astle_et_al_2016_Sum_eosinophil_basophil_counts, UKB_23099_Body_fat_percentage"
ENSRNOG00000038035,TRNSCRPT,BLOOD,8w_F1_M1,Kif4a,KIF4A,ENSG00000090889,chrX,70290090,70420832,1.30712942713971,4.49472218281883,,0.663263670301753,1.89046478245096,,0,""
ENSRNOG00000038047,TRNSCRPT,BLOOD,8w_F1_M1,Mt1,MT1A,ENSG00000205362,chr16,56638666,56640087,2.2321305422647,5.38628630354093,,0.468375950982572,1.13038628299332,,1,GLGC_Mc_HDL
ENSRNOG00000038607,TRNSCRPT,BLOOD,8w_F1_M1,Tmem86b,TMEM86B,ENSG00000180089,chr19,55226748,55229264,1.26903251638288,4.53195331066446,,0.311067970681669,0.937132193501819,,1,UKB_23099_Body_fat_percentage
ENSRNOG00000039284,TRNSCRPT,BLOOD,8w_F1_M1,Haus4,HAUS4,ENSG00000092036,chr14,22946228,22957161,1.35373359550559,4.83320338289457,,0.538273234533696,1.54333107634079,,2,"Astle_et_al_2016_High_light_scatter_reticulocyte_count, Astle_et_al_2016_Reticulocyte_count"
ENSRNOG00000039858,TRNSCRPT,BLOOD,8w_F1_M1,Mfsd12,MFSD12,ENSG00000161091,chr19,3538331,3574290,1.20793586840418,5.13894518141456,,0.445305110750769,1.51810153873008,,2,"Astle_et_al_2016_High_light_scatter_reticulocyte_count, UKB_50_Standing_height"
ENSRNOG00000040108,TRNSCRPT,BLOOD,8w_F1_M1,Cd36,CD36,ENSG00000135218,chr7,80369575,80677008,1.15345222148646,3.70968966124611,3.70970264522809,0.509337804749907,1.39953912932523,1.3995440277379,3,"Astle_et_al_2016_Neutrophil_count, Astle_et_al_2016_Red_blood_cell_count, Astle_et_al_2016_Sum_basophil_neutrophil_counts"
ENSRNOG00000040257,TRNSCRPT,BLOOD,8w_F1_M1,Chmp2b,CHMP2B,ENSG00000083937,chr3,87227271,87255548,0.790167606299811,3.6454892853343,,0.540375183212567,1.88793462639266,,0,""
ENSRNOG00000042233,TRNSCRPT,BLOOD,8w_F1_M1,Rpl41,RPL41,ENSG00000229117,chr12,56116586,56117943,1.0802716595786,4.40683186289766,,0.292656642265288,0.996612482785985,,0,""
ENSRNOG00000042821,TRNSCRPT,BLOOD,8w_F1_M1,Cd59,CD59,ENSG00000085063,chr11,33702668,33736445,1.18572939132892,4.22181792145794,,0.443840945803496,1.31879833112747,,2,"UKB_2395_2_Hair_or_balding_pattern_Pattern_2, UKB_50_Standing_height"
ENSRNOG00000042944,TRNSCRPT,BLOOD,8w_F1_M1,Cenpw,CENPW,ENSG00000203760,chr6,126340174,126348875,2.15579434189547,7.72702816806106,,1.18100949592714,3.60595139959807,,20,"Astle_et_al_2016_Granulocyte_count, Astle_et_al_2016_Myeloid_white_cell_count, Astle_et_al_2016_Neutrophil_count, Astle_et_al_2016_Red_blood_cell_count, Astle_et_al_2016_Sum_basophil_neutrophil_counts, Astle_et_al_2016_Sum_neutrophil_eosinophil_counts, Astle_et_al_2016_White_blood_cell_count, CARDIoGRAM_C4D_CAD_ADDITIVE, ENIGMA_Intracraneal_Volume, GIANT_HEIGHT, GIANT_HIP_Combined_EUR, SSGAC_Education_Years_Pooled, UKB_20022_Birth_weight, UKB_20127_Neuroticism_score, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage, UKB_2395_2_Hair_or_balding_pattern_Pattern_2, UKB_2395_3_Hair_or_balding_pattern_Pattern_3, UKB_2395_4_Hair_or_balding_pattern_Pattern_4, UKB_50_Standing_height"
ENSRNOG00000043077,TRNSCRPT,BLOOD,8w_F1_M1,Zfpm1,ZFPM1,ENSG00000179588,chr16,88453317,88537016,1.14756923252141,4.09403873117293,,0.292030665555745,0.887947460656303,,6,"Astle_et_al_2016_Eosinophil_counts, Astle_et_al_2016_High_light_scatter_reticulocyte_count, Astle_et_al_2016_Platelet_count, Astle_et_al_2016_Red_blood_cell_count, Astle_et_al_2016_Reticulocyte_count, Astle_et_al_2016_Sum_eosinophil_basophil_counts"
ENSRNOG00000043348,TRNSCRPT,BLOOD,8w_F1_M1,Rpl39,RPL39,ENSG00000198918,chrX,119786504,119791643,0.780741808828967,3.07487518290096,,0.338884200101383,1.09060633473347,,0,""
ENSRNOG00000043374,TRNSCRPT,BLOOD,8w_F1_M1,RGD1566099,C1orf53,ENSG00000203724,chr1,197902647,197907367,1.44035746642558,5.8995017643404,,0.395750226307237,1.28971701165494,,0,""
ENSRNOG00000043503,TRNSCRPT,BLOOD,8w_F1_M1,Ehd1,EHD1,ENSG00000110047,chr11,64851642,64888296,0.719337043035179,3.21462066026707,,0.239560344055354,0.817920111911876,,2,"Astle_et_al_2016_Red_blood_cell_count, pgc.scz2"
ENSRNOG00000045646,TRNSCRPT,BLOOD,8w_F1_M1,Hist2h3c2,H3C14,ENSG00000203811,chr1,149813271,149813681,1.36834032991096,4.21426784927689,,0.647091897233266,1.71670198850143,,0,""
ENSRNOG00000045747,TRNSCRPT,BLOOD,8w_F1_M1,Capns1,CAPNS1,ENSG00000126247,chr19,36139575,36150353,0.974763650295811,4.63876733261017,,0.275021731746651,0.971480832282207,,0,""
ENSRNOG00000045775,TRNSCRPT,BLOOD,8w_F1_M1,Rnpepl1,RNPEPL1,ENSG00000142327,chr2,240565804,240581372,0.45612205876376,2.14756487321774,,0.143313694360967,0.515480468146201,,0,""
ENSRNOG00000046227,TRNSCRPT,BLOOD,8w_F1_M1,Tprg1l,TPRG1L,ENSG00000158109,chr1,3625002,3630127,1.11187062380699,4.89551525390027,,0.420462956679712,1.45145102705786,,0,""
ENSRNOG00000046299,TRNSCRPT,BLOOD,8w_F1_M1,Atp5pb,ATP5PB,ENSG00000116459,chr1,111448892,111462773,0.859138152123477,4.1921713602004,,0.313166513685437,1.14400981665616,,0,""
ENSRNOG00000046585,TRNSCRPT,BLOOD,8w_F1_M1,Chmp4b,CHMP4B,ENSG00000101421,chr20,33811304,33854366,0.973881333269682,4.57024010088367,,0.238538819327945,0.863429756131806,,0,""
ENSRNOG00000046705,TRNSCRPT,BLOOD,8w_F1_M1,Snx3,SNX3,ENSG00000112335,chr6,108211222,108261260,1.00793305715996,4.31816614324934,,0.347808690947464,1.17092635428737,,0,""
ENSRNOG00000046799,TRNSCRPT,BLOOD,8w_F1_M1,Phb1,PHB,ENSG00000167085,chr17,49404049,49414905,0.822056301436539,3.98283904136074,,0.226565118314439,0.819360784879757,,0,""
ENSRNOG00000046891,TRNSCRPT,BLOOD,8w_F1_M1,Hk1,HK1,ENSG00000156515,chr10,69269984,69401882,1.32055553362725,5.39470783474996,,0.27876394894686,0.927513967397098,,0,""
ENSRNOG00000047088,TRNSCRPT,BLOOD,8w_F1_M1,Rab10,RAB10,ENSG00000084733,chr2,26034110,26137454,0.952258397276038,4.53865974807111,,0.212426513135136,0.758538830979414,,0,""
ENSRNOG00000047219,TRNSCRPT,BLOOD,8w_F1_M1,Ube3b,UBE3B,ENSG00000151148,chr12,109477545,109536705,1.06034370612783,5.04410731844033,,0.205293937717801,0.738195366148084,,4,"Astle_et_al_2016_Platelet_count, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage, UKB_50_Standing_height"
ENSRNOG00000047314,TRNSCRPT,BLOOD,8w_F1_M1,Tk1,TK1,ENSG00000167900,chr17,78174075,78187233,1.28899675613761,4.40099967070597,,0.3620334557676,1.10055774688541,,0,""
ENSRNOG00000047321,TRNSCRPT,BLOOD,8w_F1_M1,Hba-a2,HBA1,ENSG00000206172,chr16,176680,177522,0.796638092596915,2.14871510288226,,0.169559050955931,0.395774116976855,,0,""
ENSRNOG00000047611,TRNSCRPT,BLOOD,8w_F1_M1,Top1,TOP1,ENSG00000198900,chr20,41028818,41124487,1.04589445958411,4.8786634410095,,0.37460342125485,1.32116396660879,,0,""
ENSRNOG00000047663,TRNSCRPT,BLOOD,8w_F1_M1,Gata1,GATA1,ENSG00000102145,chrX,48786554,48794311,1.28106277944511,4.21218500950653,,0.344728026532894,0.987641151791863,,0,""
ENSRNOG00000047741,TRNSCRPT,BLOOD,8w_F1_M1,E2f2,E2F2,ENSG00000007968,chr1,23506430,23531220,1.10962103025817,3.91048714578347,,0.21219342440155,0.606451047027974,,0,""
ENSRNOG00000047905,TRNSCRPT,BLOOD,8w_F1_M1,Dus1l,DUS1L,ENSG00000169718,chr17,82057506,82065887,0.613488805850228,2.99960756822169,,0.300259609460723,1.10024314405016,,0,""
ENSRNOG00000048174,TRNSCRPT,BLOOD,8w_F1_M1,Uqcrq,UQCRQ,ENSG00000164405,chr5,132866580,132868031,1.12139151615915,4.95139036943755,,0.328469577143021,1.14504360948536,,0,""
ENSRNOG00000048194,TRNSCRPT,BLOOD,8w_F1_M1,Capns1,CAPNS1,ENSG00000126247,chr19,36139575,36150353,0.974763650295811,4.63876733261017,,0.275021731746651,0.971480832282207,,0,""
ENSRNOG00000048320,TRNSCRPT,BLOOD,8w_F1_M1,Ndufa11,NDUFA11,ENSG00000174886,chr19,5891276,5904006,1.27546640917863,6.19013908071256,,0.393589839802796,1.43535933103577,,1,UKB_2395_4_Hair_or_balding_pattern_Pattern_4
ENSRNOG00000048509,TRNSCRPT,BLOOD,8w_F1_M1,Ubxn6,UBXN6,ENSG00000167671,chr19,4445019,4457822,1.10782172358463,4.16943934639692,,0.308893078381455,0.944168721321737,,3,"Astle_et_al_2016_Red_blood_cell_count, UKB_1180_Morning_or_evening_person_chronotype, UKB_21001_Body_mass_index_BMI"
ENSRNOG00000048613,TRNSCRPT,BLOOD,8w_F1_M1,Timm17b,TIMM17B,ENSG00000126768,chrX,48893447,48897821,1.13056257875988,5.32772642616693,,0.457446655576028,1.63421838450015,,0,""
ENSRNOG00000048651,TRNSCRPT,BLOOD,8w_F1_M1,Nrtn,NRTN,ENSG00000171119,chr19,5823802,5828324,1.03449193191146,4.03758297233342,,0.344549432093156,1.01941560545986,,1,Astle_et_al_2016_Sum_basophil_neutrophil_counts
ENSRNOG00000049028,TRNSCRPT,BLOOD,8w_F1_M1,C5ar2,C5AR2,ENSG00000134830,chr19,47332147,47347327,1.1729033574604,4.63247196077858,,0.343799803747208,1.10440620464913,,0,""
ENSRNOG00000049127,TRNSCRPT,BLOOD,8w_F1_M1,Smap1,SMAP1,ENSG00000112305,chr6,70667776,70862015,1.14824376539801,5.20671867518432,,0.273709798259053,0.948574186196092,,3,"UKB_20016_Fluid_intelligence_score, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage"
ENSRNOG00000049219,TRNSCRPT,BLOOD,8w_F1_M1,Rnf187,RNF187,ENSG00000168159,chr1,228487121,228495766,1.26155607157531,4.47564442751138,,0.33388206232661,1.00619512786792,,2,"GIANT_HEIGHT, UKB_50_Standing_height"
ENSRNOG00000049743,TRNSCRPT,BLOOD,8w_F1_M1,Gstm5,GSTM3,ENSG00000134202,chr1,109733932,109741038,1.55059481875475,2.93147717801636,3.47813433119454,0.319725025868137,0.59322956118628,0.703854056417272,0,""
ENSRNOG00000049908,TRNSCRPT,BLOOD,8w_F1_M1,Fam104b,FAM104B,ENSG00000182518,chrX,55143102,55161310,1.00639833211097,3.99785472411811,,0.445350689744728,1.45166960551437,,0,""
ENSRNOG00000050044,TRNSCRPT,BLOOD,8w_F1_M1,Ptp4a2,PTP4A2,ENSG00000184007,chr1,31906421,31944856,1.04986173261219,4.99721033871571,,0.347234262747734,1.23603414160212,,0,""
ENSRNOG00000050051,TRNSCRPT,BLOOD,8w_F1_M1,Pin4,PIN4,ENSG00000102309,chrX,72181353,72301637,0.890479574159443,2.97672862183045,,0.190166391133814,0.550958604810266,,0,""
ENSRNOG00000050258,TRNSCRPT,BLOOD,8w_F1_M1,Ccnd3,CCND3,ENSG00000112576,chr6,41934933,42050357,0.836348323769417,3.75755284490253,,0.224019353520012,0.785246568120484,,0,""
ENSRNOG00000050401,TRNSCRPT,BLOOD,8w_F1_M1,Vbp1,VBP1,ENSG00000155959,chrX,155197007,155239817,0.983172090790006,4.39638994326368,,0.181043194044682,0.632307537747885,,0,""
ENSRNOG00000050790,TRNSCRPT,BLOOD,8w_F1_M1,Dcaf12,DCAF12,ENSG00000198876,chr9,34086387,34127399,0.987023918970618,3.69115206802323,,0.27791509828759,0.829240945743236,,0,""
ENSRNOG00000050819,TRNSCRPT,BLOOD,8w_F1_M1,Birc5,BIRC5,ENSG00000089685,chr17,78214186,78225636,1.58693463141912,5.10578990666177,,0.782155527412592,2.1880138563705,,2,"Astle_et_al_2016_Platelet_count, UKB_50_Standing_height"
ENSRNOG00000051291,TRNSCRPT,BLOOD,8w_F-1_M-1,Dnhd1,DNHD1,ENSG00000179532,chr11,6497296,6572022,-0.875412891579048,-3.62731883381691,,-0.317381167817858,-1.03779912830056,,0,""
ENSRNOG00000051699,TRNSCRPT,BLOOD,8w_F1_M1,Zdhhc4,ZDHHC4,ENSG00000136247,chr7,6577434,6589374,0.753721034126711,3.265694035987,,0.361084087448237,1.23259304073623,,0,""
ENSRNOG00000052141,TRNSCRPT,BLOOD,8w_F1_M1,Rps10,RPS10,ENSG00000124614,chr6,34417454,34426125,0.882961282383717,4.17776078654449,,0.229760045233456,0.829248932779935,,3,"Astle_et_al_2016_Lymphocyte_counts, UKB_21001_Body_mass_index_BMI, UKB_50_Standing_height"
ENSRNOG00000052583,TRNSCRPT,BLOOD,8w_F1_M1,Zfp106,ZNF106,ENSG00000103994,chr15,42412823,42491123,0.930812301538708,4.3081899288673,,0.236051174521965,0.834802824356006,,0,""
ENSRNOG00000052620,TRNSCRPT,BLOOD,8w_F1_M1,Rack1,RACK1,ENSG00000204628,chr5,181236909,181248096,0.630731862891942,3.09995536880693,,0.204318093294554,0.745905770199062,,2,"UKB_21001_Body_mass_index_BMI, UKB_50_Standing_height"
ENSRNOG00000053061,TRNSCRPT,BLOOD,8w_F1_M1,Ubl4a,UBL4A,ENSG00000102178,chrX,154483717,154486670,1.18710026064525,5.37568279997992,,0.261407352030842,0.907278876359588,,0,""
ENSRNOG00000053172,TRNSCRPT,BLOOD,8w_F1_M1,Ssr4,SSR4,ENSG00000180879,chrX,153793516,153798505,0.782804027839152,3.72671114311751,,0.289647301167532,1.0430217757058,,0,""
ENSRNOG00000053362,TRNSCRPT,BLOOD,8w_F1_M1,Gabarapl1,GABARAPL1,ENSG00000139112,chr12,10212458,10223130,1.14313638609592,5.10295322349755,,0.316409267697507,1.08902061767413,,0,""
ENSRNOG00000053943,TRNSCRPT,BLOOD,8w_F1_M1,Cops3,COPS3,ENSG00000141030,chr17,17246820,17281293,1.0334928685794,3.49648959968838,,0.308475014167731,0.918646474497161,,0,""
ENSRNOG00000054017,TRNSCRPT,BLOOD,8w_F1_M1,Hist1h4b,H4C9,ENSG00000276180,chr6,27138588,27139881,1.16044452529662,3.44954323310001,,0.455631162418647,1.19876426567087,,7,"Astle_et_al_2016_Red_blood_cell_count, GIANT_HEIGHT, GIANT_HIP_Combined_EUR, UKB_20002_1065_self_reported_hypertension, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage, UKB_50_Standing_height"
ENSRNOG00000054017,TRNSCRPT,BLOOD,8w_F1_M1,Hist1h4b,H4C9,ENSG00000276180,chr6,27138588,27139881,1.16044452529662,3.44954323310001,,0.455631162418647,1.34243254707134,,7,"Astle_et_al_2016_Red_blood_cell_count, GIANT_HEIGHT, GIANT_HIP_Combined_EUR, UKB_20002_1065_self_reported_hypertension, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage, UKB_50_Standing_height"
ENSRNOG00000054017,TRNSCRPT,BLOOD,8w_F1_M1,Hist1h4b,H4C9,ENSG00000276180,chr6,27138588,27139881,1.16044452529662,3.44954323310001,,0.455631162418647,1.56542520426577,,7,"Astle_et_al_2016_Red_blood_cell_count, GIANT_HEIGHT, GIANT_HIP_Combined_EUR, UKB_20002_1065_self_reported_hypertension, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage, UKB_50_Standing_height"
ENSRNOG00000054017,TRNSCRPT,BLOOD,8w_F1_M1,Hist1h4b,H4C9,ENSG00000276180,chr6,26188765,26189076,1.16044452529662,4.17140382110959,,0.455631162418647,1.19876426567087,,7,"Astle_et_al_2016_Red_blood_cell_count, GIANT_HEIGHT, GIANT_HIP_Combined_EUR, UKB_20002_1065_self_reported_hypertension, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage, UKB_50_Standing_height"
ENSRNOG00000054017,TRNSCRPT,BLOOD,8w_F1_M1,Hist1h4b,H4C9,ENSG00000276180,chr6,26188765,26189076,1.16044452529662,4.17140382110959,,0.455631162418647,1.34243254707134,,7,"Astle_et_al_2016_Red_blood_cell_count, GIANT_HEIGHT, GIANT_HIP_Combined_EUR, UKB_20002_1065_self_reported_hypertension, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage, UKB_50_Standing_height"
ENSRNOG00000054017,TRNSCRPT,BLOOD,8w_F1_M1,Hist1h4b,H4C9,ENSG00000276180,chr6,26188765,26189076,1.16044452529662,4.17140382110959,,0.455631162418647,1.56542520426577,,7,"Astle_et_al_2016_Red_blood_cell_count, GIANT_HEIGHT, GIANT_HIP_Combined_EUR, UKB_20002_1065_self_reported_hypertension, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage, UKB_50_Standing_height"
ENSRNOG00000054017,TRNSCRPT,BLOOD,8w_F1_M1,Hist1h4b,H4C9,ENSG00000276180,chr6,26026815,26027252,1.16044452529662,4.90927860069456,,0.455631162418647,1.19876426567087,,7,"Astle_et_al_2016_Red_blood_cell_count, GIANT_HEIGHT, GIANT_HIP_Combined_EUR, UKB_20002_1065_self_reported_hypertension, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage, UKB_50_Standing_height"
ENSRNOG00000054017,TRNSCRPT,BLOOD,8w_F1_M1,Hist1h4b,H4C9,ENSG00000276180,chr6,26026815,26027252,1.16044452529662,4.90927860069456,,0.455631162418647,1.34243254707134,,7,"Astle_et_al_2016_Red_blood_cell_count, GIANT_HEIGHT, GIANT_HIP_Combined_EUR, UKB_20002_1065_self_reported_hypertension, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage, UKB_50_Standing_height"
ENSRNOG00000054017,TRNSCRPT,BLOOD,8w_F1_M1,Hist1h4b,H4C9,ENSG00000276180,chr6,26026815,26027252,1.16044452529662,4.90927860069456,,0.455631162418647,1.56542520426577,,7,"Astle_et_al_2016_Red_blood_cell_count, GIANT_HEIGHT, GIANT_HIP_Combined_EUR, UKB_20002_1065_self_reported_hypertension, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage, UKB_50_Standing_height"
ENSRNOG00000054118,TRNSCRPT,BLOOD,8w_F1_M1,Tpgs2,TPGS2,ENSG00000134779,chr18,36777647,36829216,0.493735496752271,1.68039917513038,,0.473713071303968,1.35442798458105,,0,""
ENSRNOG00000054157,TRNSCRPT,BLOOD,8w_F1_M1,Nadk2,NADK2,ENSG00000152620,chr5,36192592,36242279,1.27189044647193,4.92175215614274,,0.280212792832967,0.899602067999511,,1,UKB_50_Standing_height
ENSRNOG00000054286,TRNSCRPT,BLOOD,8w_F1_M1,Rrm2,RRM2,ENSG00000171848,chr2,10122328,10131419,1.14012524827211,3.62148810747949,,0.617225333411668,1.6328989181004,,1,Astle_et_al_2016_Reticulocyte_count
ENSRNOG00000054561,TRNSCRPT,BLOOD,8w_F1_M1,Isg20,ISG20,ENSG00000172183,chr15,88636153,88656483,1.03202714454496,3.84499347037263,,0.335134993046151,1.02000593870627,,0,""
ENSRNOG00000054689,TRNSCRPT,BLOOD,8w_F1_M1,Cox7b,COX7B,ENSG00000131174,chrX,77899438,77907373,0.927499562513647,3.67569548083436,,0.320386524969198,1.02902694909874,,0,""
ENSRNOG00000054863,TRNSCRPT,BLOOD,8w_F1_M1,Usp4,USP4,ENSG00000114316,chr3,49277910,49340712,1.0865936663397,5.27050886453231,,0.200734112340493,0.732630654075764,,7,"Astle_et_al_2016_Eosinophil_counts, Astle_et_al_2016_High_light_scatter_reticulocyte_count, Astle_et_al_2016_Red_blood_cell_count, Astle_et_al_2016_Reticulocyte_count, Astle_et_al_2016_Sum_eosinophil_basophil_counts, SSGAC_Education_Years_Pooled, UKB_20127_Neuroticism_score"
ENSRNOG00000055010,TRNSCRPT,BLOOD,8w_F-1_M-1,Axin2,AXIN2,ENSG00000168646,chr17,65528563,65561647,-0.555843271402219,-1.32808536152742,,-0.265187115022289,-0.550469827936581,,1,UKB_50_Standing_height
ENSRNOG00000055082,TRNSCRPT,BLOOD,8w_F1_M1,Maz,MAZ,ENSG00000103495,chr16,29806106,29809771,1.18428755131972,5.21977833736873,,0.32332584312601,1.11487738903723,,0,""
ENSRNOG00000055314,TRNSCRPT,BLOOD,8w_F1_M1,Msrb1,MSRB1,ENSG00000198736,chr16,1938210,1943326,0.316333837496517,1.40447926665912,,0.240098760996143,0.836554004862506,,0,""
ENSRNOG00000055446,TRNSCRPT,BLOOD,8w_F1_M1,Amfr,AMFR,ENSG00000159461,chr16,56361452,56425538,1.22187937091827,5.14355976466904,,0.329478448584882,1.09698369837205,,0,""
ENSRNOG00000055579,TRNSCRPT,BLOOD,8w_F1_M1,Tmbim6,TMBIM6,ENSG00000139644,chr12,49707725,49764934,0.850592977145401,4.17320349234946,,0.239740587824472,0.879999844708234,,2,"UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage"
ENSRNOG00000055779,TRNSCRPT,BLOOD,8w_F1_M1,Tdrd7,TDRD7,ENSG00000196116,chr9,97411950,97496125,0.874550687140058,3.89659790053426,,0.346066864036563,1.19552186213903,,0,""
ENSRNOG00000056462,TRNSCRPT,BLOOD,8w_F1_M1,Tmf1,TMF1,ENSG00000144747,chr3,69019827,69052303,1.06202284656199,4.93889971841158,,0.299785856588719,1.05894958183932,,0,""
ENSRNOG00000056728,TRNSCRPT,BLOOD,8w_F1_M1,G6pd,G6PD,ENSG00000160211,chrX,154531391,154547254,0.70187095578772,3.20169568467036,,0.247458519176604,0.876286310954382,,0,""
ENSRNOG00000056765,TRNSCRPT,BLOOD,8w_F1_M1,Rpl10,RPL10,ENSG00000147403,chrX,154398890,154403697,0.851943888386131,4.18196013483332,,0.423622849320191,1.54905926307675,,0,""
ENSRNOG00000057147,TRNSCRPT,BLOOD,8w_F1_M1,Praf2,PRAF2,ENSG00000243279,chrX,49071156,49074071,1.13933103326384,5.17743671683831,,0.527786082749199,1.85475349591643,,0,""
ENSRNOG00000057284,TRNSCRPT,BLOOD,8w_F1_M1,Cenpb,CENPB,ENSG00000125817,chr20,3783851,3786690,1.27446609918516,6.02453442451311,,0.277126164231641,0.984514222445152,,0,""
ENSRNOG00000057378,TRNSCRPT,BLOOD,8w_F1_M1,Clec16a,CLEC16A,ENSG00000038532,chr16,10944488,11182189,1.29042554578806,6.1152121245726,,0.390828521975437,1.40116223159569,,0,""
ENSRNOG00000058288,TRNSCRPT,BLOOD,8w_F1_M1,Tcf19,TCF19,ENSG00000137310,chr6,31158542,31164215,1.30731614240632,4.93105249776771,,0.715035457751343,2.19153678547175,,18,"Astle_et_al_2016_Granulocyte_count, Astle_et_al_2016_Lymphocyte_counts, Astle_et_al_2016_Myeloid_white_cell_count, Astle_et_al_2016_Neutrophil_count, Astle_et_al_2016_Platelet_count, Astle_et_al_2016_Sum_basophil_neutrophil_counts, Astle_et_al_2016_Sum_neutrophil_eosinophil_counts, Astle_et_al_2016_White_blood_cell_count, GIANT_HEIGHT, IMMUNOBASE_Multiple_sclerosis_hg19, UKB_20002_1111_self_reported_asthma, UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis, UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema, UKB_20002_1313_self_reported_ankylosing_spondylitis, UKB_20022_Birth_weight, UKB_50_Standing_height, UKB_6152_8_diagnosed_by_doctor_Asthma, UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema"
ENSRNOG00000058359,TRNSCRPT,BLOOD,8w_F1_M1,Fkbp8,FKBP8,ENSG00000105701,chr19,18531769,18544077,0.906363643497986,3.26027769622246,,0.215746484441368,0.642307661830056,,0,""
ENSRNOG00000058476,TRNSCRPT,BLOOD,8w_F1_M1,Mast2,MAST2,ENSG00000086015,chr1,45786987,46036124,1.44475297477901,5.63122357650256,,0.409372466798216,1.25737537246476,,8,"Astle_et_al_2016_Monocyte_count, Astle_et_al_2016_Platelet_count, Astle_et_al_2016_Red_blood_cell_count, GIANT_2017_BMI_Active_EUR, GIANT_HEIGHT, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage, UKB_50_Standing_height"
ENSRNOG00000059593,TRNSCRPT,BLOOD,8w_F1_M1,Cetn2,CETN2,ENSG00000147400,chrX,152826973,152830777,1.02325409351351,4.24363752163824,,0.43651272573036,1.43672861973677,,0,""
ENSRNOG00000059659,TRNSCRPT,BLOOD,8w_F1_M1,Zfand3,ZFAND3,ENSG00000156639,chr6,37819499,38154624,0.771762697233152,3.76723626964145,,0.228468725588602,0.830770941665002,,0,""
ENSRNOG00000060154,TRNSCRPT,BLOOD,8w_F1_M1,Ddx23,DDX23,ENSG00000174243,chr12,48829764,48852842,0.821791014282105,4.02748696313017,,0.286640506466511,1.04771806159919,,1,UKB_21001_Body_mass_index_BMI
ENSRNOG00000060229,TRNSCRPT,BLOOD,8w_F1_M1,Arf1,ARF1,ENSG00000143761,chr1,228082660,228099212,0.649441840726454,3.25913409235211,,0.209686677503038,0.775104885867991,,3,"GIANT_HEIGHT, UKB_20002_1065_self_reported_hypertension, UKB_50_Standing_height"
ENSRNOG00000060340,TRNSCRPT,BLOOD,8w_F1_M1,Psme4,PSME4,ENSG00000068878,chr2,53864067,53970837,1.09566834312039,4.9438005831516,,0.215440943443115,0.742715032194604,,1,Astle_et_al_2016_Red_blood_cell_count
ENSRNOG00000060350,TRNSCRPT,BLOOD,8w_F1_M1,Iqsec1,IQSEC1,ENSG00000144711,chr3,12897220,13073117,1.10467495638584,5.18109039212049,,0.265099697564861,0.942715608191255,,0,""
