gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,direct_association.diseaseId,direct_association.score,direct_association.disease,ensembl_ID
SCN1A,1,HEART,"","","",Orphanet_33069,0.881904205060211,"Dravet syndrome: Dravet syndrome (DS) is a genetic epilepsy of childhood characterized by a variety of drug-resistant seizures often induced by fever, presenting in previously healthy children, and which frequently leads to cognitive and motor impairment.",ENSG00000144285
ATM,1,BLOOD,"","","",Orphanet_100,0.881420479393738,"Ataxia-telangiectasia: Ataxia-telangiectasia is the association of severe combined immunodeficiency (affecting mainly the humoral immune response) with progressive cerebellar ataxia. It is characterised by neurological signs, telangiectasias, increased susceptibility to infections and a higher risk of cancer.",ENSG00000149311
BRCA2,1,ADRNL,"","","",EFO_0000305,0.880306392939339,breast carcinoma: A carcinoma that arises from epithelial cells of the breast,ENSG00000139618
FBN1,1,SKM-GN,"","","",Orphanet_558,0.877219829938835,"Marfan syndrome: A disorder of the connective tissue. Connective tissue provides strength and flexibility to structures throughout the body such as bones, ligaments, muscles, walls of blood vessels, and heart valves. Marfan syndrome affects most organs and tissues, especially the skeleton, lungs, eyes, heart, and the large blood vessel that distributes blood from the heart to the rest of the body (the aorta). It is caused by mutations in the FBN1 gene, which provides instructions for making a protein called fibrillin-1. Marfan syndrome is inherited in an autosomal dominant pattern. At least 25% of cases are due to a new (de novo) mutation. Treatment is based on the signs and symptoms in each person.",ENSG00000166147
CYP27A1,1,LIVER,"","","",Orphanet_909,0.865931318388678,"Cerebrotendinous xanthomatosis: Cerebrotendinous xanthomatosis (CTX) is an anomaly of bile acid synthesis characterized by neonatal cholestasis, childhood-onset cataract, adolescent to young adult-onset tendon xanthomata, and brain xanthomata with adult-onset neurologic dysfunction.",ENSG00000135929
GALNS,1,BAT,"","","",Orphanet_309297,0.862047376187521,Mucopolysaccharidosis type 4A: A rare autosomal recessive lysosomal storage disease caused by deficiency of the enzyme galactosamine-6-sulfatase. It is characterized by skeletal and central nervous system deficits.,ENSG00000141012
SCN1A,1,HEART,"","","",MONDO_0100062,0.861327395272658,developmental and epileptic encephalopathy: A complex neurodevelopmental disorder characterized by a range of developmental delays and epileptic encephalopathy phenotypes. Seizure onset is variable and intellectual disability is variable in presence and severity.,ENSG00000144285
MTHFR,1,HEART,"","","",Orphanet_395,0.861245452123953,Homocystinuria due to methylene tetrahydrofolate reductase deficiency: Homocystinuria due to methylene tetrahydrofolate reductase (MTHFR) deficiency is a metabolic disorder characterised by neurological manifestations.,ENSG00000177000
ABCA4,1,BLOOD,"","","",Orphanet_827,0.859572345780235,"Stargardt disease: Stargardt disease, also known as Stargardt 1 (STGD1), is an autosomal recessive form of retinal dystrophy that is usually characterized by a progressive loss of central vision associated with irregular macular and perimacular yellow-white fundus flecks, and a so-called ''beaten bronze'' atrophic central macular lesion.",ENSG00000198691
MCCC2,1,WAT-SC,"","","",Orphanet_6,0.859072029395022,Isolated 3-methylcrotonyl-CoA carboxylase deficiency: 3-methylcrotonyl-CoA carboxylase deficiency (3-MCCD) is an inherited disorder of leucine metabolism characterized by a highly variable clinical picture ranging from metabolic crisis in infancy to asymptomatic adults.,ENSG00000131844
PCCB,1,BAT,"","","",Orphanet_35,0.858713905607694,"Propionic acidemia: Propionic acidemia (PA) is an organic aciduria caused by the deficient activity of the propionyl Coenzyme A carboxylase and is characterized by life threatening episodes of metabolic decompensation, neurological dysfunction and that may be complicated by cardiomyopathy.",ENSG00000114054
SCN1A,1,HEART,"","","",Orphanet_36387,0.858580722587109,Generalized epilepsy with febrile seizures-plus: Generalized epilepsy with febrile seizures plus (GEFS+) is a familial epilepsy syndrome in which family members display a seizure disorder from the GEFS+ spectrum which ranges from simple febrile seizures (FS) to the more severe phenotype of myoclonic-astatic epilepsy (MAE) or Dravet syndrome (DS) (see these terms).,ENSG00000144285
DHCR7,1,BAT,"","","",Orphanet_818,0.858340432308856,"Smith-Lemli-Opitz syndrome: Smith-Lemli-Opitz syndrome (SLOS) is characterized by multiple congenital anomalies, intellectual deficit, and behavioral problems.",ENSG00000172893
VWF,1,LUNG,"","","",Orphanet_903,0.856236473188234,"Von Willebrand disease: von Willebrand disease (VWD) is a hereditary bleeding disorder caused by a genetic anomaly leading to quantitative, structural or functional abnormalities of the Willebrand factor (von Willebrand factor; VWF). Two major groups of VWF deficiency have been defined: quantitative and partial (type 1) or total (type 3), and qualitative (type 2) with several subtypes (2A, 2B, 2M, 2N; see these terms).",ENSG00000110799
MMACHC,1,HEART,"","","",Orphanet_79282,0.855980423160341,"Methylmalonic acidemia with homocystinuria, type cblC: A form of methylmalonic acidemia with homocystinuria, an inborn error of vitamin B12 (cobalamin) metabolism characterized by megaloblastic anemia, lethargy, failure to thrive, developmental delay, intellectual deficit and seizures. cblC type methylmalonic acidemia with homocystinuria is caused by mutations in the MMACHC gene (1p36.3) and is transmitted in an autosomal recessive manner.",ENSG00000132763
PCCA,1,BAT,"","","",Orphanet_35,0.855617949852674,"Propionic acidemia: Propionic acidemia (PA) is an organic aciduria caused by the deficient activity of the propionyl Coenzyme A carboxylase and is characterized by life threatening episodes of metabolic decompensation, neurological dysfunction and that may be complicated by cardiomyopathy.",ENSG00000175198
RYR2,1,HEART,"","","",Orphanet_3286,0.855424640791404,Catecholaminergic polymorphic ventricular tachycardia: Catecholaminergic polymorphic ventricular tachycardia (CPVT) is a severe genetic arrhythmogenic disorder characterized by adrenergically induced ventricular tachycardia (VT) manifesting as syncope and sudden death.,ENSG00000198626
SLC3A1,1,ADRNL,"","","",Orphanet_214,0.852658798345012,Cystinuria: Cystinuria is a renal tubular amino acid transport disorder characterized by recurrent formation of kidneys cystine stones.,ENSG00000138079
ACADVL,1,BAT,"","","",Orphanet_26793,0.850836293715922,"Very long chain acyl-CoA dehydrogenase deficiency: An inherited disorder of mitochondrial long-chain fatty acid oxidation with a variable presentation including: cardiomyopathy, hypoketotic hypoglycemia, liver disease, exercise intolerance and rhabdomyolysis.",ENSG00000072778
PDHA1,1,BAT,"","","",Orphanet_79243,0.849702093424966,"Pyruvate dehydrogenase E1-alpha deficiency: Pyruvate dehydrogenase E1-alpha deficiency is the most frequent form of pyruvate dehydrogenase deficiency (PDHD, see this term) characterized by variable lactic acidosis, impaired psychomotor development, hypotonia and neurological dysfunction.",ENSG00000131828
ATP1A3,1,HEART,"","","",Orphanet_2131,0.849232988486497,Alternating hemiplegia of childhood: Alternating hemiplegia of childhood (AHC) is a rare neurodevelopmental disorder characterized by recurrent episodes of hemiplegia and paroxysmal disturbances associated with persistent developmental delay and cognitive impairment.,ENSG00000105409
MAP2K2,1,BLOOD,"","","",Orphanet_1340,0.84896580739821,"Cardiofaciocutaneous syndrome: Cardiofaciocutaneous (CFC) syndrome is a RASopathy characterized by craniofacial dysmorphology, congenital heart disease, dermatological abnormalities (most commonly hyperkeratotic skin and sparse, curly hair), growth retardation and intellectual disability.",ENSG00000126934
MAN2B1,1,ADRNL,"","","",Orphanet_61,0.848645300378988,"Alpha-mannosidosis: Alpha-mannosidosis is an inherited lysosomal storage disorder characterized by immune deficiency, facial and skeletal abnormalities, hearing impairment, and intellectual deficit.",ENSG00000104774
MCCC1,1,HEART,"","","",Orphanet_6,0.847837146726553,Isolated 3-methylcrotonyl-CoA carboxylase deficiency: 3-methylcrotonyl-CoA carboxylase deficiency (3-MCCD) is an inherited disorder of leucine metabolism characterized by a highly variable clinical picture ranging from metabolic crisis in infancy to asymptomatic adults.,ENSG00000078070
COL4A1,1,HEART,"","","",MONDO_0008289,0.84724868218727,brain small vessel disease 1 with or without ocular anomalies: Any porencephaly in which the cause of the disease is a mutation in the COL4A1 gene.,ENSG00000187498
HMBS,1,BLOOD,"","","",Orphanet_79276,0.844203680686005,Acute intermittent porphyria: Acute intermittent porphyria is the most frequent and the most severe form of the acute hepatic porphyrias. It is characterized by the occurrence of neuro-visceral attacks without cutaneous manifestations.,ENSG00000256269
ASS1,1,LUNG,"","","",Orphanet_247525,0.843974507874372,"Citrullinemia type I: Citrullinemia type 1 is a rare autosomal recessive urea cycle defect characterized clinically by hyperammonemia, progressive lethargy, poor feeding and vomiting in the neonatal form (Acute neonatal citrullinemia type 1, see this term) and by variable hyperammonemia in the later-onset form (Adult-onset citrullinemia type 1, see this term).",ENSG00000130707
SERPING1,1,BAT,"","","",Orphanet_100050,0.843085187245575,"Hereditary angioedema type 1: Hereditary angioedema type 1 (HAE 1) is a form of hereditary angioedema characterized by acute edema in subcutaneous tissues, viscera and/or the upper airway.",ENSG00000149131
GAMT,1,SKM-GN,"","","",Orphanet_382,0.843031001076396,"Guanidinoacetate methyltransferase deficiency: GAMT deficiency is a creatine biosynthesis disorder with an onset between 3 months and three years of age and characterized by intellectual disability, seizures and behavioral problems, often in conjunction with pyramidal and/or extrapyramidal manifestations.",ENSG00000130005
MYH9,1,BAT,"","","",Orphanet_182050,0.842381489187284,"MYH9-related disease: An inherited giant platelet disorder with a complex phenotype characterized by congenital thrombocytopenia and possible subsequent manifestations of sensorineural hearing loss, presenile cataracts, elevation of liver enzymes, and/or progressive nephropathy often leading to end-stage renal disease (ESRD). Epstein syndrome, Fechtner syndrome, May-Hegglin anomaly and Sebastian syndrome, previously described as distinct disorders, represent some of the different clinical presentations of MYH9-RD.",ENSG00000100345
BTD,1,LIVER,"","","",Orphanet_79241,0.842127893412686,"Biotinidase deficiency: Biotinidase deficiency is a late-onset form of multiple carboxylase deficiency, an inborn error of biotin metabolism that, if untreated, is characterized by seizures, breathing difficulties, hypotonia, skin rash, alopecia, hearing loss and delayed development.",ENSG00000169814
BRCA2,1,ADRNL,"","","",Orphanet_227535,0.841797146832098,Hereditary breast cancer: Breast carcinoma that has developed in relatives of patients with history of breast carcinoma.,ENSG00000139618
GCDH,1,BAT,"","","",Orphanet_25,0.841100486321213,Glutaryl-CoA dehydrogenase deficiency: Glutaryl-CoA dehydrogenase (GCDH) deficiency (GDD) is an autosomal recessive neurometabolic disorder clinically characterized by encephalopathic crises resulting in striatal injury and a severe dystonic dyskinetic movement disorder.,ENSG00000105607
CPT2,1,BAT,"","","",Orphanet_157,0.841016784773806,"Carnitine palmitoyltransferase II deficiency: Carnitine palmitoyltransferase II (CPT II) deficiency is an inherited metabolic disorder that affects mitochondrial oxidation of long chain fatty acids (LCFA). Three forms of CPT II deficiency have been described: a myopathic form, a severe infantile form and a neonatal form.",ENSG00000157184
GALNS,1,BAT,"","","",Orphanet_582,0.840895524710835,"Mucopolysaccharidosis type 4: Mucopolysaccharidosis type IV (MPS IV) is a lysosomal storage disease belonging to the group of mucopolysaccharidoses, and characterised by spondylo-epiphyso-metaphyseal dysplasia. It exists in two forms, A and B.",ENSG00000141012
ACADM,1,BAT,"","","",Orphanet_42,0.839566887401095,"Medium chain acyl-CoA dehydrogenase deficiency: Medium chain acyl-CoA dehydrogenase (MCAD) deficiency (MCADD) is an inborn error of mitochondrial fatty acid oxidation characterized by a rapidly progressive metabolic crisis, often presenting as hypoketotic hypoglycemia, lethargy, vomiting, seizures and coma, which can be fatal in the absence of emergency medical intervention.",ENSG00000117054
IVD,1,BAT,"","","",Orphanet_33,0.839346582470108,"Isovaleric acidemia: Isovaleric acidemia (IVA) is an autosomal recessively inherited organic aciduria characterized by a deficiency in isovaleryl-CoA dehydrogenase, that has wide clinical variability and that can present in infancy with acute manifestations of vomiting, failure to thrive, seizures, lethargy, a characteristic ''sweaty feet'' odor, acute pancreatitis and mild to severe developmental delay or in childhood with metabolic acidosis (brought on by prolonged fasting, an increased intake of protein-rich food or infections) and that can be fatal if not treated immediately. Chronic intermittent presentations and asymptomatic patients have also been reported.",ENSG00000128928
OAT,1,LIVER,"","","",Orphanet_414,0.83875939949261,"Gyrate atrophy of choroid and retina: Hyperornithinemia is an inborn disorder of ornithine metabolism due to mitochondrial ornithine aminotransferase deficiency.The main clinical manifestation of the disease is gyrate atrophy of the choroid and retina that begins during childhood with myopia and night blindness, followed by concentric shrinking of the visual field (tunnel vision) and a peculiar aspect of retinopathy on the funduscopy. The electroretinogram soon goes flat. Patients often develop subcapsular posterior cataract between the ages of 10 and 20 and become virtually blind between the ages of 40 and 50. Most patients have normal intelligence.",ENSG00000065154
OPA1,1,BAT,"","","",Orphanet_98673,0.838232773168214,"Autosomal dominant optic atrophy, classic type: One of the most common forms of hereditary optic neuropathy characterized by progressive bilateral visual loss during the first decade of life, associated with optic disc pallor, visual field and color vision defects.",ENSG00000198836
NOTCH3,1,LUNG,"","","",Orphanet_136,0.837374530382013,CADASIL: CADASIL (Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy) is a hereditary cerebrovascular disorder characterized by mid-adult onset of recurrent subcortical ischemic stroke and cognitive impairment progressing to dementia in addition to migraines with aura and mood disturbances seen in about a third of patients.,ENSG00000074181
BLM,1,BLOOD,"","","",Orphanet_125,0.837302210139166,"Bloom syndrome: Bloom syndrome (BSyn) is a rare chromosomal breakage syndrome characterized by a marked genetic instability associated with pre- and postnatal growth retardation, facial sun-sensitive telangiectatic erythema, increased susceptibility to infections, and predisposition to cancer.",ENSG00000197299
FBN1,1,SKM-GN,"","","",Orphanet_284963,0.837006902415169,Marfan syndrome type 1: NA,ENSG00000166147
DEPDC5,1,BLOOD,"","","",Orphanet_98820,0.836953599792033,"Familial focal epilepsy with variable foci: Familial focal epilepsy with variable foci is a rare genetic epilepsy disorder characterized by autosomal dominant lesional and nonlesional focal epilepsy with variable penetrance. Focal seizures emanate from different cortical locations (temporal, frontal, centroparietal, parietal, parietaloccipital, occipital) in different family members, but for each individual a single focus remains constant throughout lifetime. Seizure type (tonic, tonic-clonic or hyperkinetic) and severity varies among family members and tends to decrease (but do not disappear) during adulthood. Many patients have an aura and show automatisms during diurnal seizures whereas others have nocturnal seizures. Most individuals are of normal intelligence but patients with intellectual disability, autistic spectrum disorder and obsessive-compulsive disorder have been described.",ENSG00000100150
G6PC3,1,COLON,"","","",Orphanet_331176,0.836802115869847,Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency: NA,ENSG00000141349
KRT14,1,COLON,"","","",Orphanet_304,0.836576798882249,Epidermolysis bullosa simplex: Epidermolysis bullosa simplex (EBS) is a group of hereditary epidermolysis bullosa (HEB) disorders characterized by skin fragility resulting in intraepidermal blisters and erosions that occur either spontaneously or after physical trauma.,ENSG00000186847
COL4A3,1,HEART,"","","",Orphanet_88919,0.835950973126044,"Autosomal recessive Alport syndrome: Autosomal recessive Alport syndrome isa genetic condition characterized by kidney disease, hearing loss, and eye abnormalities. Most affected individuals experience progressive loss of kidney function, usually resulting in end-stage kidney disease. People with Alport syndrome frequently develop sensorineural hearing loss in late childhood or early adolescence. The eye abnormalities seen in this condition seldom lead to vision loss. Alport syndrome can have different patterns of inheritance. About15 percentof Alport syndrome cases are inherited in an autosomal recessive pattern and are caused bymutations in both copies of the COL4A3 or COL4A4 genes. Treatment is based on the symptoms present and may include medications to delay the progression of kidney disease. In most cases, a kidney transplant is eventually needed.",ENSG00000169031
BRCA2,1,ADRNL,"","","",EFO_0003869,0.835809706526352,"breast neoplasm: A benign or malignant neoplasm of the breast parenchyma. It can originate from the ducts, lobules or the breast adipose tissue. Breast neoplasms are much more common in females than males.",ENSG00000139618
PINK1,1,BAT,"","","",Orphanet_2828,0.835686093115263,"Young adult-onset Parkinsonism: Young-onset Parkinson disease (YOPD) is a form of Parkinson disease (PD), characterized by an age of onset between 21-45 years, rigidity, painful cramps followed by tremor, bradykinesia, dystonia, gait complaints and falls, and other non-motor symptoms. A slow disease progression and a more pronounced response to dopaminergic therapy are also observed in most YOPD forms.",ENSG00000158828
PEX6,1,BAT,"","","",Orphanet_912,0.834731334560847,"Zellweger syndrome: The most severe variant seen in the peroxisome biogenesis disorders that is characterized by neuronal migration defects in the brain, dysmorphic craniofacial features, profound hypotonia, neonatal seizures, and liver dysfunction.",ENSG00000124587
DYSF,1,HEART,"","","",Orphanet_268,0.833844723885445,"Autosomal recessive limb-girdle muscular dystrophy type 2B: Autosomal recessive limb-girdle muscular dystrophy type 2B (LGMD2B) is a subtype of autosomal recessive limb-girdle muscular dystrophy characterized by an onset in late adolescence or early adulthood of slowly progressive, proximal weakness and atrophy of shoulder and pelvic girdle muscles. Cardiac and respiratory muscles are not involved. Hypertrophy of the calf muscles and highly elevated serum creatine kinase levels are frequently observed.",ENSG00000135636
RYR1,1,SKM-VL,"","","",Orphanet_99741,0.833703339638674,"King-Denborough syndrome: King-Denborough syndrome is a rare genetic non-dystrophic myopathy characterized by the triad of congenital myopathy, dysmorphic features and susceptibility to malignant hyperthermia. Patients present with a wide phenotypic range, including delayed motor development, muscle weakness and fatigability, ptosis and facies myopathica (with or without creatine kinase elevations), skeletal abnormalities (e.g. short stature, scoliosis, kyphosis, lumbar lordosis and pectus carinatum/excavatum), mild dysmorphic facial features (e.g. hypertelorism, down-slanting palpebral fissures, epicanthic folds, low set ears, micrognathia), webbing of the neck, cryptorchidism, and a susceptibility to malignant hyperthermia and/or rhabdomyolysis due to intensive physical strain, viral infection or statin use.",ENSG00000196218
ETHE1,1,ADRNL,"","","",Orphanet_51188,0.833691664604783,"Ethylmalonic encephalopathy: Ethylmalonic acid encephalopathy (EE) is defined by elevated excretion of ethylmalonic acid (EMA) with recurrent petechiae, orthostatic acrocyanosis and chronic diarrhoea associated with neurodevelopmental delay, psychomotor regression and hypotonia with brain magnetic resonance imaging (MRI) abnormalities.",ENSG00000105755
ATP1A3,1,HEART,"","","",Orphanet_71517,0.83367165985113,"Rapid-onset dystonia-parkinsonism: Rapid-onset dystonia-parkinsonism (RDP) is a very rare movement disorder, characterized by the abrupt onset of parkinsonism and dystonia, often triggered by physical or psychological stress.",ENSG00000105409
DYSF,1,HEART,"","","",Orphanet_45448,0.833578826531022,"Miyoshi myopathy: A distal myopathy, characterized by weakness in the distal lower extremity posterior compartment (gastrocnemius and soleus muscles) and associated with difficulties in standing on tip toes.",ENSG00000135636
RNASEH2A,1,SKM-VL,"","","",Orphanet_51,0.832277962772205,"Aicardi-Goutières syndrome: Aicardi-Goutieres syndrome (AGS) is an inherited, subacute encephalopathy characterised by the association of basal ganglia calcification, leukodystrophy and cerebrospinal fluid (CSF) lymphocytosis.",ENSG00000104889
ARG1,1,WAT-SC,"","","",Orphanet_90,0.831941178331437,"Argininemia: Arginase deficiency is a rare autosomal recessive amino acid metabolism disorder characterized clinically by variable degrees of hyperammonemia, developing from about 3 years of age, and leading to progressive loss of developmental milestones and spasticity in the absence of treatment.",ENSG00000118520
CBL,1,COLON,"","","",Orphanet_363972,0.831820916252468,"Noonan syndrome-like disorder with juvenile myelomonocytic leukemia: CBL-related disorder is a genetic condition caused by pathogenic variants in the Cbl ubiquitin ligase gene, (CBL; HGNC:1541). Due to the proposed mechanism indicating the CBL gene's relationship to the RAS-MAPK pathway and the phenotypic presentation similar to that of the RASopathies, CBL-related disorder should be considered a RASopathy disorder. Though there is a wide spectrum of phenotypic variability, broadly, patients with CBL-related disorder have presented with developmental delay, intellectual disability, neurodevelopmental alterations, prenatal lymphatic anomalies, cardiac malformations as well as vascular anomalies particularly affecting the brain (e.g. Moya-moya arteriopathies), craniofacial features indicative of a RASopathy, hypotonia, feeding difficulties, edema of the legs, musculoskeletal and respiratory thorax abnormalities, ectodermal features including cafe-au-lait spots, immunological and hematological disorders and susceptibility to tumors diagnosed as juvenile myelomonocytic leukemia (JMML) that is usually self-remitting. Note tumor risk beyond JMML has not yet been thoroughly assessed. Due to the clinical presentation of a broad spectrum of these and other phenotypes in patients with variants in CBL, these conditions are currently defined by experts in reference to the causal gene, CBL.",ENSG00000110395
CASK,1,WAT-SC,"","","",Orphanet_163937,0.83154614420218,"X-linked intellectual disability, Najm type: Najm type X-linked intellectual deficit is a rare cerebellar dysgenesis syndrome characterized by variable clinical manifestations ranging from mild intellectual deficit with or without congenital nystagmus, to severe cognitive impairment associated with cerebellar and pontine hypoplasia/atrophy and abnormalities of cortical development.",ENSG00000147044
ABCC8,1,SKM-GN,"","","",MONDO_0005148,0.831052055326328,type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000006071
KCNJ11,1,SKM-GN,"","","",MONDO_0005148,0.830381500931585,type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000187486
UBE3A,1,BLOOD,"","","",Orphanet_72,0.830366998076475,Angelman syndrome: Angelman syndrome (AS) is a neurogenetic disorder characterized by severe intellectual deficit and distinct facial dysmorphic features.,ENSG00000114062
ABCC8,1,SKM-GN,"","","",MONDO_0009734,0.829743837244048,"hyperinsulinemic hypoglycemia, familial, 1: Any hyperinsulinemic hypoglycemia in which the cause of the disease is a mutation in the ABCC8 gene.",ENSG00000006071
SPG7,1,BAT,"","","",Orphanet_99013,0.829682206477605,"Autosomal recessive spastic paraplegia type 7: Autosomal recessive spastic paraplegia type 7 is a form of hereditary spastic paraplegia characterized by an onset usually in adulthood (but ranging from 10-72 years) of progressive bilateral lower limb weakness and spasticity, sphincter dysfunction, decreased vibratory sense at the ankles and with additional manifestations including optical neuropathy, nystagmus, strabismus, decreased hearing, scoliosis, pes cavus, motor and sensory neuropathy, amyotrophy, blepharoptosis and ophthalmoplegia.",ENSG00000197912
MLC1,1,HIPPOC,"","","",Orphanet_2478,0.829273544277939,"Megalencephalic leukoencephalopathy with subcortical cysts: Megalencephalic leukoencephalopathy with subcortical cysts (MLC) is a form of leukodystrophy that is characterized by infantile-onset macrocephaly, often with mild neurologic signs at presentation (such as mild motor delay), which worsen with time, leading to poor ambulation, falls, ataxia, spasticity, increasing seizures and cognitive decline. Brain magnetic resonance imaging reveals diffusely abnormal and mildly swollen white matter as well as subcortical cysts in the anterior temporal and frontoparietal regions.",ENSG00000100427
RYR1,1,SKM-VL,"","","",EFO_0009071,0.829241663822423,"malignant hyperthermia, susceptibility to, 1: Malignant hyperthermia susceptibility (MHS), a skeletal muscle disorder most often inherited as an autosomal dominant trait, is one of the main causes of death due to anesthesia. In susceptible people, a malignant hyperthermia episode is triggered by exposure to commonly used volatile anesthetic agents such as halothane or depolarizing muscle relaxants such as succinyl choline. A fulminant MH crisis is characterized by any combination of hyperthermia, skeletal muscle rigidity, tachycardia or arrhythmia, respiratory and metabolic acidosis, and rhabdomyolysis. Except for this susceptibility to triggering agents, MHS patients are not clinically distinguishable from the general population (summary by Monnier et al., 1997).",ENSG00000196218
AGA,1,ADRNL,"","","",Orphanet_93,0.828739618123267,Aspartylglucosaminuria: Aspartylglycosaminuria (AGU) is an autosomal recessive lysosomal storage disease belonging to the oligosaccharidosis group (also called glycoproteinosis).,ENSG00000038002
ABCA4,1,BLOOD,"","","",Orphanet_1872,0.82782132426338,Cone rod dystrophy: Inherited retinal dystrophies that belong to the group of pigmentary retinopathies.,ENSG00000198691
SDHD,1,BAT,"","","",Orphanet_29072,0.827734306121513,Hereditary pheochromocytoma-paraganglioma: Hereditary paraganglioma-pheochromocytomas (PGL/PCC) are rare neuroendocrine tumors represented by paragangliomas (occurring in any paraganglia from the skull base to the pelvic floor) and pheochromocytomas (adrenal medullary paragangliomas).,ENSG00000204370
GALC,1,ADRNL,"","","",Orphanet_487,0.827663984646392,"Krabbe disease: A lysosomal disorder that affects the white matter of the central and peripheral nervous systems. It includes infantile, late-infantile/juvenile and adult forms.",ENSG00000054983
PYGM,1,HEART,"","","",Orphanet_368,0.827422528432021,Glycogen storage disease due to muscle glycogen phosphorylase deficiency: NA,ENSG00000068976
SPR,1,BLOOD,"","","",Orphanet_70594,0.827108307852945,"Dopa-responsive dystonia due to sepiapterin reductase deficiency: Dopa responsive dystonia (DRD; see this term) due to sepiapterin reductase deficiency (SRD) is a very rare neurometabolic disorder characterized by dystonia with diurnal fluctuations, axial hypotonia, oculogyric crises, and delays in motor and cognitive development.",ENSG00000116096
G6PC3,1,COLON,"","","",Orphanet_42738,0.8269673805584,Severe congenital neutropenia: NA,ENSG00000141349
SMC1A,1,COLON,"","","",Orphanet_199,0.826910727321595,"Cornelia de Lange syndrome: A rare syndrome characterized by low birth weight, delayed growth, intellectual disabillity, behavioral problems, and a distinctive facial appearance (thin, arched eyebrows, low set ears, small teeth, and small nose). The majority of cases are caused by mutations in the NIPBL gene. Less severe forms of the syndrome are caused by mutations in the SMC1A and SMC3 genes.",ENSG00000072501
VWF,1,LUNG,"","","",Orphanet_166087,0.826116078407651,Von Willebrand disease type 2B: A subtype of type 2 VWD characterized by a bleeding disorder associated with an increase in the affinity of the Willebrand factor (von Willebrand factor; VWF) for platelets. This anomaly results in spontaneous binding of high molecular weight VWF multimers to platelets leading to rapid clearance of both the platelets (increasing the risk of thrombocytopenia) and the high molecular weight VWF multimers from the plasma.,ENSG00000110799
EBP,1,ADRNL,"","","",Orphanet_35173,0.825648518731992,X-linked dominant chondrodysplasia punctata: X-linked form of chondrodysplasia punctata.,ENSG00000147155
CSF1R,1,BAT,"","","",Orphanet_313808,0.824898209073922,"Hereditary diffuse leukoencephalopathy with axonal spheroids and pigmented glia: Hereditary diffuse leukoencephalopathy with axonal spheroids and pigmented glia is a rare autosomal dominant disease characterized by a complex phenotype including progressive dementia, apraxia, apathy, impaired balance, parkinsonism, spasticity and epilepsy.",ENSG00000182578
BRCA2,1,ADRNL,"","","",Orphanet_145,0.823586963056288,"Hereditary breast and ovarian cancer syndrome: An autosomal dominant inherited syndrome caused by mutations in the BRCA1 or BRCA2 genes. Patients are at high risk of developing breast cancer, particularly before the age of fifty, high risk of developing a second primary breast cancer, and high risk of developing both breast and ovarian cancer.",ENSG00000139618
COQ8A,1,SKM-VL,"","","",Orphanet_35656,0.823244465530273,"Coenzyme Q10 deficiency: A genetically heterogeneous condition, typically inherited in an autosomal recessive fashion, characterized by coenzyme Q10 deficiency.",ENSG00000163050
COL4A4,1,LUNG,"","","",Orphanet_88919,0.823222233767765,"Autosomal recessive Alport syndrome: Autosomal recessive Alport syndrome isa genetic condition characterized by kidney disease, hearing loss, and eye abnormalities. Most affected individuals experience progressive loss of kidney function, usually resulting in end-stage kidney disease. People with Alport syndrome frequently develop sensorineural hearing loss in late childhood or early adolescence. The eye abnormalities seen in this condition seldom lead to vision loss. Alport syndrome can have different patterns of inheritance. About15 percentof Alport syndrome cases are inherited in an autosomal recessive pattern and are caused bymutations in both copies of the COL4A3 or COL4A4 genes. Treatment is based on the symptoms present and may include medications to delay the progression of kidney disease. In most cases, a kidney transplant is eventually needed.",ENSG00000081052
CDH23,1,HEART,"","","",Orphanet_886,0.822325785126584,Usher syndrome: Usher syndrome (US) is characterized by the association of sensorineural deafness (usually congenital) with retinitis pigmentosa and progressive vision loss.,ENSG00000107736
THRB,1,SKM-VL,"","","",Orphanet_3221,0.821844871499407,Generalized resistance to thyroid hormone: A thyroid hormone resistance syndrome characterized by resistance in the pituitary gland and in most or all of the peripheral tissues.,ENSG00000151090
PDHA1,1,BAT,"","","",Orphanet_765,0.821688193527124,"Pyruvate dehydrogenase deficiency: Pyruvate dehydrogenase deficiency (PDHD) is a rare neurometabolic disorder characterized by a wide range of clinical signs with metabolic and neurological components of varying severity. Manifestations range from often fatal, severe, neonatal lactic acidosis to later-onset neurological disorders. Six subtypes related to the affected subunit of the PDH complex have been recognized with significant clinical overlap: PDHD due to E1-alpha, E1-beta, E2 and E3 deficiency, PDHD due to E3-binding protein deficiency, and PDH phosphatase deficiency.",ENSG00000131828
