assay	feature_ID	ensembl_gene	entrez_gene	gene_symbol	human_gene_symbol	human_ensembl_gene
transcript-rna-seq	ENSRNOG00000005646	ENSRNOG00000005646	78981	Tas2r107	TAS2R10	ENSG00000121318
transcript-rna-seq	ENSRNOG00000005650	ENSRNOG00000005650	94203	Pgf	PGF	ENSG00000119630
transcript-rna-seq	ENSRNOG00000005652	ENSRNOG00000005652	116658	Cntn4	CNTN4	ENSG00000144619
transcript-rna-seq	ENSRNOG00000005655	ENSRNOG00000005655	312913	Cpa6	CPA6	ENSG00000165078
transcript-rna-seq	ENSRNOG00000005659	ENSRNOG00000005659	114592	Aurkb	AURKB	ENSG00000178999
transcript-rna-seq	ENSRNOG00000005660	ENSRNOG00000005660	500638	Fam110c	FAM110C	ENSG00000184731
transcript-rna-seq	ENSRNOG00000005662	ENSRNOG00000005662	81672	Grm7	GRM7	ENSG00000196277
transcript-rna-seq	ENSRNOG00000005664	ENSRNOG00000005664	78985	Tas2r105	TAS2R10	ENSG00000121318
transcript-rna-seq	ENSRNOG00000005665	ENSRNOG00000005665			SEC13	ENSG00000157020
transcript-rna-seq	ENSRNOG00000005666	ENSRNOG00000005666	500460	LOC500460	OR13F1	ENSG00000186881
transcript-rna-seq	ENSRNOG00000005667	ENSRNOG00000005667	304900	Astn1		
transcript-rna-seq	ENSRNOG00000005668	ENSRNOG00000005668	296658	Ndufa8	NDUFA8	ENSG00000119421
transcript-rna-seq	ENSRNOG00000005669	ENSRNOG00000005669	297814	Ca8	CA8	ENSG00000178538
transcript-rna-seq	ENSRNOG00000005670	ENSRNOG00000005670	312806	Art4	ART4	ENSG00000111339
transcript-rna-seq	ENSRNOG00000005673	ENSRNOG00000005673	362489	Runx1t1	RUNX1T1	ENSG00000079102
transcript-rna-seq	ENSRNOG00000005678	ENSRNOG00000005678	298941	Lamb1	LAMB1	ENSG00000091136
transcript-rna-seq	ENSRNOG00000005679	ENSRNOG00000005679	192203	Fap	FAP	ENSG00000078098
transcript-rna-seq	ENSRNOG00000005681	ENSRNOG00000005681			SNU13	ENSG00000100138
transcript-rna-seq	ENSRNOG00000005686	ENSRNOG00000005686	362404	Suclg2	SUCLG2	ENSG00000172340
transcript-rna-seq	ENSRNOG00000005687	ENSRNOG00000005687	298340	Slc6a14		
transcript-rna-seq	ENSRNOG00000005689	ENSRNOG00000005689	299810	Yeats4	YEATS4	ENSG00000127337
transcript-rna-seq	ENSRNOG00000005690	ENSRNOG00000005690	494021	Lmcd1	LMCD1	ENSG00000071282
transcript-rna-seq	ENSRNOG00000005691	ENSRNOG00000005691	311936	Rnf32	RNF32	ENSG00000105982
transcript-rna-seq	ENSRNOG00000005692	ENSRNOG00000005692	78982	Tas2r114	TAS2R10	ENSG00000121318
transcript-rna-seq	ENSRNOG00000005694	ENSRNOG00000005694				
transcript-rna-seq	ENSRNOG00000005695	ENSRNOG00000005695	25333	Mgp	MGP	ENSG00000111341
transcript-rna-seq	ENSRNOG00000005697	ENSRNOG00000005697	79213	Slc6a11	SLC6A11	ENSG00000132164
transcript-rna-seq	ENSRNOG00000005698	ENSRNOG00000005698	25488	Ndufa5	NDUFA5	ENSG00000128609
transcript-rna-seq	ENSRNOG00000005700	ENSRNOG00000005700	25247	Nsg1	NSG1	ENSG00000168824
transcript-rna-seq	ENSRNOG00000005701	ENSRNOG00000005701	499744	Il36g	IL36G	ENSG00000136688
transcript-rna-seq	ENSRNOG00000005703	ENSRNOG00000005703	312915	Arfgef1	ARFGEF1	ENSG00000066777
transcript-rna-seq	ENSRNOG00000005705	ENSRNOG00000005705	313837	Qpct	QPCT	ENSG00000115828
transcript-rna-seq	ENSRNOG00000005707	ENSRNOG00000005707	25394	Bfsp1	BFSP1	ENSG00000125864
transcript-rna-seq	ENSRNOG00000005708	ENSRNOG00000005708	65205	Mmp16	MMP16	ENSG00000156103
transcript-rna-seq	ENSRNOG00000005710	ENSRNOG00000005710	315634	Rbm7	RBM7	ENSG00000076053
transcript-rna-seq	ENSRNOG00000005710	ENSRNOG00000005710	315634	Rbm7	AP002373.1	ENSG00000255663
transcript-rna-seq	ENSRNOG00000005711	ENSRNOG00000005711	313278	Ptprd	PTPRD	ENSG00000153707
transcript-rna-seq	ENSRNOG00000005713	ENSRNOG00000005713	300359	Ccdc82	CCDC82	ENSG00000149231
transcript-rna-seq	ENSRNOG00000005715	ENSRNOG00000005715	286994	Lgr4	LGR4	ENSG00000205213
transcript-rna-seq	ENSRNOG00000005717	ENSRNOG00000005717	78983	Tas2r121	TAS2R13	ENSG00000212128
transcript-rna-seq	ENSRNOG00000005718	ENSRNOG00000005718	100911956	LOC100911956		
transcript-rna-seq	ENSRNOG00000005719	ENSRNOG00000005719	296049	Emc4	EMC4	ENSG00000128463
transcript-rna-seq	ENSRNOG00000005720	ENSRNOG00000005720	314711	Spic	SPIC	ENSG00000166211
transcript-rna-seq	ENSRNOG00000005721	ENSRNOG00000005721	298051	RGD1309291		
transcript-rna-seq	ENSRNOG00000005722	ENSRNOG00000005722	296541	Il36a	IL36A	ENSG00000136694
transcript-rna-seq	ENSRNOG00000005723	ENSRNOG00000005723	191573	Grin3a	GRIN3A	ENSG00000198785
transcript-rna-seq	ENSRNOG00000005724	ENSRNOG00000005724	313121	Map3k7	MAP3K7	ENSG00000135341
transcript-rna-seq	ENSRNOG00000005726	ENSRNOG00000005726	56768	Pclo	PCLO	ENSG00000186472
transcript-rna-seq	ENSRNOG00000005727	ENSRNOG00000005727	366061	Galnt3	GALNT3	ENSG00000115339
transcript-rna-seq	ENSRNOG00000005729	ENSRNOG00000005729	100359592	Palm3	PALM3	ENSG00000187867
transcript-rna-seq	ENSRNOG00000005730	ENSRNOG00000005730	366300	Pcmtd1	PCMTD1	ENSG00000168300
transcript-rna-seq	ENSRNOG00000005731	ENSRNOG00000005731	78971	Birc3	BIRC3	ENSG00000023445
transcript-rna-seq	ENSRNOG00000005732	ENSRNOG00000005732	78984	Tas2r13	TAS2R13	ENSG00000212128
transcript-rna-seq	ENSRNOG00000005733	ENSRNOG00000005733	299256	Cpsf2	CPSF2	ENSG00000165934
transcript-rna-seq	ENSRNOG00000005734	ENSRNOG00000005734	500286	Ssuh2	SSUH2	ENSG00000125046
transcript-rna-seq	ENSRNOG00000005736	ENSRNOG00000005736	302697	Eif1ax		
transcript-rna-seq	ENSRNOG00000005742	ENSRNOG00000005742	404861	Olr584	OR5W2	ENSG00000187612
transcript-rna-seq	ENSRNOG00000005743	ENSRNOG00000005743	362136	Dapl1	DAPL1	ENSG00000163331
transcript-rna-seq	ENSRNOG00000005747	ENSRNOG00000005747	288905	Il27ra	IL27RA	ENSG00000104998
transcript-rna-seq	ENSRNOG00000005749	ENSRNOG00000005749	315112	Foxred2	FOXRED2	ENSG00000100350
transcript-rna-seq	ENSRNOG00000005751	ENSRNOG00000005751	311783	Il36rn	IL36RN	ENSG00000136695
transcript-rna-seq	ENSRNOG00000005753	ENSRNOG00000005753	300284	Alg13		
transcript-rna-seq	ENSRNOG00000005753	ENSRNOG00000005753	108349244	LOC108349244		
transcript-rna-seq	ENSRNOG00000005758	ENSRNOG00000005758	314675	Btbd11	BTBD11	ENSG00000151136
transcript-rna-seq	ENSRNOG00000005762	ENSRNOG00000005762	366265	Rab22a	RAB22A	ENSG00000124209
transcript-rna-seq	ENSRNOG00000005763	ENSRNOG00000005763	64187	Arl1	ARL1	ENSG00000120805
transcript-rna-seq	ENSRNOG00000005765	ENSRNOG00000005765	366618	Ap4s1	AP4S1	ENSG00000100478
transcript-rna-seq	ENSRNOG00000005766	ENSRNOG00000005766	362237	Tbc1d20	TBC1D20	ENSG00000125875
transcript-rna-seq	ENSRNOG00000005767	ENSRNOG00000005767	688749	Tulp3	TULP3	ENSG00000078246
transcript-rna-seq	ENSRNOG00000005769	ENSRNOG00000005769	287596	Smg8	AC099850.2	ENSG00000265303
transcript-rna-seq	ENSRNOG00000005770	ENSRNOG00000005770	266803	Sostdc1	SOSTDC1	ENSG00000171243
transcript-rna-seq	ENSRNOG00000005772	ENSRNOG00000005772	362540	Hacd4	HACD4	ENSG00000188921
transcript-rna-seq	ENSRNOG00000005775	ENSRNOG00000005775	500030	Phf14	PHF14	ENSG00000106443
transcript-rna-seq	ENSRNOG00000005776	ENSRNOG00000005776	314423	Bcl11b	BCL11B	ENSG00000127152
transcript-rna-seq	ENSRNOG00000005780	ENSRNOG00000005780	102554393	Adamts13	ADAMTS13	ENSG00000160323
transcript-rna-seq	ENSRNOG00000005781	ENSRNOG00000005781	500047	Wnt16	WNT16	ENSG00000002745
transcript-rna-seq	ENSRNOG00000005783	ENSRNOG00000005783	305645	Dlg5	DLG5	ENSG00000151208
transcript-rna-seq	ENSRNOG00000005787	ENSRNOG00000005787	297698	Erp27	ERP27	ENSG00000139055
transcript-rna-seq	ENSRNOG00000005788	ENSRNOG00000005788	286919	Cdk5rap2	CDK5RAP2	ENSG00000136861
transcript-rna-seq	ENSRNOG00000005790	ENSRNOG00000005790	362881	RGD1306474	LYZ	ENSG00000090382
transcript-rna-seq	ENSRNOG00000005792	ENSRNOG00000005792	296184	Ankef1	ANKEF1	ENSG00000132623
transcript-rna-seq	ENSRNOG00000005793	ENSRNOG00000005793	295822	Olr588	OR5I1	ENSG00000167825
transcript-rna-seq	ENSRNOG00000005794	ENSRNOG00000005794	24777	Slc10a1	SLC10A1	ENSG00000100652
transcript-rna-seq	ENSRNOG00000005795	ENSRNOG00000005795	300328	Aasdhppt	AASDHPPT	ENSG00000149313
transcript-rna-seq	ENSRNOG00000005796	ENSRNOG00000005796	307505	Ctnna1	CTNNA1	ENSG00000044115
transcript-rna-seq	ENSRNOG00000005798	ENSRNOG00000005798	29161	Cav3	CAV3	ENSG00000182533
transcript-rna-seq	ENSRNOG00000005800	ENSRNOG00000005800	362077	Il1f10	IL1F10	ENSG00000136697
transcript-rna-seq	ENSRNOG00000005801	ENSRNOG00000005801	252853	Stx17	STX17	ENSG00000136874
transcript-rna-seq	ENSRNOG00000005802	ENSRNOG00000005802	313427	Usp24	USP24	ENSG00000162402
transcript-rna-seq	ENSRNOG00000005804	ENSRNOG00000005804	362952	Eif3d	EIF3D	ENSG00000100353
transcript-rna-seq	ENSRNOG00000005806	ENSRNOG00000005806	25342	Oxtr	OXTR	ENSG00000180914
transcript-rna-seq	ENSRNOG00000005807	ENSRNOG00000005807	246781	Ptpn7	PTPN7	ENSG00000143851
transcript-rna-seq	ENSRNOG00000005809	ENSRNOG00000005809	362456	Arhgdib	ARHGDIB	ENSG00000111348
transcript-rna-seq	ENSRNOG00000005810	ENSRNOG00000005810	298784	Nlrc4	NLRC4	ENSG00000091106
transcript-rna-seq	ENSRNOG00000005811	ENSRNOG00000005811	680121	LOC680121		
transcript-rna-seq	ENSRNOG00000005811	ENSRNOG00000005811	688655	LOC688655		
transcript-rna-seq	ENSRNOG00000005811	ENSRNOG00000005811	689955	LOC689955		
transcript-rna-seq	ENSRNOG00000005814	ENSRNOG00000005814	691543	Katnbl1	KATNBL1	ENSG00000134152
transcript-rna-seq	ENSRNOG00000005814	ENSRNOG00000005814	108348092	NEWGENE_1582771	KATNBL1	ENSG00000134152
transcript-rna-seq	ENSRNOG00000005818	ENSRNOG00000005818	502727	RGD1563349	ELAPOR2	ENSG00000164659
transcript-rna-seq	ENSRNOG00000005821	ENSRNOG00000005821			FAM162A	ENSG00000114023
transcript-rna-seq	ENSRNOG00000005823	ENSRNOG00000005823	314713	Utp20	UTP20	ENSG00000120800
transcript-rna-seq	ENSRNOG00000005825	ENSRNOG00000005825	25211	Lyz2		
transcript-rna-seq	ENSRNOG00000005826	ENSRNOG00000005826	314532	RGD1562420	RPL19	ENSG00000108298
transcript-rna-seq	ENSRNOG00000005828	ENSRNOG00000005828	287280	Skp1	SKP1	ENSG00000113558
transcript-rna-seq	ENSRNOG00000005830	ENSRNOG00000005830	689043	Tafa4	TAFA4	ENSG00000163377
transcript-rna-seq	ENSRNOG00000005840	ENSRNOG00000005840	296599	Cacfd1	CACFD1	ENSG00000160325
transcript-rna-seq	ENSRNOG00000005841	ENSRNOG00000005841	298066	Erp44	ERP44	ENSG00000023318
transcript-rna-seq	ENSRNOG00000005849	ENSRNOG00000005849	50655	Aco1	ACO1	ENSG00000122729
transcript-rna-seq	ENSRNOG00000005850	ENSRNOG00000005850	312890	Gdap1	GDAP1	ENSG00000104381
transcript-rna-seq	ENSRNOG00000005853	ENSRNOG00000005853	24807	Tacr1	TACR1	ENSG00000115353
transcript-rna-seq	ENSRNOG00000005854	ENSRNOG00000005854	89807	Angpt1	ANGPT1	ENSG00000154188
transcript-rna-seq	ENSRNOG00000005856	ENSRNOG00000005856	298786	Slc30a6	SLC30A6	ENSG00000152683
transcript-rna-seq	ENSRNOG00000005857	ENSRNOG00000005857	305705	Lrrc3b	LRRC3B	ENSG00000179796
transcript-rna-seq	ENSRNOG00000005858	ENSRNOG00000005858	24937	Kap		
transcript-rna-seq	ENSRNOG00000005861	ENSRNOG00000005861	25116	Hsd11b1		
transcript-rna-seq	ENSRNOG00000005863	ENSRNOG00000005863	311175	Olr601	OR5L1	ENSG00000279395
transcript-rna-seq	ENSRNOG00000005863	ENSRNOG00000005863	311175	Olr601	OR5L2	ENSG00000205030
transcript-rna-seq	ENSRNOG00000005865	ENSRNOG00000005865	311146	Itprid2	ITPRID2	ENSG00000138434
transcript-rna-seq	ENSRNOG00000005867	ENSRNOG00000005867				
transcript-rna-seq	ENSRNOG00000005868	ENSRNOG00000005868	295654	Ttc21b	TTC21B	ENSG00000123607
transcript-rna-seq	ENSRNOG00000005869	ENSRNOG00000005869				
transcript-rna-seq	ENSRNOG00000005871	ENSRNOG00000005871	60582	Il1rn	IL1RN	ENSG00000136689
transcript-rna-seq	ENSRNOG00000005872	ENSRNOG00000005872	363595	Tcf7	TCF7	ENSG00000081059
transcript-rna-seq	ENSRNOG00000005874	ENSRNOG00000005874	299636	Tle2	TLE2	ENSG00000065717
transcript-rna-seq	ENSRNOG00000005877	ENSRNOG00000005877	313867	Lrpprc		
transcript-rna-seq	ENSRNOG00000005879	ENSRNOG00000005879	689844	Maml2	MAML2	ENSG00000184384
transcript-rna-seq	ENSRNOG00000005880	ENSRNOG00000005880	404855	Olr604	OR5D18	ENSG00000186119
transcript-rna-seq	ENSRNOG00000005882	ENSRNOG00000005882	362533	Tle1	TLE1	ENSG00000196781
transcript-rna-seq	ENSRNOG00000005883	ENSRNOG00000005883	305710	Nek10	NEK10	ENSG00000163491
transcript-rna-seq	ENSRNOG00000005884	ENSRNOG00000005884	296050	Emc7	EMC7	ENSG00000134153
transcript-rna-seq	ENSRNOG00000005886	ENSRNOG00000005886	500549	Zscan20	ZSCAN20	ENSG00000121903
transcript-rna-seq	ENSRNOG00000005888	ENSRNOG00000005888	296074	Fsip1	FSIP1	ENSG00000150667
transcript-rna-seq	ENSRNOG00000005890	ENSRNOG00000005890	246303	Serbp1	SERBP1	ENSG00000142864
transcript-rna-seq	ENSRNOG00000005898	ENSRNOG00000005898				
transcript-rna-seq	ENSRNOG00000005900	ENSRNOG00000005900	296600	Slc2a6	SLC2A6	ENSG00000160326
transcript-rna-seq	ENSRNOG00000005902	ENSRNOG00000005902	362187	Ccdc34	CCDC34	ENSG00000109881
transcript-rna-seq	ENSRNOG00000005903	ENSRNOG00000005903	114093	St14	ST14	ENSG00000149418
transcript-rna-seq	ENSRNOG00000005904	ENSRNOG00000005904	360643	Cdc27	CDC27	ENSG00000004897
transcript-rna-seq	ENSRNOG00000005905	ENSRNOG00000005905	24626	Pde4b	PDE4B	ENSG00000184588
transcript-rna-seq	ENSRNOG00000005906	ENSRNOG00000005906	103690020	LOC103690020	CD36	ENSG00000135218
transcript-rna-seq	ENSRNOG00000005907	ENSRNOG00000005907	362412	Rad18	RAD18	ENSG00000070950
transcript-rna-seq	ENSRNOG00000005908	ENSRNOG00000005908	114485	Dmtf1	DMTF1	ENSG00000135164
transcript-rna-seq	ENSRNOG00000005911	ENSRNOG00000005911	266997	Rln3	RLN3	ENSG00000171136
transcript-rna-seq	ENSRNOG00000005916	ENSRNOG00000005916	24666	Ppm1a	PPM1A	ENSG00000100614
transcript-rna-seq	ENSRNOG00000005917	ENSRNOG00000005917	64513	Pawr	PAWR	ENSG00000177425
transcript-rna-seq	ENSRNOG00000005918	ENSRNOG00000005918	500993	RGD1563941	C11orf71	ENSG00000180425
transcript-rna-seq	ENSRNOG00000005920	ENSRNOG00000005920				
transcript-rna-seq	ENSRNOG00000005921	ENSRNOG00000005921	405246	Olr606		
transcript-rna-seq	ENSRNOG00000005921	ENSRNOG00000005921	686641	LOC686641		
transcript-rna-seq	ENSRNOG00000005923	ENSRNOG00000005923	315422	Mtmr2	MTMR2	ENSG00000087053
transcript-rna-seq	ENSRNOG00000005924	ENSRNOG00000005924	296197	Dstnl1	DSTN	ENSG00000125868
transcript-rna-seq	ENSRNOG00000005924	ENSRNOG00000005924	502674	Dstn	DSTN	ENSG00000125868
transcript-rna-seq	ENSRNOG00000005927	ENSRNOG00000005927	299811	Cpsf6	CPSF6	ENSG00000111605
transcript-rna-seq	ENSRNOG00000005929	ENSRNOG00000005929	300015	Them6	THEM6	ENSG00000130193
transcript-rna-seq	ENSRNOG00000005930	ENSRNOG00000005930	300691	Nnmt	NNMT	ENSG00000166741
transcript-rna-seq	ENSRNOG00000005931	ENSRNOG00000005931	58952	Cpq	CPQ	ENSG00000104324
transcript-rna-seq	ENSRNOG00000005932	ENSRNOG00000005932	313270	Megf9	MEGF9	ENSG00000106780
transcript-rna-seq	ENSRNOG00000005933	ENSRNOG00000005933	363014	Yap1	YAP1	ENSG00000137693
transcript-rna-seq	ENSRNOG00000005934	ENSRNOG00000005934	681849	Mlip	MLIP	ENSG00000146147
transcript-rna-seq	ENSRNOG00000005935	ENSRNOG00000005935	171553	A3galt2	A3GALT2	ENSG00000184389
transcript-rna-seq	ENSRNOG00000005936	ENSRNOG00000005936	58921	Foxm1	FOXM1	ENSG00000111206
transcript-rna-seq	ENSRNOG00000005943	ENSRNOG00000005943	299499	Sp8	SP8	ENSG00000164651
transcript-rna-seq	ENSRNOG00000005944	ENSRNOG00000005944	300016	Slurp1	SLURP1	ENSG00000126233
transcript-rna-seq	ENSRNOG00000005947	ENSRNOG00000005947	114248	Pde6h	PDE6H	ENSG00000139053
transcript-rna-seq	ENSRNOG00000005950	ENSRNOG00000005950	404853	Olr608		
transcript-rna-seq	ENSRNOG00000005951	ENSRNOG00000005951	679581	LOC679581		
transcript-rna-seq	ENSRNOG00000005953	ENSRNOG00000005953			CFAP46	ENSG00000171811
transcript-rna-seq	ENSRNOG00000005954	ENSRNOG00000005954	114103	Il5ra	IL5RA	ENSG00000091181
transcript-rna-seq	ENSRNOG00000005955	ENSRNOG00000005955	300384	Naalad2	NAALAD2	ENSG00000077616
transcript-rna-seq	ENSRNOG00000005956	ENSRNOG00000005956	681820	Erich5	ERICH5	ENSG00000177459
transcript-rna-seq	ENSRNOG00000005957	ENSRNOG00000005957	117955	Slc4a7	SLC4A7	ENSG00000033867
transcript-rna-seq	ENSRNOG00000005958	ENSRNOG00000005958	311483	Rrbp1	RRBP1	ENSG00000125844
transcript-rna-seq	ENSRNOG00000005960	ENSRNOG00000005960	300608	RGD1311744	VWA5A	ENSG00000110002
transcript-rna-seq	ENSRNOG00000005963	ENSRNOG00000005963	65158	Rab2a	RAB2A	ENSG00000104388
transcript-rna-seq	ENSRNOG00000005964	ENSRNOG00000005964	58853	Nr4a3	NR4A3	ENSG00000119508
transcript-rna-seq	ENSRNOG00000005965	ENSRNOG00000005965	300177	Irak4	IRAK4	ENSG00000198001
transcript-rna-seq	ENSRNOG00000005968	ENSRNOG00000005968	103690123	Hoxa2	HOXA2	ENSG00000105996
transcript-rna-seq	ENSRNOG00000005968	ENSRNOG00000005968	108348165	NEWGENE_2813	HOXA2	ENSG00000105996
transcript-rna-seq	ENSRNOG00000005970	ENSRNOG00000005970	367113	Lrrc1	LRRC1	ENSG00000137269
transcript-rna-seq	ENSRNOG00000005971	ENSRNOG00000005971	117257	Gpr176	GPR176	ENSG00000166073
transcript-rna-seq	ENSRNOG00000005975	ENSRNOG00000005975	64640	Rpl30		
transcript-rna-seq	ENSRNOG00000005981	ENSRNOG00000005981	312373	Nt5c3a	NT5C3A	ENSG00000122643
transcript-rna-seq	ENSRNOG00000005982	ENSRNOG00000005982	289810	C1d	C1D	ENSG00000197223
transcript-rna-seq	ENSRNOG00000005984	ENSRNOG00000005984	312777	Etv6	ETV6	ENSG00000139083
transcript-rna-seq	ENSRNOG00000005985	ENSRNOG00000005985	83731	Kcnma1	KCNMA1	ENSG00000156113
transcript-rna-seq	ENSRNOG00000005987	ENSRNOG00000005987	81805	Suox	SUOX	ENSG00000139531
transcript-rna-seq	ENSRNOG00000005988	ENSRNOG00000005988	498234	Arl8a	ARL8A	ENSG00000143862
transcript-rna-seq	ENSRNOG00000005990	ENSRNOG00000005990	362137	Wdsub1	WDSUB1	ENSG00000196151
transcript-rna-seq	ENSRNOG00000005993	ENSRNOG00000005993	289934	Oxsm	OXSM	ENSG00000151093
transcript-rna-seq	ENSRNOG00000005996	ENSRNOG00000005996	311901	Lhx6	LHX6	ENSG00000106852
transcript-rna-seq	ENSRNOG00000005997	ENSRNOG00000005997	405079	Olr1308		
transcript-rna-seq	ENSRNOG00000005998	ENSRNOG00000005998	314280	Smoc1	SMOC1	ENSG00000198732
transcript-rna-seq	ENSRNOG00000006000	ENSRNOG00000006000	192350	Cdk12	CDK12	ENSG00000167258
transcript-rna-seq	ENSRNOG00000006001	ENSRNOG00000006001	312251	Luc7l2	LUC7L2	ENSG00000146963
transcript-rna-seq	ENSRNOG00000006002	ENSRNOG00000006002	311419	Stk35	STK35	ENSG00000125834
transcript-rna-seq	ENSRNOG00000006003	ENSRNOG00000006003	297357	Ctnna2	CTNNA2	ENSG00000066032
transcript-rna-seq	ENSRNOG00000006004	ENSRNOG00000006004	313038	Phc2	PHC2	ENSG00000134686
transcript-rna-seq	ENSRNOG00000006010	ENSRNOG00000006010	113918	Slc6a20	SLC6A20	ENSG00000163817
transcript-rna-seq	ENSRNOG00000006019	ENSRNOG00000006019	289388	G0s2	G0S2	ENSG00000123689
transcript-rna-seq	ENSRNOG00000006024	ENSRNOG00000006024	405947	Olr630		
transcript-rna-seq	ENSRNOG00000006025	ENSRNOG00000006025	305078	Lamb3	LAMB3	ENSG00000196878
transcript-rna-seq	ENSRNOG00000006027	ENSRNOG00000006027	114859	Eif2ak4	EIF2AK4	ENSG00000128829
transcript-rna-seq	ENSRNOG00000006028	ENSRNOG00000006028	362980	Tubgcp6	TUBGCP6	ENSG00000128159
transcript-rna-seq	ENSRNOG00000006030	ENSRNOG00000006030	25613	Ptprz1	PTPRZ1	ENSG00000106278
transcript-rna-seq	ENSRNOG00000006032	ENSRNOG00000006032	296198	Banf2	BANF2	ENSG00000125888
transcript-rna-seq	ENSRNOG00000006033	ENSRNOG00000006033	171569	Spon2	SPON2	ENSG00000159674
transcript-rna-seq	ENSRNOG00000006033	ENSRNOG00000006033	100910790	LOC100910790	SPON2	ENSG00000159674
transcript-rna-seq	ENSRNOG00000006035	ENSRNOG00000006035	300615	Olr1314		
transcript-rna-seq	ENSRNOG00000006037	ENSRNOG00000006037			SNAP25	ENSG00000132639
transcript-rna-seq	ENSRNOG00000006046	ENSRNOG00000006046	252833	Gdf7	GDF7	ENSG00000143869
transcript-rna-seq	ENSRNOG00000006048	ENSRNOG00000006048	312299	Ezh2	EZH2	ENSG00000106462
transcript-rna-seq	ENSRNOG00000006049	ENSRNOG00000006049	288906	Rfx1	RFX1	ENSG00000132005
transcript-rna-seq	ENSRNOG00000006050	ENSRNOG00000006050	311165	Med19	MED19	ENSG00000156603
transcript-rna-seq	ENSRNOG00000006051	ENSRNOG00000006051				
transcript-rna-seq	ENSRNOG00000006052	ENSRNOG00000006052	311642	Sulf2	SULF2	ENSG00000196562
transcript-rna-seq	ENSRNOG00000006058	ENSRNOG00000006058	300017	Lypd2	LYPD2	ENSG00000197353
transcript-rna-seq	ENSRNOG00000006060	ENSRNOG00000006060	299996	Matn2	MATN2	ENSG00000132561
transcript-rna-seq	ENSRNOG00000006062	ENSRNOG00000006062	313950	Hs1bp3	HS1BP3	ENSG00000118960
transcript-rna-seq	ENSRNOG00000006063	ENSRNOG00000006063	362166	Phf21a	PHF21A	ENSG00000135365
transcript-rna-seq	ENSRNOG00000006067	ENSRNOG00000006067	83533	Aifm1	AIFM1	ENSG00000156709
transcript-rna-seq	ENSRNOG00000006068	ENSRNOG00000006068	500921	Tmem117	TMEM117	ENSG00000139173
transcript-rna-seq	ENSRNOG00000006069	ENSRNOG00000006069	29702	Eif2ak3	EIF2AK3	ENSG00000172071
transcript-rna-seq	ENSRNOG00000006075	ENSRNOG00000006075	81730	Fez1	FEZ1	ENSG00000149557
transcript-rna-seq	ENSRNOG00000006076	ENSRNOG00000006076	312052	Steap2	STEAP2	ENSG00000157214
transcript-rna-seq	ENSRNOG00000006077	ENSRNOG00000006077	296199	Snx5	SNX5	ENSG00000089006
transcript-rna-seq	ENSRNOG00000006079	ENSRNOG00000006079	311785	Psd4	PSD4	ENSG00000125637
transcript-rna-seq	ENSRNOG00000006082	ENSRNOG00000006082	313840	Rmdn2		
transcript-rna-seq	ENSRNOG00000006084	ENSRNOG00000006084	500418	Cngb3	CNGB3	ENSG00000170289
transcript-rna-seq	ENSRNOG00000006086	ENSRNOG00000006086	300018	Lynx1	LYNX1	ENSG00000180155
transcript-rna-seq	ENSRNOG00000006087	ENSRNOG00000006087	313216	Rnf20	RNF20	ENSG00000155827
transcript-rna-seq	ENSRNOG00000006090	ENSRNOG00000006090	29151	Ucn	UCN	ENSG00000163794
transcript-rna-seq	ENSRNOG00000006093	ENSRNOG00000006093	679668	LRRTM1	LRRTM1	ENSG00000162951
transcript-rna-seq	ENSRNOG00000006094	ENSRNOG00000006094	25406	Cd44	CD44	ENSG00000026508
transcript-rna-seq	ENSRNOG00000006096	ENSRNOG00000006096	297910	Slc26a7	SLC26A7	ENSG00000147606
transcript-rna-seq	ENSRNOG00000006098	ENSRNOG00000006098	689918	Sox30	SOX30	ENSG00000039600
transcript-rna-seq	ENSRNOG00000006102	ENSRNOG00000006102	362385	Pole4	POLE4	ENSG00000115350
transcript-rna-seq	ENSRNOG00000006103	ENSRNOG00000006103	299949	Tbc1d31	TBC1D31	ENSG00000156787
transcript-rna-seq	ENSRNOG00000006104	ENSRNOG00000006104	24826	Tg	TG	ENSG00000042832
transcript-rna-seq	ENSRNOG00000006108	ENSRNOG00000006108	690825	Gngt2	GNGT2	ENSG00000167083
transcript-rna-seq	ENSRNOG00000006110	ENSRNOG00000006110	297748	Jph1	JPH1	ENSG00000104369
transcript-rna-seq	ENSRNOG00000006112	ENSRNOG00000006112	102554315	LOC102554315		
transcript-rna-seq	ENSRNOG00000006114	ENSRNOG00000006114	100910867	Cfap69	CFAP69	ENSG00000105792
transcript-rna-seq	ENSRNOG00000006116	ENSRNOG00000006116	25059	Hk2	HK2	ENSG00000159399
transcript-rna-seq	ENSRNOG00000006118	ENSRNOG00000006118	81813	Klf10	KLF10	ENSG00000155090
transcript-rna-seq	ENSRNOG00000006119	ENSRNOG00000006119	298873	Slc7a15		
transcript-rna-seq	ENSRNOG00000006120	ENSRNOG00000006120	29499	Shh	SHH	ENSG00000164690
transcript-rna-seq	ENSRNOG00000006122	ENSRNOG00000006122	303477	Igf2bp1	IGF2BP1	ENSG00000159217
transcript-rna-seq	ENSRNOG00000006126	ENSRNOG00000006126	113929	Nup88	NUP88	ENSG00000108559
transcript-rna-seq	ENSRNOG00000006130	ENSRNOG00000006130	288779	Rab5b	RAB5B	ENSG00000111540
