RAT_SYMBOL	NAME	RAT_GENE_RGD_ID	RAT_NCBI_GENE_ID	RAT_ENSEMBL_ID	RAT_UNIPROT_ID	RAT_OLD_SYMBOL	HUMAN_ORTHOLOG_SYMBOL	HUMAN_ORTHOLOG_RGD	HUMAN_ORTHOLOG_NCBI_GENE_ID	HUMAN_ORTHOLOG_ENSEMBL_ID	HUMAN_ORTHOLOG_SOURCE
Tamm41	TAM41 mitochondrial translocator assembly and maintenance homolog	1586150	362419	ENSRNOG00000007874	D3ZKT0	LOC103694579;LOC362419;TAM41	TAMM41	1602301	132001	ENSG00000279643.3	HGNC
Il17re	interleukin 17 receptor E	735148	362417	ENSRNOG00000009204	Q6AZ51	LOC362417;MGC93201	IL17RE	1602300	132014	ENSG00000163701.19	HGNC
Rtp1	receptor (chemosensory) transporter protein 1	1560980	288006	ENSRNOG00000021992	D4AEN1	LOC288006;RGD1560980	RTP1	1604751	132112	ENSG00000175077.6	HGNC
Iqcf1	IQ motif containing F1	1565640	503227	ENSRNOG00000037289	D3ZLI2	LOC503227;RGD1565640	IQCF1	1348129	132141	ENSG00000173389.16	HGNC
Glyctk	glycerate kinase	1591498	684314	ENSRNOG00000046307	Q0VGK3	LOC684314	GLYCTK	1604750	132158	ENSG00000168237.18	RGD
Ppm1m	protein phosphatase, Mg2+/Mn2+ dependent, 1M	1584266	686298	ENSRNOG00000046535	M0R7Q8	LOC686298	PPM1M	1602186	132160	ENSG00000164088.18	HGNC
LOC102550375	uncharacterized LOC102550375	7634115	102550375	ENSRNOG00000027633	D3ZTA1	NA	C3orf49	1602072	132200	ENSG00000163632.15	HGNC
Sntn	sentan, cilia apical structure protein	1562356	498456	ENSRNOG00000027383	F1LX90	LOC498456;RGD1562356	SNTN	2306150	132203	ENSG00000188817.8	HGNC
Synpr	synaptoporin	708366	66030	ENSRNOG00000008203	A0A0G2K1H2;P22831	LOC66030	SYNPR	731737	132204	ENSG00000163630.11	HGNC
Lsmem2	leucine-rich single-pass membrane protein 2	1589957	689621	ENSRNOG00000052634	A0A0G2KAD9	LOC689621	LSMEM2	1602071	132228	ENSG00000179564.4	HGNC
H1f8	H1.8 linker histone	1566236	502875	ENSRNOG00000025251	D3ZEG0	H1foo;LOC502875;RGD1566236	H1-8	1347696	132243	ENSG00000178804.8	HGNC
Ociad2	OCIA domain containing 2	2319541	100361733	ENSRNOG00000002196	D4A4Q4	LOC100361733	OCIAD2	1349620	132299	ENSG00000145247.12	HGNC
Sclt1	sodium channel and clathrin linker 1	628721	266809	ENSRNOG00000014139	Q8CJ99	CAP-1A;Sap1	SCLT1	731355	132320	ENSG00000151466.12	HGNC
RGD1359508	similar to protein C33A12.3	1359508	361941	ENSRNOG00000038330	Q5M845	MGC109006	C4orf33	1601935	132321	ENSG00000151470.13	HGNC
Pabpc4l	poly(A) binding protein, cytoplasmic 4-like	1559517	295010	ENSRNOG00000029749	D3ZGA4	LOC295010;RGD1559517	PABPC4L	2290032	132430	ENSG00000254535.4	HGNC
Cort	cortistatin	2383	25305	NA	Q62949	NA	CORT	736209	1325	ENSG00000241563.4	HGNC
Map3k8	mitogen-activated protein kinase kinase kinase 8	620969	116596	ENSRNOG00000016378	G3V840;Q63562	D17TPL2;Tpl-2;Tpl2	MAP3K8	731488	1326	ENSG00000107968.10	HGNC
Adad1	adenosine deaminase domain containing 1	1359309	294979	ENSRNOG00000017246	A0A0G2K1X9;Q3KR54	MGC124895;MGC94331;Tenr	ADAD1	1606972	132612	ENSG00000164113.11	HGNC
Zfp42	zinc finger protein 42	2319133	100361947	NA	NA	LOC100361947;LOC290765;Zfp971	ZFP42	1606971	132625	ENSG00000179059.10	RGD
Lin54	lin-54 DREAM MuvB core complex component	1311361	305171	ENSRNOG00000002203	Q641Z1	LOC305171;RGD1311361	LIN54	1606970	132660	ENSG00000189308.11	HGNC
Spata18	spermatogenesis associated 18	735208	289586	ENSRNOG00000002120	A0A0H2UHA4;Q6AYL6	MGC93900;spetex-1	SPATA18	1606969	132671	ENSG00000163071.11	HGNC
Cox4i1	cytochrome c oxidase subunit 4i1	68374	29445	ENSRNOG00000017817	P10888	Cox4;Cox4a;MGC105470	COX4I1	68539	1327	ENSG00000131143.10	HGNC
Fam241a	family with sequence similarity 241 member A	1593351	691931	ENSRNOG00000010875	D4A9Y2	LOC691931	FAM241A	1606723	132720	ENSG00000174749.6	HGNC
Tmprss11b	transmembrane serine protease 11B	1303278	365265	ENSRNOG00000002002	Q6IE14	Hatl5;Tmprss11bnl	TMPRSS11B	1606722	132724	ENSG00000185873.8	HGNC
Gnpda2	glucosamine-6-phosphate deaminase 2	1305521	289608	ENSRNOG00000002177	B5DEZ6	LOC289608	GNPDA2	1313596	132789	ENSG00000163281.12	HGNC
Spata4	spermatogenesis associated 4	1303065	306441	ENSRNOG00000048035	M0RCM3;Q6DNA4	Srg2;Tsarg2	SPATA4	1348615	132851	ENSG00000150628.7	HGNC
Cpeb2	cytoplasmic polyadenylation element binding protein 2	1307485	360949	ENSRNOG00000005043	A0A0G2JY45;A0A0G2K520;D3ZHK8;G8EXB7;G8EXB8	LOC360949	CPEB2	1316707	132864	ENSG00000137449.17	HGNC
Evc2	EvC ciliary complex subunit 2	1310417	289711	ENSRNOG00000007025	D3ZWN3	LOC289711	EVC2	1321308	132884	ENSG00000173040.13	HGNC
Cox5b	cytochrome c oxidase subunit 5B	620608	94194	ENSRNOG00000016660	P12075	NA	COX5B	734145	1329	ENSG00000135940.7	HGNC
Arl9	ADP-ribosylation factor like GTPase 9	1303337	289565	ENSRNOG00000029628	Q6IMA9	NA	ARL9	1606161	132946	ENSG00000196503.5	HGNC
Aasdh	aminoadipate-semialdehyde dehydrogenase	1311135	364136	ENSRNOG00000002137	D4A5F5	LOC364136;RGD1311135	AASDH	1606160	132949	ENSG00000157426.14	HGNC
Pdcl2	phosducin-like 2	1559712	498352	ENSRNOG00000002169	A0A6B9RYC6;F1M610	LOC498352;RGD1559712	PDCL2	1344096	132954	ENSG00000163440.12	HGNC
Aff1-as1	AFF1 antisense RNA 1	1564576	498330	ENSRNOG00000060245	A0A0G2JUC5;Q6AY31	LOC102546454;LOC498330	C4orf36	1606159	132989	ENSG00000163633.12	HGNC
Adm	adrenomedullin	2047	25026	ENSRNOG00000027030	P43145	Ap;H39316	ADM	730917	133	ENSG00000148926.10	HGNC
Pacrgl	parkin coregulated like	1311045	360947	ENSRNOG00000004140	D3ZE96	LOC360947;RGD1311045	PACRGL	1605875	133015	ENSG00000163138.19	HGNC
Tram1l1	translocation associated membrane protein 1-like 1	1306398	310846	ENSRNOG00000009835	D4A038	LOC310846	TRAM1L1	1314990	133022	ENSG00000174599.5	HGNC
Otop1	otopetrin 1	631389	305427	ENSRNOG00000028423	Q7M734	NA	OTOP1	735811	133060	ENSG00000163982.6	HGNC
Enpp6	ectonucleotide pyrophosphatase/phosphodiesterase 6	1311645	306460	ENSRNOG00000009660	B0BND0;D3ZRI1	E-NPP 6;E-NPP6;GPC-Cpde;LOC100911549;LOC306460;NPP-6	ENPP6	1323210	133121	ENSG00000164303.11	HGNC
Slc9b2	solute carrier family 9 member B2	1598112	679958	ENSRNOG00000023404	B2RYK8	LOC679958;Nhedc2	SLC9B2	1604997	133308	ENSG00000164038.16	HGNC
Setd9-ps1	SET domain containing, pseudogene 1	2318781	100362101	NA	NA	LOC100362101	SETD9	1602299	133383	ENSG00000155542.12	HGNC
Il31ra	interleukin 31 receptor A	1586478	688622	ENSRNOG00000042080	F1LZR4;H9BFG9;M0R4P7	LOC688622	IL31RA	1344882	133396	ENSG00000164509.16	HGNC
Emb	embigin	621067	114511	ENSRNOG00000060329	A0A0G2JU92;A0A0G2JWP4;O88775	NA	EMB	1342878	133418	ENSG00000170571.12	HGNC
Slco6b1	solute carrier organic anion transporter family member 6B1	620278	170925	ENSRNOG00000019252	M0RAI5;Q924H6	GST-1;LOC102554121;Tst1	SLCO6A1	1353358	133482	ENSG00000205359.10	HGNC
Slco6b1	solute carrier organic anion transporter family member 6B1	620278	170925	ENSRNOG00000048837	M0RAI5;Q924H6	GST-1;LOC102554121;Tst1	SLCO6A1	1353358	133482	ENSG00000205359.10	HGNC
RGD1311343	similar to RIKEN cDNA 4930524B15	1311343	360506	ENSRNOG00000027852	D4AAX2	LOC360506	C5orf47	2298818	133491	ENSG00000185056.10	HGNC
Ppargc1b	PPARG coactivator 1 beta	727948	291567	ENSRNOG00000017503	Q811R2	PGC1beta;Perc	PPARGC1B	1350671	133522	ENSG00000155846.17	HGNC
Mroh2b	maestro heat-like repeat family member 2B	1305413	361902	NA	NA	Heatr7b2;LOC102553573;LOC361902;RGD1305413	MROH2B	1604530	133558	ENSG00000171495.17	HGNC
Egflam	EGF-like, fibronectin type III and laminin G domains	1306592	365691	ENSRNOG00000012058	B4F785;G3V7M7	LOC365691;RGD1306592	EGFLAM	1602070	133584	ENSG00000164318.18	HGNC
Prrc1	proline-rich coiled-coil 1	1565632	291444	ENSRNOG00000016433	G3V834;Q3T1I4	MGC124825;Prcc1	PRRC1	1601934	133619	ENSG00000164244.21	HGNC
Nadk2	NAD kinase 2, mitochondrial	1306809	365699	ENSRNOG00000054157	A0A096MKG5;Q1HCL7	LOC365699;MGC125061;Nadkd1;RGD1306809	NADK2	1604237	133686	ENSG00000152620.13	HGNC
Ugt3a2	UDP glycosyltransferase 3 family, polypeptide A2	1564365	294793	ENSRNOG00000059568	A0A0G2K4R2	LOC294793;RGD1564365	UGT3A1	1601933	133688	ENSG00000145626.12	HGNC
Capsl	calcyphosine-like	1308776	294795	ENSRNOG00000054277	D4A6W9	LOC294795;RGD1308776	CAPSL	1601932	133690	ENSG00000152611.12	HGNC
Cox6a1	cytochrome c oxidase subunit 6A1	2384	25282	ENSRNOG00000001170	P10818	COX6AL	COX6A1	735899	1337	ENSG00000111775.3	HGNC
Jmy	junction mediating and regulatory protein, p53 cofactor	1585601	683593	ENSRNOG00000050343	M0R8J3	LOC683593	JMY	1603907	133746	ENSG00000152409.9	HGNC
C10H5orf58	chromosome 10 open reading frame, human C5orf58	11411272	108352200	NA	NA	NA	C5orf58	3403707	133874	ENSG00000234511.10	HGNC
Cox6a2	cytochrome c oxidase subunit 6A2	2385	25278	ENSRNOG00000019851	G3V8M4;P10817	COX6AH;COX6B	COX6A2	736247	1339	ENSG00000156885.6	HGNC
Znf474	zinc finger protein 474	1564428	498866	ENSRNOG00000018724	A0A0G2JYF2;D4A019	LOC498866;RGD1564428	ZNF474	1606968	133923	ENSG00000164185.6	HGNC
Znf474	zinc finger protein 474	1564428	498866	ENSRNOG00000067527	A0A0G2JYF2;D4A019	LOC498866;RGD1564428	ZNF474	1606968	133923	ENSG00000164185.6	HGNC
Ccdc127	coiled-coil domain containing 127	735106	308060	ENSRNOG00000012775	G3V7Q3;Q6PEB9	MGC73017;RGD735106	CCDC127	1603363	133957	ENSG00000164366.4	HGNC
Ccdc127	coiled-coil domain containing 127	735106	308060	ENSRNOG00000066093	G3V7Q3;Q6PEB9	MGC73017;RGD735106	CCDC127	1603363	133957	ENSG00000164366.4	HGNC
Adora1	adenosine A1 receptor	2048	29290	ENSRNOG00000003442	P25099	NA	ADORA1	730817	134	ENSG00000163485.17	HGNC
Cox6b1	cytochrome c oxidase subunit 6B1	1584097	688869	ENSRNOG00000024309	D3ZD09;D3ZSB0;P80430	Cox6b;LOC688869	COX6B1	1343660	1340	ENSG00000126267.11	RGD
Cox6b1	cytochrome c oxidase subunit 6B1	1584097	688869	ENSRNOG00000034161	D3ZD09;D3ZSB0;P80430	Cox6b;LOC688869	COX6B1	1343660	1340	ENSG00000126267.11	RGD
Olr1394	olfactory receptor 1394	1333571	405985	ENSRNOG00000047636	D3ZYN1	NA	OR2Y1	1606719	134083	ENSG00000174339.3	HGNC
Olr1394	olfactory receptor 1394	1333571	405985	ENSRNOG00000068424	D3ZYN1	NA	OR2Y1	1606719	134083	ENSG00000174339.3	HGNC
Ube2ql1	ubiquitin-conjugating enzyme E2Q family-like 1	1598121	679949	ENSRNOG00000034075	D3ZXV0	LOC679949	UBE2QL1	2798685	134111	ENSG00000215218.4	HGNC
RGD1308544	LOC361192	1308544	361192	ENSRNOG00000047406	M0R5R5	NA	C5orf49	2298811	134121	ENSG00000215217.7	HGNC
Atpsckmt	ATP synthase c subunit lysine N-methyltransferase	1560629	499561	ENSRNOG00000022347	D3ZLY0	Fam173b;LOC499561;RGD1560629	ATPSCKMT	1603183	134145	ENSG00000150756.14	HGNC
Cmbl	carboxymethylenebutenolidase homolog	1306952	310201	ENSRNOG00000011260	Q7TP52	LOC310201;MGC95111;RGD1306952	CMBL	1606460	134147	ENSG00000164237.9	HGNC
Pou5f2	POU domain class 5, transcription factor 2	1589456	680620	ENSRNOG00000062285	P56225	LOC679507;LOC680620;Sprm-1;Sprm1	POU5F2	1606459	134187	ENSG00000248483.7	HGNC
Dnajc21	DnaJ heat shock protein family (Hsp40) member C21	621729	192210	ENSRNOG00000017876	A0A0G2QC19;Q5RJL8	Dnaja5;Gs3	DNAJC21	734039	134218	ENSG00000168724.17	HGNC
Afap1l1	actin filament associated protein 1-like 1	1311580	291565	ENSRNOG00000019403	D4AB98	LOC291565;RGD1311580	AFAP1L1	1606158	134265	ENSG00000157510.14	HGNC
Grpel2	GrpE-like 2, mitochondrial	1585231	688777	ENSRNOG00000042682	D4A676	Afap1l1;LOC688777	GRPEL2	1342740	134266	ENSG00000164284.15	HGNC
Grpel2	GrpE-like 2, mitochondrial	1585231	688777	ENSRNOG00000064275	D4A676	Afap1l1;LOC688777	GRPEL2	1342740	134266	ENSG00000164284.15	HGNC
Tmem171	transmembrane protein 171	1359492	293634	ENSRNOG00000015449	A0A0G2K1V2;F1LQN5;Q6K0P5	Prp2	TMEM171	1606157	134285	ENSG00000157111.13	HGNC
Tmem174	transmembrane protein 174	1561129	499516	ENSRNOG00000015472	Q68FU0	LOC499516	TMEM174	1606156	134288	ENSG00000164325.8	HGNC
Lsm11	LSM11, U7 small nuclear RNA associated	1565523	501688	ENSRNOG00000005450	B0BNI4	LOC501688;RGD1565523	LSM11	1354131	134353	ENSG00000155858.6	HGNC
Poc5	POC5 centriolar protein	1310597	294667	ENSRNOG00000018193	A0A0G2KBC1;Q4V891	LOC294667;MGC114560;RGD1310597	POC5	1605874	134359	ENSG00000152359.15	HGNC
Gpr151	G protein-coupled receptor 151	727873	307475	ENSRNOG00000027103	Q7TSN5	nGPCR-2037	GPR151	1350857	134391	ENSG00000173250.3	HGNC
Stard4	StAR-related lipid transfer domain containing 4	1309475	291699	ENSRNOG00000020468	D3Z9I9	LOC291699	STARD4	1319833	134429	ENSG00000164211.13	HGNC
Wdr36	WD repeat domain 36	1586463	688637	ENSRNOG00000027355	F1MA04;M0RAY7	LOC688637	WDR36	1313630	134430	ENSG00000134987.13	HGNC
Nudcd2	NudC domain containing 2	1307203	287199	ENSRNOG00000060914	Q5M823	LOC287199;MGC109498;RGD1307203	NUDCD2	1353286	134492	ENSG00000170584.11	HGNC
Cox6c	cytochrome c oxidase subunit 6C	620616	54322	ENSRNOG00000010807	P11951	COVIc;COX-VIc;Cox6c2	COX6C	736850	1345	ENSG00000164919.11	HGNC
Ublcp1	ubiquitin-like domain containing CTD phosphatase 1	1310386	360514	ENSRNOG00000004477	A0A0H2UHC8;Q5FWT7	LOC360514;MGC105972;RGD1310386	UBLCP1	1605293	134510	ENSG00000164332.8	HGNC
Acot12	acyl-CoA thioesterase 12	619752	170570	ENSRNOG00000061414	A0A0G2KAU8;Q99NB7	CACH-1;Cach;rACH;rCACH-1	ACOT12	736721	134526	ENSG00000172497.9	HGNC
Sowaha	sosondowah ankyrin repeat domain family member A	1564616	497903	ENSRNOG00000060061	A0A0G2K6W3	Ankrd43;LOC497903;RGD1564616	SOWAHA	1602435	134548	ENSG00000198944.6	HGNC
Shroom1	shroom family member 1	1308066	287285	ENSRNOG00000007431	M0RB44	LOC287285;RGD1308066	SHROOM1	1605292	134549	ENSG00000164403.15	HGNC
RGD1566359	similar to RIKEN cDNA B230219D22	1566359	498701	ENSRNOG00000047934	M0R469	LOC498701	C5orf24	1605291	134553	ENSG00000181904.9	HGNC
Cox7a1	cytochrome c oxidase subunit 7A1	6496527	687508	ENSRNOG00000047364	M0R5K3	LOC100910772;LOC687508	COX7A1	1348243	1346	ENSG00000161281.11	HGNC
Cox7a1	cytochrome c oxidase subunit 7A1	6496527	687508	ENSRNOG00000050015	M0R5K3	LOC100910772;LOC687508	COX7A1	1348243	1346	ENSG00000161281.11	HGNC
Adat2	adenosine deaminase, tRNA-specific 2	1309642	361453	ENSRNOG00000046983	B0BMY9;M0RA73	Deadc1;LOC361453	ADAT2	1320091	134637	ENSG00000189007.16	HGNC
Cox7a2	cytochrome c oxidase subunit 7A2	68365	29507	ENSRNOG00000042903	B2RYS0;P35171	Cox7a3	COX7A2	1342607	1347	ENSG00000112695.13	RGD
Ripply2	ripply transcriptional repressor 2	1308746	363111	ENSRNOG00000010004	D3ZRE0	LOC363111;RGD1308746	RIPPLY2	1604749	134701	ENSG00000203877.9	HGNC
Irak1bp1	interleukin-1 receptor-associated kinase 1 binding protein 1	1305012	300862	ENSRNOG00000008984	D3ZBV8	LOC300862	IRAK1BP1	1312787	134728	ENSG00000146243.14	HGNC
Clvs2	clavesin 2	1306801	361459	ENSRNOG00000012122	A6JUQ6	LOC361459;RGD1306801;Rlbp1l2	CLVS2	1604529	134829	ENSG00000146352.13	HGNC
Taar9	trace amine-associated receptor 9	631383	319107	ENSRNOG00000026096	Q923Y6	Ta3;taR-3;taR-9	TAAR9	1352345	134860	ENSG00000237110.2	HGNC
Taar1	trace-amine-associated receptor 1	621621	113914	ENSRNOG00000016073	A0A0G2JSP2;Q923Y9	Tar1;Trar1;taR-1	TAAR1	1346236	134864	ENSG00000146399.3	HGNC
Cox7b	cytochrome c oxidase subunit 7B	727789	303393	ENSRNOG00000054689	P80431	NA	COX7B	1344241	1349	ENSG00000131174.7	HGNC
Stxbp5	syntaxin binding protein 5	708517	81022	ENSRNOG00000013351	Q9WU70	NA	STXBP5	1347913	134957	ENSG00000164506.15	HGNC
Adora2a	adenosine A2a receptor	2049	25369	ENSRNOG00000001302	P30543	A2ar;Adora2l1;MGC93190	ADORA2A	730999	135	ENSG00000128271.22	HGNC
Cox7c	cytochrome c oxidase subunit 7C	2300145	100188937	ENSRNOG00000030237	P80432	Cox7c1;MGC188847	COX7C	1353652	1350	ENSG00000127184.13	HGNC
Cox8a	cytochrome c oxidase subunit 8A	620638	171335	ENSRNOG00000021177	P80433;Q64576	NA	COX8A	1348555	1351	ENSG00000176340.4	HGNC
Ncoa7	nuclear receptor coactivator 7	1566426	498995	ENSRNOG00000014004	F1LWN1	LOC498995;RGD1566426	NCOA7	1603583	135112	ENSG00000111912.20	HGNC
Hint3	histidine triad nucleotide binding protein 3	621603	246769	ENSRNOG00000014190	A0A0G2K7W8;F1M9G8;Q8K3P7	HINT-3;HINT-4;Hint4	HINT3	1347010	135114	ENSG00000111911.7	HGNC
Pacrg	parkin coregulated	1561027	499021	ENSRNOG00000068261	A0JPP9	LOC499021;RGD1561027	PACRG	1352616	135138	ENSG00000112530.12	RGD
B3gat2	beta-1,3-glucuronyltransferase 2	620903	64544	ENSRNOG00000046852	M0R3R1;Q9Z137	AF106624	B3GAT2	1348026	135152	ENSG00000112309.11	HGNC
Sdhaf4	succinate dehydrogenase complex assembly factor 4	1588998	685888	ENSRNOG00000028087	D4A7Q3	LOC685888	SDHAF4	1319485	135154	ENSG00000154079.6	HGNC
Cox10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10	1594623	691853	ENSRNOG00000024972	F1LVF4	LOC691853	COX10	1321106	1352	ENSG00000006695.12	HGNC
Cd109	CD109 molecule	1311287	363104	ENSRNOG00000025332	D4A447	LOC363104	CD109	1322663	135228	ENSG00000156535.15	HGNC
Raet1e	retinoic acid early transcript 1E	1311118	292450	ENSRNOG00000040300	F7F021	LOC102546867;LOC292450	RAET1E	1322405	135250	ENSG00000164520.12	RGD
Pm20d2	peptidase M20 domain containing 2	1307853	313130	ENSRNOG00000007755	D4AAB5	Acy1l2;LOC313130	PM20D2	1317289	135293	ENSG00000146281.6	HGNC
Srsf12	serine and arginine rich splicing factor 12	1561162	297962	ENSRNOG00000051383	A0A0G2K2F4	LOC297962;RGD1561162;Srrp;Srrp35	SRSF12	1606967	135295	ENSG00000154548.9	HGNC
Srsf12	serine and arginine rich splicing factor 12	1561162	297962	ENSRNOG00000069984	A0A0G2K2F4	LOC297962;RGD1561162;Srrp;Srrp35	SRSF12	1606967	135295	ENSG00000154548.9	HGNC
Cox11	cytochrome c oxidase copper chaperone COX11	9174727	103693419	ENSRNOG00000052096	D3ZNJ0;M0RE03	LOC100910689;LOC103693419	COX11	1320366	1353	ENSG00000166260.13	HGNC
LOC688459	hypothetical protein LOC688459	1588829	688459	ENSRNOG00000048967	B2RZ52	LOC688548	C6orf141	1342733	135398	ENSG00000197261.12	HGNC
Hus1b	HUS1 checkpoint clamp component B	1585035	691382	ENSRNOG00000055922	NA	LOC691382	HUS1B	1346290	135458	ENSG00000188996.5	HGNC
Cox15	cytochrome c oxidase assembly homolog COX15	1312043	309391	ENSRNOG00000017230	D4A414;I6L9I0	LOC100911779;LOC309391;MGC124864	COX15	1323821	1355	ENSG00000014919.13	RGD
Cp	ceruloplasmin	2387	24268	ENSRNOG00000011913	A0A0G2K9I6;G3V7K3;P13635	CERP	CP	736782	1356	ENSG00000047457.14	HGNC
Trim40	tripartite motif-containing 40	1359645	365528	ENSRNOG00000000783	Q6MFY8	Rnf35	TRIM40	1346356	135644	ENSG00000204614.9	HGNC
Trim40	tripartite motif-containing 40	1359645	365528	ENSRNOG00000000783	Q6MFY8	Rnf35	TRIM40	1346356	135644	ENSG00000172524.12	HGNC
Trim40	tripartite motif-containing 40	1359645	365528	ENSRNOG00000000783	Q6MFY8	Rnf35	TRIM40	1346356	135644	ENSG00000236399.7	HGNC
Trim40	tripartite motif-containing 40	1359645	365528	ENSRNOG00000000783	Q6MFY8	Rnf35	TRIM40	1346356	135644	ENSG00000237046.8	HGNC
Trim40	tripartite motif-containing 40	1359645	365528	ENSRNOG00000000783	Q6MFY8	Rnf35	TRIM40	1346356	135644	ENSG00000228001.8	HGNC
Trim40	tripartite motif-containing 40	1359645	365528	ENSRNOG00000000783	Q6MFY8	Rnf35	TRIM40	1346356	135644	ENSG00000233931.7	HGNC
Trim40	tripartite motif-containing 40	1359645	365528	ENSRNOG00000000783	Q6MFY8	Rnf35	TRIM40	1346356	135644	ENSG00000227458.8	HGNC
Trim40	tripartite motif-containing 40	1359645	365528	ENSRNOG00000000783	Q6MFY8	Rnf35	TRIM40	1346356	135644	ENSG00000224496.7	HGNC
Mucl3	mucin like 3	1303125	406199	ENSRNOG00000042287	A0A0G2JZY5;Q6MG22	Dpcr1	MUCL3	1346376	135656	ENSG00000168631.13	HGNC
Mucl3	mucin like 3	1303125	406199	ENSRNOG00000042287	A0A0G2JZY5;Q6MG22	Dpcr1	MUCL3	1346376	135656	ENSG00000232251.5	HGNC
Mucl3	mucin like 3	1303125	406199	ENSRNOG00000042287	A0A0G2JZY5;Q6MG22	Dpcr1	MUCL3	1346376	135656	ENSG00000229284.4	HGNC
Mucl3	mucin like 3	1303125	406199	ENSRNOG00000042287	A0A0G2JZY5;Q6MG22	Dpcr1	MUCL3	1346376	135656	ENSG00000257232.1	HGNC
Mucl3	mucin like 3	1303125	406199	ENSRNOG00000042287	A0A0G2JZY5;Q6MG22	Dpcr1	MUCL3	1346376	135656	ENSG00000232308.4	HGNC
Cpa1	carboxypeptidase A1	2388	24269	ENSRNOG00000010725	P00731	NA	CPA1	733563	1357	ENSG00000091704.10	HGNC
Cpa2	carboxypeptidase A2	1305563	296959	ENSRNOG00000028092	G3V976;P19222	CPA2(S);Cpa2_mapped;LOC296959	CPA2	1313664	1358	ENSG00000158516.12	HGNC
Tmem270	transmembrane protein 270	1561903	288604	ENSRNOG00000001474	D3ZKV0	LOC288604;RGD1561903;Wbscr28	TMEM270	1602434	135886	ENSG00000175877.4	HGNC
Trim50	tripartite motif-containing 50	631346	288596	ENSRNOG00000022483	Q5U366;Q810I1	MGC93065	TRIM50	735660	135892	ENSG00000146755.11	HGNC
Cpa3	carboxypeptidase A3	2390	54242	ENSRNOG00000011181	F1M7S4;P21961	R-CPA;RMC-CP	CPA3	733833	1359	ENSG00000163751.4	HGNC
RGD1562066	similar to odorant receptor ORZ6	1562066	502755	ENSRNOG00000050977	M0R8E2	LOC502755	OR9A2	1348029	135924	ENSG00000179468.6	HGNC
RGD1562066	similar to odorant receptor ORZ6	1562066	502755	ENSRNOG00000050977	M0R8E2	LOC502755	OR9A2	1348029	135924	ENSG00000273914.2	HGNC
Llcfc1	LLLL and CFNLAS motif containing 1	1595510	680112	ENSRNOG00000025618	D4A4Y5	LOC680112	LLCFC1	1345356	135927	ENSG00000165131.8	HGNC
Llcfc1	LLLL and CFNLAS motif containing 1	1595510	680112	ENSRNOG00000025618	D4A4Y5	LOC680112	LLCFC1	1345356	135927	ENSG00000275821.2	HGNC
Tmem139	transmembrane protein 139	1594187	680244	ENSRNOG00000028024	D4AC26	LOC680244	TMEM139	1602298	135932	ENSG00000178826.11	HGNC
Nobox	NOBOX oogenesis homeobox	1563929	502759	ENSRNOG00000025720	D3ZXL8	LOC502759;RGD1563929	NOBOX	1604996	135935	ENSG00000106410.15	HGNC
Nobox	NOBOX oogenesis homeobox	1563929	502759	ENSRNOG00000025720	D3ZXL8	LOC502759;RGD1563929	NOBOX	1604996	135935	ENSG00000285328.2	HGNC
Olr816	olfactory receptor 816	1333098	405134	ENSRNOG00000005431	D4AD10	NA	OR2A14	1344604	135941	ENSG00000221938.5	HGNC
Olr816	olfactory receptor 816	1333098	405134	ENSRNOG00000005431	D4AD10	NA	OR2A14	1344604	135941	ENSG00000284891.1	HGNC
Olr816	olfactory receptor 816	1333098	405134	ENSRNOG00000066559	D4AD10	NA	OR2A14	1344604	135941	ENSG00000221938.5	HGNC
Olr816	olfactory receptor 816	1333098	405134	ENSRNOG00000066559	D4AD10	NA	OR2A14	1344604	135941	ENSG00000284891.1	HGNC
Olr811	olfactory receptor 811	1333367	405138	ENSRNOG00000005403	D4AEF8	LOC103692138	OR6B1	1351550	135946	ENSG00000221813.4	HGNC
Olr811	olfactory receptor 811	1333367	405138	ENSRNOG00000005403	D4AEF8	LOC103692138	OR6B1	1351550	135946	ENSG00000284939.1	HGNC
Olr811	olfactory receptor 811	1333367	405138	ENSRNOG00000057664	D4AEF8	LOC103692138	OR6B1	1351550	135946	ENSG00000221813.4	HGNC
Olr811	olfactory receptor 811	1333367	405138	ENSRNOG00000057664	D4AEF8	LOC103692138	OR6B1	1351550	135946	ENSG00000284939.1	HGNC
Olr811	olfactory receptor 811	1333367	405138	ENSRNOG00000065813	D4AEF8	LOC103692138	OR6B1	1351550	135946	ENSG00000221813.4	HGNC
Olr811	olfactory receptor 811	1333367	405138	ENSRNOG00000065813	D4AEF8	LOC103692138	OR6B1	1351550	135946	ENSG00000284939.1	HGNC
Olr808	olfactory receptor 808	1333950	405140	ENSRNOG00000029299	D4AAR1	NA	OR2F2	1349873	135948	ENSG00000221910.3	HGNC
Olr808	olfactory receptor 808	1333950	405140	ENSRNOG00000029299	D4AAR1	NA	OR2F2	1349873	135948	ENSG00000284965.1	HGNC
Olr808	olfactory receptor 808	1333950	405140	ENSRNOG00000070887	D4AAR1	NA	OR2F2	1349873	135948	ENSG00000221910.3	HGNC
Olr808	olfactory receptor 808	1333950	405140	ENSRNOG00000070887	D4AAR1	NA	OR2F2	1349873	135948	ENSG00000284965.1	HGNC
