assay	feature_ID	ensembl_gene	entrez_gene	gene_symbol	human_gene_symbol	human_ensembl_gene	human_entrez_gene	mouse_gene_symbol	mouse_entrez_gene	ortholog_source
transcript-rna-seq	ENSRNOG00000006485	ENSRNOG00000006485	362501	Topors	TOPORS	NA	10210	Topors	106021	RGD
transcript-rna-seq	ENSRNOG00000006486	ENSRNOG00000006486	24714	Reg1a	REG1A	NA	5967	Reg1	19692	RGD
transcript-rna-seq	ENSRNOG00000006487	ENSRNOG00000006487	313128	Casp8ap2	CASP8AP2	NA	9994	Casp8ap2	26885	RGD
transcript-rna-seq	ENSRNOG00000006490	ENSRNOG00000006490	81735	Neo1	NEO1	NA	4756	Neo1	18007	RGD
transcript-rna-seq	ENSRNOG00000006491	ENSRNOG00000006491	502846	Foxi3	FOXI3	NA	344167	Foxi3	232077	RGD
transcript-rna-seq	ENSRNOG00000006494	ENSRNOG00000006494	680991	Tubg2	TUBG2	NA	27175	Tubg2	103768	RGD
transcript-rna-seq	ENSRNOG00000006498	ENSRNOG00000006498	500415	Lrrc69	LRRC69	NA	100130742	Lrrc69	73314	RGD
transcript-rna-seq	ENSRNOG00000006499	ENSRNOG00000006499	312916	Cops5	COPS5	NA	10987	Cops5	26754	RGD
transcript-rna-seq	ENSRNOG00000006500	ENSRNOG00000006500	287645	Snf8	SNF8	NA	11267	Snf8	27681	RGD
transcript-rna-seq	ENSRNOG00000006503	ENSRNOG00000006503	298141	Frmd3	FRMD3	NA	257019	Frmd3	242506	RGD
transcript-rna-seq	ENSRNOG00000006505	ENSRNOG00000006505	362452	Borcs5	BORCS5	NA	118426	Borcs5	67774	RGD
transcript-rna-seq	ENSRNOG00000006508	ENSRNOG00000006508	297332	Thnsl2	THNSL2	NA	55258	Thnsl2	232078	RGD
transcript-rna-seq	ENSRNOG00000006509	ENSRNOG00000006509	500287	Srgap3	SRGAP3	NA	9901	Srgap3	259302	RGD
transcript-rna-seq	ENSRNOG00000006513	ENSRNOG00000006513	497934	Borcs6	BORCS6	NA	54785	Borcs6	71923	RGD
transcript-rna-seq	ENSRNOG00000006514	ENSRNOG00000006514	299738	Vezt	VEZT	NA	55591	Vezt	215008	RGD
transcript-rna-seq	ENSRNOG00000006515	ENSRNOG00000006515	314111	Klhl15	KLHL15	NA	80311	Klhl15	236904	RGD
transcript-rna-seq	ENSRNOG00000006519	ENSRNOG00000006519	691750	Tmem107	TMEM107	NA	84314	Tmem107	66910	RGD
transcript-rna-seq	ENSRNOG00000006523	ENSRNOG00000006523	298757	Atl2	ATL2	NA	64225	Atl2	56298	RGD
transcript-rna-seq	ENSRNOG00000006526	ENSRNOG00000006526	296787	Sema3c	SEMA3C	NA	10512	Sema3c	20348	RGD
transcript-rna-seq	ENSRNOG00000006527	ENSRNOG00000006527	79212	Slc6a1	SLC6A1	NA	6529	Slc6a1	232333	RGD
transcript-rna-seq	ENSRNOG00000006532	ENSRNOG00000006532	117056	H3f3b	H3-3B	NA	3021	H3f3b	15081	RGD
transcript-rna-seq	ENSRNOG00000006534	ENSRNOG00000006534	297498	Crbn	CRBN	NA	51185	Crbn	58799	RGD
transcript-rna-seq	ENSRNOG00000006539	ENSRNOG00000006539	311203	Pex16	PEX16	NA	9409	Pex16	18633	RGD
transcript-rna-seq	ENSRNOG00000006541	ENSRNOG00000006541	116555	Nup107	NUP107	NA	57122	Nup107	103468	RGD
transcript-rna-seq	ENSRNOG00000006542	ENSRNOG00000006542	170667	Atp6v0c	ATP6V0C	ENSG00000185883	527	Atp6v0c	11984	RGD
transcript-rna-seq	ENSRNOG00000006543	ENSRNOG00000006543	192675	Bsnd	BSND	NA	7809	Bsnd	140475	RGD
transcript-rna-seq	ENSRNOG00000006545	ENSRNOG00000006545	64551	Septin7	SEPTIN7	NA	989	Septin7	235072	RGD
transcript-rna-seq	ENSRNOG00000006548	ENSRNOG00000006548	498011	Mrc2	MRC2	NA	9902	Mrc2	17534	RGD
transcript-rna-seq	ENSRNOG00000006549	ENSRNOG00000006549	100362205	Fndc9	FNDC9	NA	408263	Fndc9	320116	RGD
transcript-rna-seq	ENSRNOG00000006551	ENSRNOG00000006551	304653	Dcaf15	DCAF15	NA	90379	Dcaf15	212123	RGD
transcript-rna-seq	ENSRNOG00000006553	ENSRNOG00000006553	298189	Bnc2	BNC2	NA	54796	Bnc2	242509	RGD
transcript-rna-seq	ENSRNOG00000006554	ENSRNOG00000006554	289900	Fam149b1	FAM149B1	NA	317662	Fam149b	105428	RGD
transcript-rna-seq	ENSRNOG00000006557	ENSRNOG00000006557	303073	Cyfip2	CYFIP2	NA	26999	Cyfip2	76884	RGD
transcript-rna-seq	ENSRNOG00000006559	ENSRNOG00000006559	116633	Akap8	AKAP8	NA	10270	Akap8	56399	RGD
transcript-rna-seq	ENSRNOG00000006565	ENSRNOG00000006565	303130	Fstl4	FSTL4	NA	23105	Fstl4	320027	RGD
transcript-rna-seq	ENSRNOG00000006569	ENSRNOG00000006569	362800	Itgb8	ITGB8	NA	3696	Itgb8	320910	RGD
transcript-rna-seq	ENSRNOG00000006570	ENSRNOG00000006570	314249	Plekhg3	PLEKHG3	NA	26030	Plekhg3	263406	RGD
transcript-rna-seq	ENSRNOG00000006575	ENSRNOG00000006575	289716	Ccdc96	CCDC96	NA	257236	Ccdc96	66717	RGD
transcript-rna-seq	ENSRNOG00000006576	ENSRNOG00000006576	362426	Bms1	BMS1	NA	9790	Bms1	213895	RGD
transcript-rna-seq	ENSRNOG00000006577	ENSRNOG00000006577	300408	Olr1147	OR7G2	ENSG00000170923	390882	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000006578	ENSRNOG00000006578	24610	Odf1	ODF1	NA	4956	Odf1	18285	RGD
transcript-rna-seq	ENSRNOG00000006579	ENSRNOG00000006579	24620	Reg3g	REG3G	NA	130120	Reg3g	19695	RGD
transcript-rna-seq	ENSRNOG00000006582	ENSRNOG00000006582	259271	Aptx	APTX	NA	54840	Aptx	66408	RGD
transcript-rna-seq	ENSRNOG00000006583	ENSRNOG00000006583	58962	Hpgds	HPGDS	NA	27306	Hpgds	54486	RGD
transcript-rna-seq	ENSRNOG00000006584	ENSRNOG00000006584	NA	Olr1148	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000006587	ENSRNOG00000006587	299295	Setd3	SETD3	ENSG00000183576	84193	Setd3	52690	RGD
transcript-rna-seq	ENSRNOG00000006588	ENSRNOG00000006588	29279	Meox2	MEOX2	NA	4223	Meox2	17286	RGD
transcript-rna-seq	ENSRNOG00000006589	ENSRNOG00000006589	81683	Mif	MIF	ENSG00000240972	4282	Mif	17319	RGD
transcript-rna-seq	ENSRNOG00000006591	ENSRNOG00000006591	685169	Fam163b	FAM163B	NA	642968	Fam163b	109349	RGD
transcript-rna-seq	ENSRNOG00000006593	ENSRNOG00000006593	79563	Grpel1	GRPEL1	NA	80273	Grpel1	17713	RGD
transcript-rna-seq	ENSRNOG00000006595	ENSRNOG00000006595	79246	Htr3a	HTR3A	NA	3359	Htr3a	15561	RGD
transcript-rna-seq	ENSRNOG00000006599	ENSRNOG00000006599	NA	NA	MIF	ENSG00000240972	4282	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000006600	ENSRNOG00000006600	360663	Unk	UNK	NA	85451	Unk	217331	RGD
transcript-rna-seq	ENSRNOG00000006604	ENSRNOG00000006604	24832	Thy1	THY1	NA	7070	Thy1	21838	RGD
transcript-rna-seq	ENSRNOG00000006608	ENSRNOG00000006608	500384	Tmem70	TMEM70	NA	54968	Tmem70	70397	RGD
transcript-rna-seq	ENSRNOG00000006611	ENSRNOG00000006611	311111	Nostrin	NOSTRIN	NA	115677	Nostrin	329416	RGD
transcript-rna-seq	ENSRNOG00000006612	ENSRNOG00000006612	108348082	Map2k3	MAP2K3	ENSG00000034152	5606	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000006612	ENSRNOG00000006612	303200	Map2k3	MAP2K3	ENSG00000034152	5606	Map2k3	26397	RGD
transcript-rna-seq	ENSRNOG00000006612	ENSRNOG00000006612	108348082	LOC108348082	MAP2K3	ENSG00000034152	5606	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000006612	ENSRNOG00000006612	303200	LOC108348082	MAP2K3	ENSG00000034152	5606	Map2k3	26397	RGD
transcript-rna-seq	ENSRNOG00000006615	ENSRNOG00000006615	298227	Mtap	MTAP	NA	4507	Mtap	66902	RGD
transcript-rna-seq	ENSRNOG00000006617	ENSRNOG00000006617	NA	NA	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000006619	ENSRNOG00000006619	364240	Dnajc9	DNAJC9	NA	23234	Dnajc9	108671	RGD
transcript-rna-seq	ENSRNOG00000006620	ENSRNOG00000006620	301086	Xcr1	XCR1	NA	2829	Xcr1	23832	RGD
transcript-rna-seq	ENSRNOG00000006622	ENSRNOG00000006622	299691	Cry1	CRY1	NA	1407	Cry1	12952	RGD
transcript-rna-seq	ENSRNOG00000006623	ENSRNOG00000006623	295629	Cd302	CD302	NA	9936	Cd302	66205	RGD
transcript-rna-seq	ENSRNOG00000006625	ENSRNOG00000006625	NA	Phb-ps1	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000006628	ENSRNOG00000006628	297682	Dusp16	DUSP16	NA	80824	Dusp16	70686	RGD
transcript-rna-seq	ENSRNOG00000006631	ENSRNOG00000006631	296789	Sema3e	SEMA3E	NA	9723	Sema3e	20349	RGD
transcript-rna-seq	ENSRNOG00000006632	ENSRNOG00000006632	501560	Rps6ka3	RPS6KA3	NA	6197	Rps6ka3	110651	RGD
transcript-rna-seq	ENSRNOG00000006636	ENSRNOG00000006636	297911	Otud6b	OTUD6B	NA	51633	Otud6b	72201	RGD
transcript-rna-seq	ENSRNOG00000006637	ENSRNOG00000006637	405955	Olr720	OR4A47	NA	403253	Olfr1256	258985	RGD
transcript-rna-seq	ENSRNOG00000006639	ENSRNOG00000006639	78956	Scn9a	SCN9A	NA	6335	Scn9a	20274	RGD
transcript-rna-seq	ENSRNOG00000006641	ENSRNOG00000006641	25699	Dbh	DBH	NA	1621	Dbh	13166	RGD
transcript-rna-seq	ENSRNOG00000006642	ENSRNOG00000006642	363476	Yipf6	YIPF6	NA	286451	Yipf6	77929	RGD
transcript-rna-seq	ENSRNOG00000006644	ENSRNOG00000006644	298144	Kdm4c	KDM4C	NA	23081	Kdm4c	76804	RGD
transcript-rna-seq	ENSRNOG00000006645	ENSRNOG00000006645	170546	Ryr3	RYR3	NA	6263	Ryr3	20192	RGD
transcript-rna-seq	ENSRNOG00000006646	ENSRNOG00000006646	362374	Vopp1	VOPP1	NA	81552	Vopp1	232023	RGD
transcript-rna-seq	ENSRNOG00000006649	ENSRNOG00000006649	24831	Thrb	THRB	NA	7068	Thrb	21834	RGD
transcript-rna-seq	ENSRNOG00000006652	ENSRNOG00000006652	84474	Ddx1	DDX1	NA	1653	Ddx1	104721	RGD
transcript-rna-seq	ENSRNOG00000006653	ENSRNOG00000006653	170573	Slc38a4	SLC38A4	NA	55089	Slc38a4	69354	RGD
transcript-rna-seq	ENSRNOG00000006654	ENSRNOG00000006654	NA	Olr721	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000006655	ENSRNOG00000006655	60376	Plrg1	PLRG1	NA	5356	Plrg1	53317	RGD
transcript-rna-seq	ENSRNOG00000006658	ENSRNOG00000006658	500537	Tmem269	TMEM269	NA	100129924	Tmem269	75180	RGD
transcript-rna-seq	ENSRNOG00000006661	ENSRNOG00000006661	497976	Rad51c	RAD51C	NA	5889	Rad51c	114714	RGD
transcript-rna-seq	ENSRNOG00000006663	ENSRNOG00000006663	115771	Usp2	USP2	NA	9099	Usp2	53376	RGD
transcript-rna-seq	ENSRNOG00000006669	ENSRNOG00000006669	366114	Olr722	OR4C46	NA	119749	Olfr1258	258980	RGD
transcript-rna-seq	ENSRNOG00000006670	ENSRNOG00000006670	501555	Rai2	RAI2	NA	10742	Rai2	24004	RGD
transcript-rna-seq	ENSRNOG00000006674	ENSRNOG00000006674	287534	Rflnb	RFLNB	NA	359845	Rflnb	76566	RGD
transcript-rna-seq	ENSRNOG00000006675	ENSRNOG00000006675	24360	Fabp1	FABP1	NA	2168	Fabp1	14080	RGD
transcript-rna-seq	ENSRNOG00000006681	ENSRNOG00000006681	353252	Rdh10	RDH10	NA	157506	Rdh10	98711	RGD
transcript-rna-seq	ENSRNOG00000006684	ENSRNOG00000006684	500950	Zfp317	ZNF317	NA	57693	Zfp317	244713	RGD
transcript-rna-seq	ENSRNOG00000006689	ENSRNOG00000006689	312974	Chd7	CHD7	NA	55636	Chd7	320790	RGD
transcript-rna-seq	ENSRNOG00000006695	ENSRNOG00000006695	60383	Rbck1	RBCK1	NA	10616	Rbck1	24105	RGD
transcript-rna-seq	ENSRNOG00000006697	ENSRNOG00000006697	362490	Pip4p2	PIP4P2	NA	55529	Pip4p2	72519	RGD
transcript-rna-seq	ENSRNOG00000006698	ENSRNOG00000006698	317580	Rab33a	RAB33A	NA	9363	Rab33a	19337	RGD
transcript-rna-seq	ENSRNOG00000006699	ENSRNOG00000006699	314320	Mlh3	MLH3	NA	27030	Mlh3	217716	RGD
transcript-rna-seq	ENSRNOG00000006700	ENSRNOG00000006700	362914	Wdyhv1	WDYHV1	NA	55093	Wdyhv1	76773	RGD
transcript-rna-seq	ENSRNOG00000006703	ENSRNOG00000006703	500108	Zfp398	ZNF398	NA	57541	Zfp398	272347	RGD
transcript-rna-seq	ENSRNOG00000006705	ENSRNOG00000006705	311456	Mkks	MKKS	NA	8195	Mkks	59030	RGD
transcript-rna-seq	ENSRNOG00000006706	ENSRNOG00000006706	366115	Olr724	OR4C12	NA	283093	Olfr1255	258979	RGD
transcript-rna-seq	ENSRNOG00000006709	ENSRNOG00000006709	NA	Pzp	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000006711	ENSRNOG00000006711	297066	Zfp212	ZNF212	NA	7988	Zfp212	232784	RGD
transcript-rna-seq	ENSRNOG00000006713	ENSRNOG00000006713	NA	NA	PCBP2	ENSG00000197111	5094	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000006715	ENSRNOG00000006715	57301	Ccr1	CCR1	ENSG00000163823	1230	Ccr1	12768	RGD
transcript-rna-seq	ENSRNOG00000006716	ENSRNOG00000006716	311180	Olr725	OR4C5	NA	79346	Olfr1260	258983	RGD
transcript-rna-seq	ENSRNOG00000006717	ENSRNOG00000006717	312667	Ankrd26	ANKRD26	NA	22852	Ankrd26	232339	RGD
transcript-rna-seq	ENSRNOG00000006718	ENSRNOG00000006718	362297	Rbm33	RBM33	NA	155435	Rbm33	381626	RGD
transcript-rna-seq	ENSRNOG00000006719	ENSRNOG00000006719	313253	Zfp618	ZNF618	NA	114991	Zfp618	72701	RGD
transcript-rna-seq	ENSRNOG00000006720	ENSRNOG00000006720	81761	Rnpep	RNPEP	NA	6051	Rnpep	215615	RGD
transcript-rna-seq	ENSRNOG00000006721	ENSRNOG00000006721	NA	NA	CNTLN	ENSG00000044459	54875	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000006723	ENSRNOG00000006723	315744	Itga11	ITGA11	NA	22801	Itga11	319480	RGD
transcript-rna-seq	ENSRNOG00000006726	ENSRNOG00000006726	100158232	Zfp9	ZNF25	NA	219749	Zfp9	22750	RGD
transcript-rna-seq	ENSRNOG00000006727	ENSRNOG00000006727	366619	Dtd2	DTD2	NA	112487	Dtd2	328092	RGD
transcript-rna-seq	ENSRNOG00000006729	ENSRNOG00000006729	314396	Slc24a4	SLC24A4	NA	123041	Slc24a4	238384	RGD
transcript-rna-seq	ENSRNOG00000006730	ENSRNOG00000006730	301088	Ccr1l1	CCR1	ENSG00000163823	1230	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000006731	ENSRNOG00000006731	295661	Spc25	SPC25	NA	57405	Spc25	66442	RGD
transcript-rna-seq	ENSRNOG00000006732	ENSRNOG00000006732	366261	Spo11	SPO11	NA	23626	Spo11	26972	RGD
transcript-rna-seq	ENSRNOG00000006733	ENSRNOG00000006733	360840	Srgap2	SRGAP2	NA	23380	Srgap2	14270	RGD
transcript-rna-seq	ENSRNOG00000006734	ENSRNOG00000006734	305711	Olr1606	OR2T1	NA	26696	Olfr31	18330	RGD
transcript-rna-seq	ENSRNOG00000006735	ENSRNOG00000006735	25164	Cdkn2b	CDKN2B	NA	1030	Cdkn2b	12579	RGD
transcript-rna-seq	ENSRNOG00000006736	ENSRNOG00000006736	117027	Ccr3	CCR3	NA	1232	Ccr3	12771	RGD
transcript-rna-seq	ENSRNOG00000006738	ENSRNOG00000006738	171043	Fbxo32	FBXO32	NA	114907	Fbxo32	67731	RGD
transcript-rna-seq	ENSRNOG00000006740	ENSRNOG00000006740	360969	Castor1	CASTOR1	NA	652968	Castor1	71962	RGD
transcript-rna-seq	ENSRNOG00000006741	ENSRNOG00000006741	288907	Podnl1	PODNL1	NA	79883	Podnl1	244550	RGD
transcript-rna-seq	ENSRNOG00000006744	ENSRNOG00000006744	299203	Acyp1	ACYP1	NA	97	Acyp1	66204	RGD
transcript-rna-seq	ENSRNOG00000006746	ENSRNOG00000006746	364275	Olr1607	OR2T6	NA	254879	Olfr720	258387	RGD
transcript-rna-seq	ENSRNOG00000006747	ENSRNOG00000006747	288908	Cc2d1a	CC2D1A	NA	54862	Cc2d1a	212139	RGD
transcript-rna-seq	ENSRNOG00000006749	ENSRNOG00000006749	314785	Tmtc3	TMTC3	NA	160418	Tmtc3	237500	RGD
transcript-rna-seq	ENSRNOG00000006751	ENSRNOG00000006751	289924	Psmd6	PSMD6	NA	9861	Psmd6	66413	RGD
transcript-rna-seq	ENSRNOG00000006753	ENSRNOG00000006753	366189	Tgm3	TGM3	NA	7053	Tgm3	21818	RGD
transcript-rna-seq	ENSRNOG00000006756	ENSRNOG00000006756	84469	Maged1	MAGED1	NA	9500	Maged1	94275	RGD
transcript-rna-seq	ENSRNOG00000006759	ENSRNOG00000006759	299639	Ankrd24	ANKRD24	NA	170961	Ankrd24	70615	RGD
transcript-rna-seq	ENSRNOG00000006761	ENSRNOG00000006761	116743	Sh3gl2	SH3GL2	NA	6456	Sh3gl2	20404	RGD
transcript-rna-seq	ENSRNOG00000006762	ENSRNOG00000006762	100359574	Snu13	SNU13	ENSG00000100138	4809	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000006762	ENSRNOG00000006762	300092	Snu13	SNU13	ENSG00000100138	4809	Snu13	20826	RGD
transcript-rna-seq	ENSRNOG00000006762	ENSRNOG00000006762	100359574	LOC100359574	SNU13	ENSG00000100138	4809	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000006762	ENSRNOG00000006762	300092	LOC100359574	SNU13	ENSG00000100138	4809	Snu13	20826	RGD
transcript-rna-seq	ENSRNOG00000006763	ENSRNOG00000006763	311902	Rbm18	RBM18	NA	92400	Rbm18	67889	RGD
transcript-rna-seq	ENSRNOG00000006766	ENSRNOG00000006766	315047	Laptm4b	LAPTM4B	NA	55353	Laptm4b	114128	RGD
transcript-rna-seq	ENSRNOG00000006767	ENSRNOG00000006767	296257	Cst7	CST7	NA	8530	Cst7	13011	RGD
transcript-rna-seq	ENSRNOG00000006770	ENSRNOG00000006770	362844	Brd4	BRD4	NA	23476	Brd4	57261	RGD
transcript-rna-seq	ENSRNOG00000006771	ENSRNOG00000006771	366116	Olr729	OR4C3	NA	256144	Olfr1264	258206	RGD
transcript-rna-seq	ENSRNOG00000006776	ENSRNOG00000006776	297333	Smyd1	SMYD1	NA	150572	Smyd1	12180	RGD
transcript-rna-seq	ENSRNOG00000006778	ENSRNOG00000006778	304608	Mmp19	MMP19	NA	4327	Mmp19	58223	RGD
transcript-rna-seq	ENSRNOG00000006779	ENSRNOG00000006779	83842	Crot	CROT	NA	54677	Crot	74114	RGD
transcript-rna-seq	ENSRNOG00000006782	ENSRNOG00000006782	500157	RGD1560028	QRFPR	ENSG00000186867	84109	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000006783	ENSRNOG00000006783	311029	Neb	NEB	NA	4703	Neb	17996	RGD
transcript-rna-seq	ENSRNOG00000006784	ENSRNOG00000006784	29745	Sema4f	SEMA4F	NA	10505	Sema4f	20355	RGD
transcript-rna-seq	ENSRNOG00000006785	ENSRNOG00000006785	364050	Dcaf8	DCAF8	NA	50717	Dcaf8	98193	RGD
transcript-rna-seq	ENSRNOG00000006787	ENSRNOG00000006787	298298	Dhcr24	DHCR24	NA	1718	Dhcr24	74754	RGD
transcript-rna-seq	ENSRNOG00000006789	ENSRNOG00000006789	29467	Ddit3	DDIT3	NA	1649	Ddit3	13198	RGD
transcript-rna-seq	ENSRNOG00000006792	ENSRNOG00000006792	315423	Cep57	CEP57	NA	9702	Cep57	74360	RGD
transcript-rna-seq	ENSRNOG00000006795	ENSRNOG00000006795	366227	Apmap	APMAP	NA	57136	Apmap	71881	RGD
transcript-rna-seq	ENSRNOG00000006796	ENSRNOG00000006796	687516	Zfp146	ZNF146	ENSG00000167635	7705	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000006796	ENSRNOG00000006796	102555183	Zfp146	ZNF146	ENSG00000167635	7705	Zfp146	26465	RGD
transcript-rna-seq	ENSRNOG00000006796	ENSRNOG00000006796	687516	LOC102555183	ZNF146	ENSG00000167635	7705	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000006796	ENSRNOG00000006796	102555183	LOC102555183	ZNF146	ENSG00000167635	7705	Zfp146	26465	RGD
transcript-rna-seq	ENSRNOG00000006797	ENSRNOG00000006797	302812	Zfp280c	ZNF280C	NA	55609	Zfp280c	208968	RGD
transcript-rna-seq	ENSRNOG00000006800	ENSRNOG00000006800	362518	Pgap4	PGAP4	NA	84302	Tmem246	67063	RGD
transcript-rna-seq	ENSRNOG00000006802	ENSRNOG00000006802	500280	Lrrn1	LRRN1	NA	57633	Lrrn1	16979	RGD
transcript-rna-seq	ENSRNOG00000006803	ENSRNOG00000006803	295690	Dnajc10	DNAJC10	NA	54431	Dnajc10	66861	RGD
transcript-rna-seq	ENSRNOG00000006804	ENSRNOG00000006804	683514	Ppp1r42	PPP1R42	NA	286187	Ppp1r42	69312	RGD
transcript-rna-seq	ENSRNOG00000006806	ENSRNOG00000006806	500281	Setmar	SETMAR	NA	6419	Setmar	74729	RGD
transcript-rna-seq	ENSRNOG00000006807	ENSRNOG00000006807	24190	Aldob	ALDOB	NA	229	Aldob	230163	RGD
transcript-rna-seq	ENSRNOG00000006810	ENSRNOG00000006810	362375	Lancl2	LANCL2	NA	55915	Lancl2	71835	RGD
transcript-rna-seq	ENSRNOG00000006813	ENSRNOG00000006813	362409	Sumf1	SUMF1	NA	285362	Sumf1	58911	RGD
transcript-rna-seq	ENSRNOG00000006814	ENSRNOG00000006814	689885	Klrg2	KLRG2	NA	346689	Klrg2	74253	RGD
transcript-rna-seq	ENSRNOG00000006816	ENSRNOG00000006816	117060	Ubr5	UBR5	NA	51366	Ubr5	70790	RGD
transcript-rna-seq	ENSRNOG00000006818	ENSRNOG00000006818	66028	Arl6ip5	ARL6IP5	NA	10550	Arl6ip5	65106	RGD
transcript-rna-seq	ENSRNOG00000006819	ENSRNOG00000006819	NA	Olr731	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000006824	ENSRNOG00000006824	297453	Hdac11	HDAC11	NA	79885	Hdac11	232232	RGD
transcript-rna-seq	ENSRNOG00000006827	ENSRNOG00000006827	NA	Tmem198b	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000006828	ENSRNOG00000006828	314126	Baz1a	BAZ1A	NA	11177	Baz1a	217578	RGD
transcript-rna-seq	ENSRNOG00000006829	ENSRNOG00000006829	NA	NA	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000006830	ENSRNOG00000006830	296152	Tgm6	TGM6	NA	343641	Tgm6	241636	RGD
transcript-rna-seq	ENSRNOG00000006831	ENSRNOG00000006831	25154	Pgr	PGR	NA	5241	Pgr	18667	RGD
transcript-rna-seq	ENSRNOG00000006832	ENSRNOG00000006832	362156	Zdhhc5	ZDHHC5	NA	25921	Zdhhc5	228136	RGD
transcript-rna-seq	ENSRNOG00000006833	ENSRNOG00000006833	312927	Rb1cc1	RB1CC1	NA	9821	Rb1cc1	12421	RGD
transcript-rna-seq	ENSRNOG00000006839	ENSRNOG00000006839	117050	Arl5a	ARL5A	NA	26225	Arl5a	75423	RGD
transcript-rna-seq	ENSRNOG00000006841	ENSRNOG00000006841	299714	Ano4	ANO4	NA	121601	Ano4	320091	RGD
transcript-rna-seq	ENSRNOG00000006844	ENSRNOG00000006844	114481	Dnajc14	DNAJC14	NA	85406	Dnajc14	74330	RGD
transcript-rna-seq	ENSRNOG00000006845	ENSRNOG00000006845	289720	Psapl1	PSAPL1	NA	768239	Psapl1	76943	RGD
transcript-rna-seq	ENSRNOG00000006846	ENSRNOG00000006846	499964	En2	EN2	NA	2020	En2	13799	RGD
transcript-rna-seq	ENSRNOG00000006850	ENSRNOG00000006850	296201	Ovol2	OVOL2	NA	58495	Ovol2	107586	RGD
transcript-rna-seq	ENSRNOG00000006853	ENSRNOG00000006853	286973	Elavl2	ELAVL2	NA	1993	Elavl2	15569	RGD
transcript-rna-seq	ENSRNOG00000006855	ENSRNOG00000006855	29512	Padi4	PADI4	NA	23569	Padi4	18602	RGD
transcript-rna-seq	ENSRNOG00000006857	ENSRNOG00000006857	NA	NA	NDNF	ENSG00000173376	79625	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000006858	ENSRNOG00000006858	502782	Pigy	PYURF	NA	100996939	Pyurf	66459	RGD
transcript-rna-seq	ENSRNOG00000006859	ENSRNOG00000006859	64194	Insig1	INSIG1	ENSG00000186480	3638	Insig1	231070	RGD
transcript-rna-seq	ENSRNOG00000006860	ENSRNOG00000006860	363577	Itk	ITK	NA	3702	Itk	16428	RGD
transcript-rna-seq	ENSRNOG00000006864	ENSRNOG00000006864	117521	Scaper	SCAPER	NA	49855	Scaper	244891	RGD
transcript-rna-seq	ENSRNOG00000006865	ENSRNOG00000006865	298875	Laptm4a	LAPTM4A	NA	9741	Laptm4a	17775	RGD
transcript-rna-seq	ENSRNOG00000006867	ENSRNOG00000006867	362733	Etv1	ETV1	NA	2115	Etv1	14009	RGD
transcript-rna-seq	ENSRNOG00000006868	ENSRNOG00000006868	303478	Ube2z	UBE2Z	NA	65264	Ube2z	268470	RGD
transcript-rna-seq	ENSRNOG00000006870	ENSRNOG00000006870	170910	Mtdh	MTDH	NA	92140	Mtdh	67154	RGD
transcript-rna-seq	ENSRNOG00000006871	ENSRNOG00000006871	85263	Slc25a14	SLC25A14	NA	9016	Slc25a14	20523	RGD
transcript-rna-seq	ENSRNOG00000006873	ENSRNOG00000006873	25633	Dnase1	DNASE1	NA	1773	Dnase1	13419	RGD
transcript-rna-seq	ENSRNOG00000006874	ENSRNOG00000006874	81644	Opn1sw	OPN1SW	NA	611	Opn1sw	12057	RGD
transcript-rna-seq	ENSRNOG00000006876	ENSRNOG00000006876	81710	Msx1	MSX1	NA	4487	Msx1	17701	RGD
transcript-rna-seq	ENSRNOG00000006877	ENSRNOG00000006877	25186	Efnb1	EFNB1	NA	1947	Efnb1	13641	RGD
transcript-rna-seq	ENSRNOG00000006878	ENSRNOG00000006878	114629	Slc26a3	SLC26A3	NA	1811	Slc26a3	13487	RGD
transcript-rna-seq	ENSRNOG00000006884	ENSRNOG00000006884	499836	RGD1563263	C11orf94	NA	143678	1700029I15Rik	75641	RGD
transcript-rna-seq	ENSRNOG00000006885	ENSRNOG00000006885	541457	Dbx2	DBX2	NA	440097	Dbx2	223843	RGD
