gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,indirect_association.diseaseId,indirect_association.score,direct_association.diseaseId,direct_association.score,indirect_association.disease,direct_association.disease,ensembl_ID
FABP4,2,BAT,SKM-VL,"","","","",EFO_0001444,0.304055948280106,EFO_0010914,0.288734272486761,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"fatty acid-binding protein, adipocyte measurement: Quantification of the amount of fatty acid-binding protein, adipocyte in a sample",ENSG00000170323
CYB5B,2,BAT,HEART,"","","","",EFO_0001444,0.303693824215208,EFO_0006335,0.227564615536785,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,systolic blood pressure: The blood pressure during the contraction of the left ventricle of the heart.,ENSG00000103018
HDLBP,2,BLOOD,COLON,"","","","",EFO_0001444,0.303642817437738,EFO_0007789,0.26054084716642,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,BMI-adjusted waist circumference: waist circumference measurement that has been adjusted by subjects’ body mass index,ENSG00000115677
JUND,2,SKM-GN,WAT-SC,"","","","",EFO_0001444,0.303490594976723,EFO_0004842,0.265060222538543,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"eosinophil count: The number of granulocytes (polymorphonuclear leukocytes) in a specified volume of blood, usually 1 cubic millimeter.",ENSG00000130522
CYP4B1,2,BAT,LUNG,"","","","",EFO_0000616,0.302563043801866,EFO_0000389,0.259362626819472,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","cutaneous melanoma: A primary melanoma arising from atypical melanocytes in the skin. Precursor lesions include acquired and congenital melanocytic nevi, and dysplastic nevi. Several histologic variants have been recognized, including superficial spreading melanoma, acral lentiginous melanoma, nodular melanoma, and lentigo maligna melanoma.",ENSG00000142973
DNHD1,2,ADRNL,BLOOD,"","","","",EFO_0000651,0.301412903709523,EFO_0003108,0.258705898279291,"phenotype: The observable form taken by some character (or group of characters) in an individual or an organism, excluding pathology and disease.  The detectable outward manifestations of a specific genotype.","essential tremor: A relatively common disorder characterized by a fairly specific pattern of tremors which are most prominent in the upper extremities and neck, inducing titubations of the head. The tremor is usually mild, but when severe may be disabling. An autosomal dominant pattern of inheritance may occur in some families (i.e., familial tremor). (Mov Disord 1988;13(1):5-10)",ENSG00000179532
TIMELESS,2,COLON,SPLEEN,"","","","",MONDO_0023370,0.300873278114897,EFO_0000304,0.25145844994545,neoplastic disease or syndrome: Either an isolated neoplasm or a syndrome with neoplasm as a major feature.,breast adenocarcinoma: A carcinoma that arises from glandular epithelial cells of the breast,ENSG00000111602
MPC2,2,BAT,SKM-VL,"","","","",EFO_0001444,0.300693609416991,EFO_0004696,0.299163398800339,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"sex hormone-binding globulin measurement: Is a quantification of sex hormone binding globulin. In men the test is used in when investigating testosterone deficiency.  The SHBG glycoprotein binds to circulating estradiol and testosterone, low levels of SHBG may be implicated in breast cancer etiology.",ENSG00000143158
USP4,2,BLOOD,HEART,"","","","",EFO_0000616,0.299538350223133,MONDO_0008170,0.230987409177939,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","ovarian cancer: A primary or metastatic malignant neoplasm involving the ovary. Most primary malignant ovarian neoplasms are either carcinomas (serous, mucinous, or endometrioid adenocarcinomas) or malignant germ cell tumors. Metastatic malignant neoplasms to the ovary include carcinomas, lymphomas, and melanomas.",ENSG00000114316
CREG1,2,BLOOD,WAT-SC,"","","","",EFO_0001444,0.298780133440091,EFO_0007937,0.263686114904701,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,blood protein measurement: quantification of the levels of some protein in a blood sample,ENSG00000143162
DLG1,2,ADRNL,HEART,"","","","",EFO_0000616,0.297925287623594,MONDO_0024622,0.263068993785986,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","thyroid gland adenocarcinoma: An adenocarcinoma arising from the follicular cells of the thyroid gland. According to the degree of differentiation, it is classified either as differentiated carcinoma (extensive evidence of follicular cell differentiation), or poorly differentiated carcinoma (limited evidence of follicular cell differentiation).",ENSG00000075711
ESPL1,2,BLOOD,SKM-VL,"","","","",EFO_0001444,0.297720355107021,EFO_0003923,0.220460383756973,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"bone density: The amount of mineral per square centimeter of BONE. This is the definition used in clinical practice. Actual bone density would be expressed in grams per milliliter. It is most frequently measured by X-RAY ABSORPTIOMETRY or TOMOGRAPHY, X RAY COMPUTED. Bone density is an important predictor for OSTEOPOROSIS.",ENSG00000135476
CDV3,2,BLOOD,HEART,"","","","",EFO_0001444,0.297570932659564,EFO_0010750,0.264046217670531,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"PHF-tau measurement: Quantification of amount of tau, in the form of paired helical filaments, in a sample",ENSG00000091527
FIS1,2,BLOOD,COLON,"","","","",EFO_0001444,0.29646688540611,EFO_0004587,0.284185219647938,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,lymphocyte count: A quantification of lymphocytes in blood.,ENSG00000214253
MARCHF2,2,ADRNL,BLOOD,"","","","",EFO_0001444,0.294033663367933,EFO_0004526,0.257701764911804,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,mean corpuscular volume: A mean corpuscular volume is the result of calculation of the mean volume of erythrocytes in a blood sample.,ENSG00000099785
GNG5,2,HEART,SKM-VL,"","","","",EFO_0000616,0.293186494278539,EFO_0000519,0.282126335914558,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","glioblastoma multiforme: The most malignant astrocytic tumor (WHO grade IV). It is composed of poorly differentiated neoplastic astrocytes and it is characterized by the presence of cellular polymorphism, nuclear atypia, brisk mitotic activity, vascular thrombosis, microvascular proliferation and necrosis. It typically affects adults and is preferentially located in the cerebral hemispheres. It may develop from diffuse astrocytoma WHO grade II or anaplastic astrocytoma (secondary glioblastoma, IDH-mutant), but more frequently, it manifests after a short clinical history de novo, without evidence of a less malignant precursor lesion (primary glioblastoma, IDH- wildtype). (Adapted from WHO)",ENSG00000174021
PRKAG1,2,HEART,SPLEEN,"","","","",MONDO_0045024,0.289665118286871,EFO_0000181,0.241367735973578,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.","head and neck squamous cell carcinoma: A squamous cell carcinoma that arises from any of the following anatomic sites: lip and oral cavity, nasal cavity, paranasal sinuses, pharynx, larynx, and salivary glands.",ENSG00000181929
FKBP8,2,BAT,BLOOD,"","","","",EFO_0000616,0.287133546462926,EFO_0000519,0.233666863124403,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","glioblastoma multiforme: The most malignant astrocytic tumor (WHO grade IV). It is composed of poorly differentiated neoplastic astrocytes and it is characterized by the presence of cellular polymorphism, nuclear atypia, brisk mitotic activity, vascular thrombosis, microvascular proliferation and necrosis. It typically affects adults and is preferentially located in the cerebral hemispheres. It may develop from diffuse astrocytoma WHO grade II or anaplastic astrocytoma (secondary glioblastoma, IDH-mutant), but more frequently, it manifests after a short clinical history de novo, without evidence of a less malignant precursor lesion (primary glioblastoma, IDH- wildtype). (Adapted from WHO)",ENSG00000105701
TIMM23,2,BLOOD,COLON,"","","","",EFO_0000616,0.286753841825324,EFO_0002618,0.191368447723015,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",pancreatic carcinoma: A carcinoma that arises from epithelial cells of the exocrine pancreas,ENSG00000265354
LYVE1,2,ADRNL,BAT,"","","","",EFO_0001444,0.286545724305357,EFO_0005091,0.209330555244755,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,monocyte count: quantification of monocytes in the blood,ENSG00000133800
ART1,2,SKM-GN,SKM-VL,"","","","",EFO_0000616,0.286222345178867,EFO_0000389,0.221492464504183,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","cutaneous melanoma: A primary melanoma arising from atypical melanocytes in the skin. Precursor lesions include acquired and congenital melanocytic nevi, and dysplastic nevi. Several histologic variants have been recognized, including superficial spreading melanoma, acral lentiginous melanoma, nodular melanoma, and lentigo maligna melanoma.",ENSG00000129744
L3MBTL2,2,ADRNL,COLON,"","","","",EFO_0000616,0.285816442692364,EFO_0005192,0.236874567645483,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",red blood cell distribution width: measure of the variation of red blood cell (RBC) volume,ENSG00000100395
TECPR1,2,ADRNL,COLON,"","","","",EFO_0001444,0.285581061293397,HP_0002575,0.258705898279291,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,Tracheoesophageal fistula: An abnormal connection (fistula) between the esophagus and the trachea.,ENSG00000205356
IQGAP3,2,BAT,BLOOD,"","","","",EFO_0001444,0.285311344709056,EFO_0004747,0.217040834144308,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"protein measurement: This is a general class for any measurement of a protein. Do not annotate to this class, request a more specific child term.",ENSG00000183856
TIMP1,2,BAT,KIDNEY,"","","","",MONDO_0045024,0.284607604890599,EFO_0000181,0.19206751159075,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.","head and neck squamous cell carcinoma: A squamous cell carcinoma that arises from any of the following anatomic sites: lip and oral cavity, nasal cavity, paranasal sinuses, pharynx, larynx, and salivary glands.",ENSG00000102265
MANF,2,ADRNL,COLON,"","","","",EFO_0000616,0.283935480878347,EFO_0000304,0.245327438599808,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",breast adenocarcinoma: A carcinoma that arises from glandular epithelial cells of the breast,ENSG00000145050
SORBS3,2,HEART,SKM-VL,"","","","",EFO_0001444,0.28378442614805,EFO_0006336,0.226225558411532,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,diastolic blood pressure: The blood pressure after the contraction of the heart while the chambers of the heart refill with blood.,ENSG00000120896
SZRD1,2,ADRNL,SKM-VL,"","","","",EFO_0001444,0.283389288264637,EFO_0007800,0.221486749640173,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"body fat percentage: Quantification of the amount of body fat as a percentage of total body mass, calculated as either total mass of fat divided by total body mass or one of a number of more complex weighted equations. Body fat includes essential body fat and storage body fat. ",ENSG00000055070
MAN2B2,2,ADRNL,BAT,"","","","",EFO_0001444,0.282333939817188,EFO_0007937,0.282333939817188,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,blood protein measurement: quantification of the levels of some protein in a blood sample,ENSG00000013288
CDR2,2,BLOOD,LUNG,"","","","",EFO_0001444,0.281203535144461,EFO_0004339,0.272075147372112,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,body height: The distance from the sole to the crown of the head with body standing on a flat surface and fully extended.,ENSG00000140743
LRRC20,2,HEART,SKM-GN,"","","","",EFO_0001444,0.280254058931488,EFO_0005210,0.220424637029021,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,brain connectivity measurement: quantification of the pattern of links between distinct units within a nervous system through neuroimaging techniques such a MRI,ENSG00000172731
ATP5F1B,2,BAT,BLOOD,"","","","",EFO_0000616,0.280002785380619,EFO_0000305,0.186637826615774,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",breast carcinoma: A carcinoma that arises from epithelial cells of the breast,ENSG00000110955
NEDD8,2,BLOOD,COLON,"","","","",EFO_0000616,0.277216917360201,EFO_0004309,0.238854785154786,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",platelet count: The number of PLATELETS per unit volume in a sample of venous BLOOD.,ENSG00000129559
GIT2,2,SPLEEN,WAT-SC,"","","","",EFO_0001444,0.273518127994826,EFO_0006335,0.227143826522285,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,systolic blood pressure: The blood pressure during the contraction of the left ventricle of the heart.,ENSG00000139436
GPX1,2,ADRNL,SKM-VL,"","","","",EFO_0001379,0.273248821608075,EFO_0000389,0.228576231523495,"endocrine system disease: Pathological processes of the ENDOCRINE GLANDS, and diseases resulting from abnormal level of available HORMONES.","cutaneous melanoma: A primary melanoma arising from atypical melanocytes in the skin. Precursor lesions include acquired and congenital melanocytic nevi, and dysplastic nevi. Several histologic variants have been recognized, including superficial spreading melanoma, acral lentiginous melanoma, nodular melanoma, and lentigo maligna melanoma.",ENSG00000233276
ACAA2,2,BAT,HEART,"","","","",EFO_0001444,0.272948458684151,EFO_0004612,0.236073913372612,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,high density lipoprotein cholesterol measurement: The measurement of HDL cholesterol in blood used as a risk indicator for heart disease.,ENSG00000167315
DPP7,2,BAT,LIVER,"","","","",EFO_0001444,0.271263031175763,EFO_0007937,0.238228465959367,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,blood protein measurement: quantification of the levels of some protein in a blood sample,ENSG00000176978
UAP1L1,2,ADRNL,BAT,"","","","",EFO_0001444,0.270683113513044,EFO_0004612,0.204525440158773,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,high density lipoprotein cholesterol measurement: The measurement of HDL cholesterol in blood used as a risk indicator for heart disease.,ENSG00000197355
ATF3,2,COLON,SKM-GN,"","","","",EFO_0001444,0.269743978283252,EFO_0004305,0.160999706286341,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,erythrocyte count: The number of red blood cells per unit volume in a sample of venous blood.,ENSG00000162772
RETSAT,2,HEART,SKM-GN,"","","","",EFO_0001444,0.269667987531857,EFO_0007993,0.219088215084129,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"lymphocyte percentage of leukocytes: A calculated measurement in which the number of lymphocytes in a specified sample of blood is divided by the total number of white blood cells in the sample, and the result presented as a ratio, fraction, quotient or percentage. ",ENSG00000042445
PLET1,2,ADRNL,COLON,"","","","",EFO_0001444,0.267999579716179,EFO_0009270,0.243063747825013,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,heel bone mineral density: Quantification of the mineral density of the heel bone,ENSG00000188771
TPT1,2,BLOOD,KIDNEY,"","","","",MONDO_0045024,0.2669461505477,EFO_0004207,0.239678580960399,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.",pathological myopia: Excessive axial myopia associated with complications (especially posterior staphyloma and CHOROIDAL NEOVASCULARIZATION) that can lead to BLINDNESS.,ENSG00000133112
C6orf62,2,SKM-GN,SKM-VL,"","","","",EFO_0001444,0.263926547524428,EFO_0004340,0.238119573012908,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"body mass index: An indicator of body density as determined by the relationship of BODY WEIGHT to BODY HEIGHT. BMI=weight (kg)/height squared (m2). BMI correlates with body fat (ADIPOSE TISSUE). Their relationship varies with age and gender. For adults, BMI falls into these categories: below 18.5 (underweight); 18.5-24.9 (normal); 25.0-29.9 (overweight); 30.0 and above (obese). (National Center for Health Statistics, Centers for Disease Control and Prevention)",ENSG00000112308
FMNL1,2,LUNG,SPLEEN,"","","","",EFO_0001444,0.261710569088953,EFO_0004705,0.219826954993021,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,hypothyroidism: A deficiency of thyroid hormone.,ENSG00000184922
ASB16,2,SKM-GN,SKM-VL,"","","","",EFO_0001444,0.261305993989335,EFO_0004348,0.210790461686295,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"hematocrit: The volume of packed RED BLOOD CELLS in a blood specimen. The volume is measured by centrifugation in a tube with graduated markings, or with automated blood cell counters. It is an indicator of erythrocyte status in disease. For example, ANEMIA shows a low value; POLYCYTHEMIA, a high value.",ENSG00000161664
SLC25A39,2,BLOOD,SPLEEN,"","","","",EFO_0001444,0.26050416871691,EFO_0004842,0.225930106138182,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"eosinophil count: The number of granulocytes (polymorphonuclear leukocytes) in a specified volume of blood, usually 1 cubic millimeter.",ENSG00000013306
SLC50A1,2,ADRNL,COLON,"","","","",EFO_0001444,0.258688394364975,EFO_0004735,0.230150736812691,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"serum alanine aminotransferase measurement: Is a quantification of serum alanine aminotransferase, most commonly found in liver, the test is used in ascertainment of liver function.",ENSG00000169241
BNIP1,2,ADRNL,SKM-VL,"","","","",EFO_0004707,0.256661379415194,EFO_0004707,0.256661379415194,"infantile hypertrophic pyloric stenosis: This condition is caused by diffuse hypertrophy and hyperplasia of the smooth muscle of the antrum of the stomach and pylorus. It usually occurs in infants aged 2-8 weeks. The pyloric muscle hypertrophy results in narrowing of the pyloric canal, which can then become easily obstructed. Genetic studies have identified susceptibility loci for infantile hypertrophic pyloric stenosis (IHPS) and molecular studies have concluded that smooth muscle cells are not properly innervated in this condition.","infantile hypertrophic pyloric stenosis: This condition is caused by diffuse hypertrophy and hyperplasia of the smooth muscle of the antrum of the stomach and pylorus. It usually occurs in infants aged 2-8 weeks. The pyloric muscle hypertrophy results in narrowing of the pyloric canal, which can then become easily obstructed. Genetic studies have identified susceptibility loci for infantile hypertrophic pyloric stenosis (IHPS) and molecular studies have concluded that smooth muscle cells are not properly innervated in this condition.",ENSG00000113734
COX7C,2,BAT,SKM-VL,"","","","",EFO_0000616,0.255110194276421,EFO_0000519,0.230987409177939,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","glioblastoma multiforme: The most malignant astrocytic tumor (WHO grade IV). It is composed of poorly differentiated neoplastic astrocytes and it is characterized by the presence of cellular polymorphism, nuclear atypia, brisk mitotic activity, vascular thrombosis, microvascular proliferation and necrosis. It typically affects adults and is preferentially located in the cerebral hemispheres. It may develop from diffuse astrocytoma WHO grade II or anaplastic astrocytoma (secondary glioblastoma, IDH-mutant), but more frequently, it manifests after a short clinical history de novo, without evidence of a less malignant precursor lesion (primary glioblastoma, IDH- wildtype). (Adapted from WHO)",ENSG00000127184
SMTNL2,2,SKM-GN,SKM-VL,"","","","",EFO_0001444,0.253740203490383,EFO_0004842,0.2066261881737,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"eosinophil count: The number of granulocytes (polymorphonuclear leukocytes) in a specified volume of blood, usually 1 cubic millimeter.",ENSG00000188176
FAM151A,2,BAT,SKM-VL,"","","","",EFO_0001444,0.249969045707992,EFO_0008591,0.192491064341383,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,free cholesterol measurement: Quantification of the amount of free cholesterol in a sample.,ENSG00000162391
CARD19,2,SKM-GN,SKM-VL,"","","","",EFO_0002461,0.249334212233505,EFO_0005423,0.249334212233505,skeletal system disease: A disease involving the skeletal system.,adolescent idiopathic scoliosis: A scoliosis with no known cause arising in adolescent.,ENSG00000165233
ATP5F1C,2,BAT,SKM-VL,"","","","",EFO_0000616,0.245448732100585,EFO_0000174,0.174626481338522,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","Ewing sarcoma: A small round cell tumor that lacks morphologic, immunohistochemical, and electron microscopic evidence of neuroectodermal differentiation. It represents one of the two ends of the spectrum called Ewing sarcoma/peripheral neuroectodermal tumor. It affects mostly males under age 20, and it can occur in soft tissue or bone. Pain and the presence of a mass are the most common clinical symptoms.",ENSG00000165629
DDX39B,2,BAT,SKM-GN,"","","","",EFO_0001444,0.240293212722219,EFO_0004541,0.167922338862799,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,HbA1c measurement: A quantification of glycated A1c hemoglobin in blood used as an index for blood glucose level over several months.,ENSG00000198563
UBE2L6,2,BLOOD,SPLEEN,"","","","",EFO_0001444,0.23904483553423,EFO_0008261,0.189821012586275,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,plasma protease C1 inhibitor measurement: quantification of the amount of plasma protease C1 inhibitor in a sample,ENSG00000156587
ATP5MC1,2,SKM-GN,SKM-VL,"","","","",EFO_0001444,0.237456729116432,EFO_0004339,0.19342131257316,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,body height: The distance from the sole to the crown of the head with body standing on a flat surface and fully extended.,ENSG00000159199
COPS7A,2,BAT,COLON,"","","","",EFO_0001444,0.234746959256101,EFO_0000571,0.184789927342351,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"lung adenocarcinoma: A carcinoma that arises from the lung and is characterized by the presence of malignant glandular epithelial cells. There is a male predilection with a male to female ratio of 2:1. Usually lung adenocarcinoma is asymptomatic and is identified through screening studies or as an incidental radiologic finding. If clinical symptoms are present they include shortness of breath, cough, hemoptysis, chest pain, and fever. Tobacco smoke is a known risk factor.",ENSG00000111652
SNX3,2,BLOOD,SPLEEN,"","","","",OTAR_0000010,0.234724065408502,EFO_0000304,0.225775099871595,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,breast adenocarcinoma: A carcinoma that arises from glandular epithelial cells of the breast,ENSG00000112335
EPN1,2,ADRNL,BLOOD,"","","","",EFO_0000616,0.234690467136833,EFO_0000571,0.230987409177939,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","lung adenocarcinoma: A carcinoma that arises from the lung and is characterized by the presence of malignant glandular epithelial cells. There is a male predilection with a male to female ratio of 2:1. Usually lung adenocarcinoma is asymptomatic and is identified through screening studies or as an incidental radiologic finding. If clinical symptoms are present they include shortness of breath, cough, hemoptysis, chest pain, and fever. Tobacco smoke is a known risk factor.",ENSG00000063245
TMEM120A,2,COLON,SKM-VL,"","","","",EFO_0001444,0.232936051869322,EFO_0004631,0.205451704810457,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"vitamin D measurement: A quantification of Vitamin D levels, typically in blood. Vitamin D includes both CHOLECALCIFEROLS and ERGOCALCIFEROLS, which have the common effect of preventing or curing RICKETS in animals. It can also be viewed as a hormone since it can be formed in SKIN by action of ULTRAVIOLET RAYS upon the precursors, 7-dehydrocholesterol and ERGOSTEROL, and acts on VITAMIN D RECEPTORS to regulate CALCIUM in opposition to PARATHYROID HORMONE (MeSH).
25-hydroxyvitamin D or calcifediol, a prehormone precursor of vitamin D, is widely used as a proxy to quanitfy vitamin D levels in blood.",ENSG00000189077
DHRS11,2,BLOOD,SKM-VL,"","","","",EFO_0001444,0.2322284244045,EFO_0004340,0.20012070745271,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"body mass index: An indicator of body density as determined by the relationship of BODY WEIGHT to BODY HEIGHT. BMI=weight (kg)/height squared (m2). BMI correlates with body fat (ADIPOSE TISSUE). Their relationship varies with age and gender. For adults, BMI falls into these categories: below 18.5 (underweight); 18.5-24.9 (normal); 25.0-29.9 (overweight); 30.0 and above (obese). (National Center for Health Statistics, Centers for Disease Control and Prevention)",ENSG00000278535
